id,Name,Props
1,开服礼包码,1105_50+3_50+2_5000
2,开服礼包码,1_100+1403_25+4_50
3,开服礼包码,1125_2+1403_25+4_50
4,开服礼包码,1_100+1105_25+3_25
5,开服礼包码,1120_1+1105_25+3_25
6,加群礼包码(专用),1_200+1200_5+1105_50+3_50
7,预约礼包码(专用),1_200+1200_5+1105_50+3_50
8,好评礼包码(专用),1_200+1200_5+1403_50+4_100
9,玩家社区发帖礼包码(专用),1_200+1200_5+1403_50+4_100
10,社区回复点赞官方帖礼包码1(专用),1_200+1205_1+1125_2+1130_1
11,社区回复点赞官方帖礼包码2(专用),1_200+1210_1+1120_1+1135_1
12,社区回复点赞官方帖礼包码3(专用),1_200+1205_1+1125_2+1130_1
13,社区回复点赞官方帖礼包码4(专用),1_200+1210_1+1120_1+1135_1
14,社区回复点赞官方帖礼包码5(专用),1_200+1205_1+1125_2+1130_1
15,社区回复点赞官方帖礼包码6(专用),1_200+1210_1+1120_1+1135_1
16,社区回复点赞官方帖礼包码7(专用),1_200+1205_1+1125_2+1130_1
17,社区回复点赞官方帖礼包码8(专用),1_200+1210_1+1120_1+1135_1
18,社区回复点赞官方帖礼包码9(专用),1_200+1205_1+1125_2+1130_1
19,社区回复点赞官方帖礼包码10(专用),1_200+1210_1+1120_1+1135_1
81,渠道礼包码VIP-1(专用),1_100+1403_50+4_50+3_50
82,渠道礼包码VIP-2(专用),1_200+1403_100+4_100+3_100
83,渠道礼包码VIP-3(专用),1_300+1403_150+4_150+3_150
84,渠道礼包码VIP-4(专用),1_400+1403_200+4_200+3_200
85,渠道礼包码VIP-5(专用),1_500+1403_250+4_250+3_250
86,渠道礼包码VIP-6(专用),1_600+1403_300+4_300+3_300
87,渠道礼包码VIP-7(专用),1_700+1403_350+4_350+3_350
88,渠道礼包码VIP-8(专用),1_800+1403_400+4_400+3_400
89,渠道礼包码VIP-9(专用),1_900+1403_450+4_450+3_450
90,渠道礼包码VIP-10(专用),1_1000+1403_500+4_500+3_500
91,渠道礼包码VIP-11(专用),1_1100+1403_550+4_550+3_550
92,渠道礼包码VIP-12(专用),1_1200+1403_600+4_600+3_600
93,渠道礼包码VIP-13(专用),1_1300+1403_650+4_650+3_650
94,渠道礼包码VIP-14(专用),1_1400+1403_700+4_700+3_700
95,渠道礼包码VIP-15(专用),1_1500+1403_800+4_800+3_800
101,2025春节礼包码,1_888+1125_10+1205_3+1210_3
102,2025除夕礼包码,1_600+1121_1+1130_3+1135_3
103,2025元旦礼包码,1_600+1125_5+1205_2+1210_2
104,2025国庆节礼包码,1_600+1121_1+1130_3+1135_3
105,2025圣诞节礼包码,1_600+1125_5+1205_2+1210_2
106,2025劳动节礼包码,1_600+1121_1+1130_3+1135_3
107,2025清明节礼包码,1_600+1125_5+1205_2+1210_2
108,2025元宵节礼包码,1_600+1121_1+1130_3+1135_3
109,2025端午节礼包码,1_600+1125_5+1205_2+1210_2
110,2025七夕节礼包码,1_600+1121_1+1130_3+1135_3
111,2025中秋节礼包码,1_600+1125_5+1205_2+1210_2
201,2026春节礼包码,1_888+1125_10+1205_3+1210_3
202,2026除夕礼包码,1_600+1121_1+1130_3+1135_3
203,2026元旦礼包码,1_600+1125_5+1205_2+1210_2
204,2026国庆节礼包码,1_600+1121_1+1130_3+1135_3
205,2026圣诞节礼包码,1_600+1125_5+1205_2+1210_2
206,2026劳动节礼包码,1_600+1121_1+1130_3+1135_3
207,2026清明节礼包码,1_600+1125_5+1205_2+1210_2
208,2026元宵节礼包码,1_600+1121_1+1130_3+1135_3
209,2026端午节礼包码,1_600+1125_5+1205_2+1210_2
210,2026七夕节礼包码,1_600+1121_1+1130_3+1135_3
211,2026中秋节礼包码,1_600+1125_5+1205_2+1210_2
1001,2025-1月礼包码(上半月),1_200+1205_1+1125_2
1002,2025-1月礼包码(下半月),1_200+1210_1+1120_1
1003,2025-2月礼包码(上半月),1_200+1125_2+1130_1
1004,2025-2月礼包码(下半月),1_200+1120_1+1135_1
1005,2025-3月礼包码(上半月),1_200+1205_1+1125_2
1006,2025-3月礼包码(下半月),1_200+1210_1+1120_1
1007,2025-4月礼包码(上半月),1_200+1125_2+1130_1
1008,2025-4月礼包码(下半月),1_200+1120_1+1135_1
1009,2025-5月礼包码(上半月),1_200+1205_1+1125_2
1010,2025-5月礼包码(下半月),1_200+1210_1+1120_1
1011,2025-6月礼包码(上半月),1_200+1125_2+1130_1
1012,2025-6月礼包码(下半月),1_200+1120_1+1135_1
1013,2025-7月礼包码(上半月),1_200+1205_1+1125_2
1014,2025-7月礼包码(下半月),1_200+1210_1+1120_1
1015,2025-8月礼包码(上半月),1_200+1125_2+1130_1
1016,2025-8月礼包码(下半月),1_200+1120_1+1135_1
1017,2025-9月礼包码(上半月),1_200+1205_1+1125_2
1018,2025-9月礼包码(下半月),1_200+1210_1+1120_1
1019,2025-10月礼包码(上半月),1_200+1125_2+1130_1
1020,2025-10月礼包码(下半月),1_200+1120_1+1135_1
1021,2025-11月礼包码(上半月),1_200+1205_1+1125_2
1022,2025-11月礼包码(下半月),1_200+1210_1+1120_1
1023,2025-12月礼包码(上半月),1_200+1125_2+1130_1
1024,2025-12月礼包码(下半月),1_200+1120_1+1135_1
2001,2026-1月礼包码(上半月),1_200+1205_1+1125_2
2002,2026-1月礼包码(下半月),1_200+1210_1+1120_1
2003,2026-2月礼包码(上半月),1_200+1125_2+1130_1
2004,2026-2月礼包码(下半月),1_200+1120_1+1135_1
2005,2026-3月礼包码(上半月),1_200+1205_1+1125_2
2006,2026-3月礼包码(下半月),1_200+1210_1+1120_1
2007,2026-4月礼包码(上半月),1_200+1125_2+1130_1
2008,2026-4月礼包码(下半月),1_200+1120_1+1135_1
2009,2026-5月礼包码(上半月),1_200+1205_1+1125_2
2010,2026-5月礼包码(下半月),1_200+1210_1+1120_1
2011,2026-6月礼包码(上半月),1_200+1125_2+1130_1
2012,2026-6月礼包码(下半月),1_200+1120_1+1135_1
2013,2026-7月礼包码(上半月),1_200+1205_1+1125_2
2014,2026-7月礼包码(下半月),1_200+1210_1+1120_1
2015,2026-8月礼包码(上半月),1_200+1125_2+1130_1
2016,2026-8月礼包码(下半月),1_200+1120_1+1135_1
2017,2026-9月礼包码(上半月),1_200+1205_1+1125_2
2018,2026-9月礼包码(下半月),1_200+1210_1+1120_1
2019,2026-10月礼包码(上半月),1_200+1125_2+1130_1
2020,2026-10月礼包码(下半月),1_200+1120_1+1135_1
2021,2026-11月礼包码(上半月),1_200+1205_1+1125_2
2022,2026-11月礼包码(下半月),1_200+1210_1+1120_1
2023,2026-12月礼包码(上半月),1_200+1125_2+1130_1
2024,2026-12月礼包码(下半月),1_200+1120_1+1135_1
