AiNum,GroupType,Des,HeroNum1,SkillNum1,HeroNum2,SkillNum2,HeroNum3,SkillNum3,Des_en
10001,1,领地野蛮人要塞Lv.1,1011,3_2,1010,3_5,1013,3_4,
10002,1,领地野蛮人要塞Lv.2_1,1010,2_5,1011,2_1,1011,2_6,
10003,1,领地野蛮人要塞Lv.2_2,1010,2_18,1011,2_4,1013,2_10,
10004,1,领地野蛮人要塞Lv.3_1,1013,1_7,1010,2_14,1011,1_1,
10005,1,领地野蛮人要塞Lv.3_2,1013,2_11,1010,2_15,1011,2_6,
10006,1,领地野蛮人要塞Lv.4_1,1011,1_1+1_5,1010,2_18+2_12,1013,2_11+2_9,
10007,1,领地野蛮人要塞Lv.4_2,1011,2_6+2_16,1010,2_14+2_20,1013,1_7+2_8,
10008,1,领地野蛮人要塞Lv.4_3,1010,2_5+4_3,1010,2_17+4_1,1011,2_4+2_3,
10009,1,领地野蛮人要塞Lv.5_1,1010,2_15+1_4,1011,2_1+2_16,1013,2_10+2_8,
10010,1,领地野蛮人要塞Lv.5_2,1011,2_6+1_3,1013,1_7+2_3,1010,2_13+2_19,
10011,1,领地野蛮人要塞Lv.5_3,1010,2_5+2_12,1011,1_1+1_5,1013,2_7+2_19,
10012,1,领地野蛮人要塞Lv.6_1,1015,2_48+2_16,1017,1_20+4_2,1014,2_92+4_3,
10013,1,领地野蛮人要塞Lv.6_2,1014,2_46+4_3,1016,1_23+1_6,1015,1_16+1_5,
10014,1,领地野蛮人要塞Lv.6_3,1015,2_47+2_3,1014,2_51+2_12,1017,2_55+2_20,
10015,1,领地野蛮人要塞Lv.6_4,1014,2_56+2_12,1017,1_20+2_19,1016,2_53+1_4,
10016,1,领地野蛮人要塞Lv.7_1,1014,2_45+2_34+2_12,1015,1_15+1_8+1_5,1017,1_14+2_42+2_20,
10017,1,领地野蛮人要塞Lv.7_2,1014,2_54+2_25+2_12,1015,1_22+2_107+2_16,1015,3_11+2_21+3_2,
10018,1,领地野蛮人要塞Lv.7_3,1017,1_51+2_36+2_8,1014,3_21+2_103+2_12,1016,2_96+2_90+1_6,
10019,1,领地野蛮人要塞Lv.7_4,1015,2_48+1_21+2_3,1014,4_10+4_4+4_2,1016,2_55+2_44+2_9,
10020,1,领地野蛮人要塞Lv.8_1,1018,2_81+2_42+2_34,1020,2_74+2_90+2_39,1019,1_52+2_23+2_41,
10021,1,领地野蛮人要塞Lv.8_2,1019,1_63+2_106+2_49,1018,2_82+2_25+2_39,1018,2_70+2_33+2_38,
10022,1,领地野蛮人要塞Lv.8_3,1018,2_115+3_8+2_42,1019,2_94+1_19+1_12,1020,1_42+1_13+2_109,
10023,1,领地野蛮人要塞Lv.8_4,1021,2_75+2_36+2_90,1018,2_85+2_37+2_31,1019,1_39+2_23+2_106,
10024,1,领地野蛮人要塞Lv.8_5,1018,4_19+4_5+4_9,1019,1_37+1_8+2_106,1019,1_38+1_12+2_32,
10025,1,领地野蛮人要塞Lv.9_1,1019,1_73+1_58+2_49+2_107,1019,1_37+1_74+1_21+2_22,1018,4_26+1_48+4_9+4_4,
10026,1,领地野蛮人要塞Lv.9_2,1019,1_52+2_141+2_49+2_23,1021,2_75+1_76+2_36+2_41,1018,2_78+3_27+2_33+2_26,
10027,1,领地野蛮人要塞Lv.9_3,1018,2_81+2_100+2_103+2_34,1019,2_94+1_64+2_22+2_49,1020,1_41+1_70+1_11+1_69,
10028,1,领地野蛮人要塞Lv.9_4,1021,1_40+1_34+1_9+1_10,1018,2_69+3_25+2_38+2_42,1019,1_36+1_28+2_106+1_12,
10029,1,领地野蛮人要塞Lv.9_5,1020,1_42+1_32+1_10+1_13,1019,1_39+2_58+1_8+2_22,1018,1_44+2_137+2_25+2_29,
10101,1,大世界农场等级1,1013,3_4,1010,3_1,1012,3_3,
10102,1,大世界农场等级2_1,1013,1_7,1010,2_5,1011,2_4,
10103,1,大世界农场等级2_2,1010,2_13,1010,2_15,1011,1_1,
10104,1,大世界农场等级3_1,1010,2_7,1011,2_6,1010,2_14,
10105,1,大世界农场等级3_2,1011,2_1,1013,1_7,1010,2_17,
10106,1,大世界农场等级4_1,1013,2_11+2_9,1010,2_14+2_20,1011,2_6+1_5,
10107,1,大世界农场等级4_2,1013,1_7+2_3,1010,2_15+2_12,1010,2_13+2_19,
10108,1,大世界农场等级4_3,1011,1_1+2_16,1013,2_10+2_8,1010,2_5+2_19,
