GateNum,GroupId,MaxTroop,ConType,FirstAward,AiInfo
1,1,1,1,0,71641_80_1_2.8
2,1,1,2,0,71642_80_1_2.8
3,1,1,3,0,71643_80_1_2.8
4,1,1,4,0,71644_80_1_2.8
5,1,1,5,0,71645_80_1_2.8
6,1,1,6,0,71646_80_1_2.8
7,1,1,7,0,71647_80_1_2.8
8,1,3,8,0,"71641,71642,71643,71644,71645_80_1_2.8"
9,2,1,1,0,71648_80_1_2.8
10,2,1,2,0,71649_80_1_2.8
11,2,1,3,0,71650_80_1_2.8
12,2,1,4,0,71651_80_1_2.8
13,2,1,5,0,71652_80_1_2.8
14,2,1,6,0,71653_80_1_2.8
15,2,1,7,0,71654_80_1_2.8
16,2,3,8,0,"71646,71647,71649,71650,71719_80_1_2.8"
17,3,1,1,0,71655_80_1_2.8
18,3,1,2,0,71656_80_1_2.8
19,3,1,3,0,71657_80_1_2.8
20,3,1,4,0,71658_80_1_2.8
21,3,1,5,0,71659_80_1_2.8
22,3,1,6,0,71660_80_1_2.8
23,3,1,7,0,71661_80_1_2.8
24,3,3,8,0,"71648,71657,71659,71661,71663_80_1_2.8"
25,4,1,1,0,71662_80_1_2.8
26,4,1,2,0,71663_80_1_2.8
27,4,1,3,0,71665_80_1_2.8
28,4,1,4,0,71666_80_1_2.8
29,4,1,5,0,71667_80_1_2.8
30,4,1,6,0,71669_80_1_2.8
31,4,1,7,0,71670_80_1_2.8
32,4,3,8,0,"71665,71683,71673,71674,71684_80_1_2.8"
33,5,1,1,0,71671_80_1_2.8
34,5,1,2,0,71672_80_1_2.8
35,5,1,3,0,71673_80_1_2.8
36,5,1,4,0,71674_80_1_2.8
37,5,1,5,0,71675_80_1_2.8
38,5,1,6,0,71676_80_1_2.8
39,5,1,7,0,71677_80_1_2.8
40,5,3,8,0,"71660,71670,71680,71676,71699_80_1_2.8"
41,6,1,1,0,71680_80_1_2.8
42,6,1,2,0,71681_80_1_2.8
43,6,1,3,0,71683_80_1_2.8
44,6,1,4,0,71684_80_1_2.8
45,6,1,5,0,71694_80_1_2.8
46,6,1,6,0,71696_80_1_2.8
47,6,1,7,0,71697_80_1_2.8
48,6,3,8,0,"71694,71696,71697,71698,71700_80_1_2.8"
49,7,1,1,0,71698_80_1_2.8
50,7,1,2,0,71699_80_1_2.8
51,7,1,3,0,71700_80_1_2.8
52,7,1,4,0,71702_80_1_2.8
53,7,1,5,0,71704_80_1_2.8
54,7,1,6,0,71705_80_1_2.8
55,7,1,7,0,71712_80_1_2.8
56,7,3,8,0,"71656,71671,71677,71705,71654_80_1_2.8"
57,8,1,1,0,71715_80_1_2.8
58,8,1,2,0,71719_80_1_2.8
59,8,1,3,0,71720_80_1_2.8
60,8,3,8,0,"71720,71667,71702,71666,71669_80_1_2.8"
61,8,3,8,0,"71743,71662,71712,71675,71651_80_1_2.8"
62,8,3,8,0,"71741,71653,71655,71658,71730_80_1_2.8"
63,8,3,8,0,"71672,72229,72217,71733,71748_80_1_2.8"
