name,id,lv,power,need_build,food,wood,stone,iron,time,des,effect,name_en,des_en
{市政厅}({等级} 1),1,1,50,0_0,25,25,25,0,10,"{储备士兵容量}_1,000,000${部队数}_1${种植} {队列}_1",84_1000000+78_1+330_1,City Hall(Lv 1),"Reserve Soldiers Capacity_1,000,000$Number Of Troops_1$Planting Queue_1"
{市政厅}({等级} 2),1,2,100,0_0,50,50,50,0,60,"{储备士兵容量}_1,200,000${部队数}_1${种植} {队列}_1",84_1200000+78_1+330_1,City Hall(Lv 2),"Reserve Soldiers Capacity_1,200,000$Number Of Troops_1$Planting Queue_1"
{市政厅}({等级} 3),1,3,150,10_2,150,150,150,0,120,"{储备士兵容量}_1,400,000${部队数}_1${种植} {队列}_2",84_1400000+78_1+330_2,City Hall(Lv 3),"Reserve Soldiers Capacity_1,400,000$Number Of Troops_1$Planting Queue_2"
{市政厅}({等级} 4),1,4,200,10_3,500,500,500,0,300,"{储备士兵容量}_1,600,000${部队数}_1${种植} {队列}_2",84_1600000+78_1+330_2,City Hall(Lv 4),"Reserve Soldiers Capacity_1,600,000$Number Of Troops_1$Planting Queue_2"
{市政厅}({等级} 5),1,5,250,10_4+18_4,1500,1500,1500,0,1800,"{储备士兵容量}_1,800,000${部队数}_1${种植} {队列}_3",84_1800000+78_1+330_3,City Hall(Lv 5),"Reserve Soldiers Capacity_1,800,000$Number Of Troops_1$Planting Queue_3"
{市政厅}({等级} 6),1,6,300,10_5+2_5,3000,3000,3000,0,3600,"{储备士兵容量}_2,000,000${部队数}_2${种植} {队列}_3",84_2000000+78_2+330_3,City Hall(Lv 6),"Reserve Soldiers Capacity_2,000,000$Number Of Troops_2$Planting Queue_3"
{市政厅}({等级} 7),1,7,350,10_6+3_6,6000,6000,6000,0,7200,"{储备士兵容量}_2,200,000${部队数}_2${种植} {队列}_4",84_2200000+78_2+330_4,City Hall(Lv 7),"Reserve Soldiers Capacity_2,200,000$Number Of Troops_2$Planting Queue_4"
{市政厅}({等级} 8),1,8,456,10_7+4_7,11666,11666,11666,0,14000,"{储备士兵容量}_2,400,000${部队数}_2${种植} {队列}_4",84_2400000+78_2+330_4,City Hall(Lv 8),"Reserve Soldiers Capacity_2,400,000$Number Of Troops_2$Planting Queue_4"
{市政厅}({等级} 9),1,9,923,10_8+5_8,23333,23333,23333,11666,28000,"{储备士兵容量}_2,600,000${部队数}_2${种植} {队列}_5",84_2600000+78_2+330_5,City Hall(Lv 9),"Reserve Soldiers Capacity_2,600,000$Number Of Troops_2$Planting Queue_5"
{市政厅}({等级} 10),1,10,1856,10_9+9_9,46666,46666,46666,23333,56000,"{储备士兵容量}_2,800,000${部队数}_2${种植} {队列}_5",84_2800000+78_2+330_5,City Hall(Lv 10),"Reserve Soldiers Capacity_2,800,000$Number Of Troops_2$Planting Queue_5"
{市政厅}({等级} 11),1,11,3518,10_10+18_10,83083,83083,83083,41541,99700,"{储备士兵容量}_3,200,000${部队数}_3${种植} {队列}_6",84_3200000+78_3+330_6,City Hall(Lv 11),"Reserve Soldiers Capacity_3,200,000$Number Of Troops_3$Planting Queue_6"
