CodexId,Rare,AdLv,NeedHeroList,EffectType,EffectVal
1,4,0,1_5_9,1,2
2,4,0,6_7_13,1,2
3,4,0,11_12_16,1,2
4,4,0,15_29_49,1,2
5,4,0,18_20_27,1,2
6,4,0,35_36_37,1,2
7,4,0,33_38_57,1,2
8,4,0,50_52_58,1,2
9,4,0,39_85_94,1,2
10,4,0,87_89_91,1,2
11,4,1,1_5_9,1,4
12,4,1,6_7_13,1,4
13,4,1,11_12_16,1,4
14,4,1,15_29_49,1,4
15,4,1,18_20_27,1,4
16,4,1,35_36_37,1,4
17,4,1,33_38_57,1,4
18,4,1,50_52_58,1,4
19,4,1,39_85_94,1,4
20,4,1,87_89_91,1,4
21,4,2,1_5_9,1,6
22,4,2,6_7_13,1,6
23,4,2,11_12_16,1,6
24,4,2,15_29_49,1,6
25,4,2,18_20_27,1,6
26,4,2,35_36_37,1,6
27,4,2,33_38_57,1,6
28,4,2,50_52_58,1,6
29,4,2,39_85_94,1,6
30,4,2,87_89_91,1,6
31,4,3,1_5_9,1,8
32,4,3,6_7_13,1,8
33,4,3,11_12_16,1,8
34,4,3,15_29_49,1,8
35,4,3,18_20_27,1,8
36,4,3,35_36_37,1,8
37,4,3,33_38_57,1,8
38,4,3,50_52_58,1,8
39,4,3,39_85_94,1,8
40,4,3,87_89_91,1,8
41,4,4,1_5_9,1,10
42,4,4,6_7_13,1,10
43,4,4,11_12_16,1,10
44,4,4,15_29_49,1,10
45,4,4,18_20_27,1,10
46,4,4,35_36_37,1,10
47,4,4,33_38_57,1,10
48,4,4,50_52_58,1,10
49,4,4,39_85_94,1,10
50,4,4,87_89_91,1,10
51,4,0,1_5_9,2,2
52,4,0,6_7_13,2,2
53,4,0,11_12_16,2,2
54,4,0,15_29_49,2,2
55,4,0,18_20_27,2,2
56,4,0,35_36_37,2,2
57,4,0,33_38_57,2,2
58,4,0,50_52_58,2,2
59,4,0,39_85_94,2,2
60,4,0,87_89_91,2,2
61,4,1,1_5_9,2,4
62,4,1,6_7_13,2,4
63,4,1,11_12_16,2,4
64,4,1,15_29_49,2,4
65,4,1,18_20_27,2,4
66,4,1,35_36_37,2,4
67,4,1,33_38_57,2,4
68,4,1,50_52_58,2,4
69,4,1,39_85_94,2,4
70,4,1,87_89_91,2,4
71,4,2,1_5_9,2,6
72,4,2,6_7_13,2,6
73,4,2,11_12_16,2,6
74,4,2,15_29_49,2,6
75,4,2,18_20_27,2,6
76,4,2,35_36_37,2,6
77,4,2,33_38_57,2,6
78,4,2,50_52_58,2,6
79,4,2,39_85_94,2,6
80,4,2,87_89_91,2,6
81,4,3,1_5_9,2,8
82,4,3,6_7_13,2,8
83,4,3,11_12_16,2,8
84,4,3,15_29_49,2,8
85,4,3,18_20_27,2,8
86,4,3,35_36_37,2,8
87,4,3,33_38_57,2,8
88,4,3,50_52_58,2,8
89,4,3,39_85_94,2,8
90,4,3,87_89_91,2,8
91,4,4,1_5_9,2,10
92,4,4,6_7_13,2,10
