DateId,plotId,bgnum,characterList,speaker,emoji,content,content_en
1,1,1,0,0,0,{市政厅闯入一位不速之客，此刻的你正趴在桌子上小憩。},"An uninvited guest barged into the City Hall, and at this moment you are taking a nap on the desk."
1,2,1,0,0,0,{你嗅到了一丝淡淡的香味，很好闻的气息，让你感到安心。},"You catch a faint, pleasant scent that makes you feel at ease."
1,3,1,-2,-2,0,{城主大人真的很辛苦呢，这座城市有城主大人在，真好。},"Lord, you really work so hard. It's wonderful that this city has you."
1,4,1,-2,0,0,{你睁开眼睛，转眼就看到了那道倩影。},You open your eyes and immediately see that graceful figure.
1,5,1,-1_-2,-1,0,{你来了啊，实在抱歉，最近实在是太忙了。},"So you're here. I'm really sorry, I've been so busy lately."
1,6,1,-1_-2,-2,0,{城主大人，我们的事情是小事，居民的事才是大事。},"Lord, our matters are trivial; the residents' affairs are what truly matter."
1,7,1,-1_-2,-1,0,{看起来，你对我的评价很高。},It seems you think very highly of me.
1,8,1,-1_-2,-2,0,{是啊，现在的世界，兽人，精灵，人类能够这样和平的生活在一起。},"Yes, in this world now, orcs, elves, and humans can live together so peacefully."
1,9,1,-1_-2,-2,0,{城主功不可没呢。},The Lord's contribution is indispensable.
1,10,1,-1_-2,-1,0,{太夸张了，而且这不止是我的功劳。},"That's an exaggeration, and it's not just my doing."
1,11,1,-1_-2,-1,0,{这是大家一起努力的结果！！},This is the result of everyone's efforts!!
1,12,1,-1_-2,-1,0,{所以啊，我真的非常感谢大家。},"So, I truly thank everyone from the bottom of my heart."
1,13,1,-1_-2,-2,0,{城主大人实在是太可爱了。},"Lord, you are just too adorable."
1,14,1,-1_-2,-1,0,{可爱？我和可爱怎么样都不搭边吧。},"Adorable? I'm nothing like adorable, am I?"
1,15,1,-1_-2,-2,0,{笨蛋城主，可爱指的是：可以爱的人。},"Silly Lord, ""cute"" here means: someone you can love."
1,16,1,-1_-2,-1,0,{可以爱的人吗？},Someone you can love?
1,17,1,0,0,0,{你听到这句话，非常感动。},"Hearing those words, you are deeply moved."
