Day,ID,Des,ConType,NeedVal,Reward,GoPanel,Des_en
1,1,{市政厅} Lv.9,1,9,1200_1+1_50+3_10+1110_4,BuildUpPanel_1,City Hall Lv.9
2,1,{市政厅} Lv.10,1,10,1200_1+1_50+3_12+1110_5,BuildUpPanel_1,City Hall Lv.10
3,1,{市政厅} Lv.11,1,11,1200_1+1_50+3_15+1110_6,BuildUpPanel_1,City Hall Lv.11
4,1,{市政厅} Lv.12,1,12,1200_1+1_50+3_17+1110_7,BuildUpPanel_1,City Hall Lv.12
5,1,{市政厅} Lv.13,1,13,1200_1+1_50+3_20+1110_8,BuildUpPanel_1,City Hall Lv.13
6,1,{市政厅} Lv.14,1,14,1200_1+1_50+3_22+1110_9,BuildUpPanel_1,City Hall Lv.14
7,1,{市政厅} Lv.15,1,15,1200_1+1_50+3_25+1110_10,BuildUpPanel_1,City Hall Lv.15
1,2,{领主等级} 10,2,10,1200_1+1_50+3_10+1120_1,UpDesPanel,Lord Level 10
2,2,{领主等级} 20,2,20,1200_1+1_50+3_12+1120_1,UpDesPanel,Lord Level 20
3,2,{领主等级} 30,2,30,1200_1+1_50+3_15+1120_2,UpDesPanel,Lord Level 30
4,2,{领主等级} 33,2,33,1200_1+1_50+3_17+1120_2,UpDesPanel,Lord Level 33
5,2,{领主等级} 36,2,36,1200_1+1_50+3_20+1120_3,UpDesPanel,Lord Level 36
6,2,{领主等级} 38,2,38,1200_1+1_50+3_22+1120_3,UpDesPanel,Lord Level 38
7,2,{领主等级} 40,2,40,1200_1+1_50+3_25+1120_4,UpDesPanel,Lord Level 40
1,3,{提升任意英雄等级} Lv.10,3,10,1200_1+1_50+3_10+1403_20,HeroPanel,Enhance Any Hero Level Lv.10
2,3,{提升任意英雄等级} Lv.20,3,20,1200_1+1_50+3_12+1403_30,HeroPanel,Enhance Any Hero Level Lv.20
3,3,{提升任意英雄等级} Lv.30,3,30,1200_1+1_50+3_15+1403_40,HeroPanel,Enhance Any Hero Level Lv.30
4,3,{提升任意英雄等级} Lv.33,3,33,1200_1+1_50+3_17+1403_50,HeroPanel,Enhance Any Hero Level Lv.33
5,3,{提升任意英雄等级} Lv.36,3,36,1200_1+1_50+3_20+1403_60,HeroPanel,Enhance Any Hero Level Lv.36
6,3,{提升任意英雄等级} Lv.38,3,38,1200_1+1_50+3_22+1403_70,HeroPanel,Enhance Any Hero Level Lv.38
7,3,{提升任意英雄等级} Lv.40,3,40,1200_1+1_50+3_25+1403_80,HeroPanel,Enhance Any Hero Level Lv.40
1,4,{提升任意技能等级} Lv.2,4,2,1200_1+1_50+3_10+4_100,SkillPanel,Enhance Any Skill Level Lv.2
2,4,{提升任意技能等级} Lv.3,4,3,1200_1+1_50+3_12+4_150,SkillPanel,Enhance Any Skill Level Lv.3
3,4,{提升任意技能等级} Lv.4,4,4,1200_1+1_50+3_15+4_200,SkillPanel,Enhance Any Skill Level Lv.4
4,4,{提升任意技能等级} Lv.5,4,5,1200_1+1_50+3_17+4_250,SkillPanel,Enhance Any Skill Level Lv.5
5,4,{提升任意技能等级} Lv.6,4,6,1200_1+1_50+3_20+4_300,SkillPanel,Enhance Any Skill Level Lv.6
6,4,{提升任意技能等级} Lv.7,4,7,1200_1+1_50+3_22+4_350,SkillPanel,Enhance Any Skill Level Lv.7
7,4,{提升任意技能等级} Lv.8,4,8,1200_1+1_50+3_25+4_400,SkillPanel,Enhance Any Skill Level Lv.8
1,5,{升级} {建筑} x10,5,10,1200_1+1_50+3_10+1110_4,BuildUpPanel_1,Upgrade Building x10
2,5,{升级} {建筑} x20,5,20,1200_1+1_50+3_12+1110_5,BuildUpPanel_1,Upgrade Building x20
3,5,{升级} {建筑} x30,5,30,1200_1+1_50+3_15+1110_6,BuildUpPanel_1,Upgrade Building x30
4,5,{升级} {建筑} x35,5,35,1200_1+1_50+3_17+1110_7,BuildUpPanel_1,Upgrade Building x35
5,5,{升级} {建筑} x40,5,40,1200_1+1_50+3_20+1110_8,BuildUpPanel_1,Upgrade Building x40
6,5,{升级} {建筑} x45,5,45,1200_1+1_50+3_22+1110_9,BuildUpPanel_1,Upgrade Building x45
7,5,{升级} {建筑} x50,5,50,1200_1+1_50+3_25+1110_10,BuildUpPanel_1,Upgrade Building x50
1,6,{升级} {科技} x5,6,5,1200_1+1_50+3_10+1110_4,SciencePanel,Upgrade Technology x5
2,6,{升级} {科技} x10,6,10,1200_1+1_50+3_12+1110_5,SciencePanel,Upgrade Technology x10
3,6,{升级} {科技} x14,6,14,1200_1+1_50+3_15+1110_6,SciencePanel,Upgrade Technology x14
4,6,{升级} {科技} x18,6,18,1200_1+1_50+3_17+1110_7,SciencePanel,Upgrade Technology x18
5,6,{升级} {科技} x22,6,22,1200_1+1_50+3_20+1110_8,SciencePanel,Upgrade Technology x22
6,6,{升级} {科技} x26,6,26,1200_1+1_50+3_22+1110_9,SciencePanel,Upgrade Technology x26
7,6,{升级} {科技} x30,6,30,1200_1+1_50+3_25+1110_10,SciencePanel,Upgrade Technology x30
1,7,{训练} {士兵} x1000,7,1000,1200_1+1_50+3_10+1110_4,TrainPanel_1,Train Soldier x1000
2,7,{训练} {士兵} x2000,7,2000,1200_1+1_50+3_12+1110_5,TrainPanel_1,Train Soldier x2000
3,7,{训练} {士兵} x4000,7,4000,1200_1+1_50+3_15+1110_6,TrainPanel_1,Train Soldier x4000
4,7,{训练} {士兵} x6000,7,6000,1200_1+1_50+3_17+1110_7,TrainPanel_1,Train Soldier x6000
5,7,{训练} {士兵} x8000,7,8000,1200_1+1_50+3_20+1110_8,TrainPanel_1,Train Soldier x8000
6,7,{训练} {士兵} x10000,7,10000,1200_1+1_50+3_22+1110_9,TrainPanel_1,Train Soldier x10000
7,7,{训练} {士兵} x15000,7,15000,1200_1+1_50+3_25+1110_10,TrainPanel_1,Train Soldier x15000
1,8,{通关} {荒原}-10,8,10,1200_1+1_50+3_10+1110_4,MainGatePanel,Clearance Wilderness-10
2,8,{通关} {荒原}-20,8,20,1200_1+1_50+3_12+1110_5,MainGatePanel,Clearance Wilderness-20
3,8,{通关} {荒原}-40,8,40,1200_1+1_50+3_15+1110_6,MainGatePanel,Clearance Wilderness-40
4,8,{通关} {荒原}-50,8,50,1200_1+1_50+3_17+1110_7,MainGatePanel,Clearance Wilderness-50
5,8,{通关} {荒原}-60,8,60,1200_1+1_50+3_20+1110_8,MainGatePanel,Clearance Wilderness-60
6,8,{通关} {荒原}-70,8,70,1200_1+1_50+3_22+1110_9,MainGatePanel,Clearance Wilderness-70
7,8,{通关} {荒原}-80,8,80,1200_1+1_50+3_25+1110_10,MainGatePanel,Clearance Wilderness-80
1,15,{庄园} {收获} x3,15,3,1200_1+1_50+3_10+1110_4,FarmPanel,Manor Harvest x3
