id,name,type,rare,RST,RPoint,attack,defense,ruin,speed,attack_grow,defense_grow,ruin_grow,speed_grow,skill0_type,skill0_id,skill1_type,skill1_id,skill2_type,skill2_id,icon,name_en
41,{无名勇者},1,2,3,"0,0,0,0",28,28,28,28,0.7,0.7,0.7,0.7,3,2,3,2,0,0,41,Unknown Brave
42,{无名法师},1,2,4,"0,0,0,0",28,28,28,28,0.7,0.7,0.7,0.7,3,5,3,5,0,0,42,Unknown Mage
43,{无名射手},1,2,2,"0,0,0,0",28,28,28,28,0.7,0.7,0.7,0.7,3,4,3,4,0,0,43,Unknown Shooter
44,{无名枪兵},1,2,1,"0,0,0,0",28,28,28,28,0.7,0.7,0.7,0.7,3,1,3,1,0,0,44,Unknown Pikeman
45,{无名剑士},1,2,1,"0,0,0,0",28,28,28,28,0.7,0.7,0.7,0.7,3,3,3,3,0,0,45,Unknown Swordsman
4,{清真纪},2,3,2,"1,0,0,0",50,31,38,32,1.26,0.79,0.95,0.8,2,5,4,1,0,0,4,Seimaki
8,{忒缇丝},3,3,2,"1,0,0,0",46,31,40,33,1.17,0.78,1.02,0.83,2,18,2,12,3,3,8,Thetis
10,{茜茜公主},1,3,1,"0,1,0,0",26,50,29,46,0.67,1.25,0.73,1.15,2,6,1,5,0,0,10,Sissi
17,{玩偶零},1,3,2,"1,0,0,0",50,38,32,30,1.25,0.96,0.82,0.77,2,13,4,3,0,0,17,Doll Zero
19,{斯蒂娜},2,3,2,"1,0,0,0",44,36,28,44,1.1,0.9,0.7,1.1,2,7,1,3,0,0,19,Stina
21,{温蒂妮},3,3,3,"0,1,0,0",30,49,40,32,0.76,1.24,1,0.8,2,1,1,6,0,0,21,Undine
24,{西尔芙},3,3,3,"0,0,0,1",31,40,26,54,0.79,1,0.66,1.35,1,7,2,3,0,0,24,Sylph
25,{海芙约特},2,3,3,"0,0,0,1",42,49,34,26,1.05,1.23,0.85,0.67,2,2,1,2,0,0,25,Herfjotur
26,{菲希丝},3,3,2,"1,0,0,0",47,28,46,30,1.19,0.7,1.15,0.76,2,15,2,20,3,5,26,Fisis
30,{格蕾},1,3,3,"0,0,0,1",28,42,28,52,0.72,1.05,0.71,1.32,2,11,2,9,0,0,30,Grey
31,{奥尔露恩},2,3,2,"1,0,0,0",47,26,45,32,1.18,0.67,1.13,0.82,2,14,2,19,3,4,31,Olrun
48,{莉莉安},1,3,1,"0,1,0,0",31,50,37,32,0.78,1.26,0.94,0.82,1,1,2,16,0,0,48,Lillian
53,{阿比},2,3,3,"0,0,0,1",30,40,28,51,0.77,1.02,0.72,1.29,2,10,2,8,0,0,53,Abbey
54,{贝丝},3,3,2,"1,0,0,0",47,28,46,30,1.19,0.7,1.16,0.75,2,17,1,4,3,1,54,Bess
56,{梅玲},3,3,3,"0,1,0,0",28,47,30,46,0.71,1.18,0.76,1.15,2,4,4,2,3,2,56,MeiLing
1,{克罗洛丝},1,4,3,"0,1,0,0",54,59,37,40,1.36,1.48,0.94,1.02,3,12,1,53,2,23,1,Crolos
5,{贝罗娜},1,4,3,"0,1,0,0",41,64,40,46,1.03,1.6,1,1.17,1,16,1,9,2,21,5,Bellona
6,{德莉法},1,4,3,"0,0.2,0,0.8",35,63,33,59,0.89,1.59,0.83,1.49,1,18,3,8,2,104,6,Derifa
7,{德古娜},1,4,3,"0,1,0,0",46,63,32,50,1.15,1.59,0.81,1.25,1,24,1,21,1,12,7,Degunnr
9,{妮妮安妮},1,4,1,"0,1,0,0",36,63,34,58,0.9,1.58,0.87,1.45,1,22,2,106,3,7,9,Ninianne
11,{薇薇安},3,4,2,"0.8,0,0,0.2",62,35,36,58,1.56,0.88,0.9,1.46,2,46,2,37,4,7,11,Vivian
12,{吉蒙里},3,4,3,"0,0,0,1",32,55,41,62,0.82,1.38,1.04,1.56,2,55,1,11,2,31,12,Gremory
13,{忒菲丝},1,4,3,"0,1,0,0",53,64,36,38,1.33,1.61,0.91,0.95,3,11,3,6,1,45,13,Thefis
15,{诗嘉古尔},1,4,3,"0,1,0,0",44,65,37,45,1.1,1.63,0.94,1.13,2,48,2,105,2,107,15,Skagull
16,{斯莉德},3,4,2,"1,0,0,0",65,52,36,38,1.63,1.32,0.9,0.95,2,45,1,10,3,13,16,Slider
18,{莉莉丝},3,4,3,"0,0,0,1",38,52,35,65,0.97,1.3,0.89,1.64,2,50,4,9,4,11,18,Lilith
20,{乌蒂亚},3,4,2,"1,0,0,0",64,36,54,37,1.62,0.9,1.35,0.93,2,51,2,35,2,26,20,Utia
27,{琳芙},3,4,1,"0,1,0,0",38,66,37,49,0.97,1.66,0.93,1.24,1,17,2,22,2,108,27,Lynf
29,{露琪亚},1,4,3,"0,0,0,1",38,57,36,60,0.96,1.43,0.9,1.51,1,20,2,41,2,49,29,Rukia
33,{安琪},3,4,2,"1,0,0,0",63,35,58,34,1.59,0.88,1.46,0.87,2,52,2,24,2,27,33,Angie
35,{巴斯特},2,4,2,"1,0,0,0",62,32,59,38,1.55,0.82,1.48,0.95,2,54,2,28,2,29,35,Bast
36,{罗蕾莱},2,4,4,"0,0,1,0",33,51,65,42,0.83,1.28,1.64,1.05,1,23,1,13,2,109,36,Lorelei
37,{荒},2,4,2,"1,0,0,0",66,40,35,49,1.65,1.02,0.89,1.24,2,56,2,30,3,14,37,Susabi
38,{阿斯莫德},3,4,2,"1,0,0,0",59,34,61,36,1.49,0.86,1.54,0.91,2,53,2,43,2,44,38,Asmodeus
39,{拉法叶},2,4,1,"0,1,0,0",35,66,44,45,0.89,1.67,1.11,1.13,1,15,1,8,2,23,39,Lafayette
49,{邦妮},1,4,2,"1,0,0,0",63,36,57,35,1.58,0.9,1.44,0.88,2,57,2,39,2,40,49,Bonnie
50,{巴托里},2,4,2,"0,0,0,1",63,32,38,57,1.59,0.82,0.95,1.44,3,10,4,5,4,8,50,Batory
52,{达菲},2,4,3,"0,0,0,1",61,36,34,60,1.54,0.9,0.85,1.51,1,14,2,38,2,33,52,Duffy
57,{普奥娜},3,4,1,"0,1,0,0",36,66,35,54,0.9,1.66,0.88,1.36,2,47,2,32,1,54,57,Puona
58,{达比},2,4,2,"1,0,0,0",61,32,52,46,1.53,0.8,1.32,1.15,4,10,4,6,4,4,58,Darby
85,{露卡},2,4,2,"1,0,0,0",60,37,56,36,1.52,0.94,1.42,0.92,2,89,2,90,2,25,85,Luka
87,{尼可尔},1,4,2,"1,0,0,0",67,36,44,42,1.69,0.92,1.12,1.07,2,92,2,103,2,42,87,Nicole
89,{安琪}·{特典},3,4,3,"0,0,0,1",36,56,36,62,0.92,1.42,0.91,1.55,1,51,2,36,1,19,89,Angie·Sp
91,{普奥娜}·{特典},3,4,2,"1,0,0,0",64,48,41,37,1.62,1.22,1.03,0.93,3,21,2,34,3,9,91,Puona·Sp
94,{库雷卡},2,4,3,"0,0,0,1",36,60,36,58,0.91,1.52,0.92,1.45,2,96,1,69,1,55,94,Cureka
2,{圣女辛},1,5,4,"0,0,1,0",44,64,80,44,1.1,1.6,2,1.1,1,43,1,30,2,63,2,Saintess Shin
3,{克丽奥娜},2,5,3,"0,0.5,0,0.5",42,73,42,74,1.05,1.84,1.05,1.86,2,75,2,83,3,31,3,Cliodna
14,{厄洛丝},3,5,2,"1,0,0,0",76,56,36,63,1.91,1.4,0.91,1.58,2,78,2,125,2,124,14,Eros
22,{珀瑞斯},1,5,2,"1,0,0,0",74,43,42,71,1.87,1.09,1.05,1.79,2,76,2,60,4,25,22,Perris
23,{罗兰},3,5,2,"1,0,0,0",80,65,50,36,2,1.63,1.27,0.9,2,67,2,61,2,102,23,Roland
28,{须佐真希},1,5,2,"1,0,0,0",74,46,44,66,1.86,1.17,1.12,1.65,4,14,4,24,3,35,28,SusaMaki
32,{克图格亚},3,5,2,"1,0,0,0",73,42,64,52,1.83,1.05,1.6,1.32,2,79,2,143,2,131,32,Cthugha
34,{波蒙},1,5,2,"1,0,0,0",72,72,45,42,1.81,1.8,1.14,1.05,1,40,1,82,2,110,34,Pomon
40,{瑞亚},3,5,3,"0,1,0,0",56,78,40,58,1.4,1.95,1,1.45,1,26,1,28,3,16,40,Rhea
46,{米娅},2,5,2,"1,0,0,0",79,52,48,51,1.98,1.32,1.22,1.28,3,20,3,33,2,118,46,Mia
47,{瓦妮莎},2,5,2,"1,0,0,0",72,41,59,58,1.82,1.03,1.48,1.47,2,69,1,59,2,127,47,Vanessa
51,{佐伊},1,5,2,"1,0,0,0",78,50,61,42,1.95,1.26,1.53,1.06,2,70,2,132,2,137,51,Zoe
55,{伊丽丝},3,5,3,"0,1,0,0",51,75,64,40,1.28,1.88,1.62,1.02,2,84,3,22,4,16,55,Iris
59,{尤缇迦},1,5,4,"0,0,1,0",41,74,70,45,1.04,1.87,1.76,1.13,1,39,1,31,1,62,59,Utija
60,{帕特拉},3,5,2,"1,0,0,0",77,46,56,52,1.93,1.15,1.42,1.3,2,81,2,144,3,34,60,Patra
61,{圣女辛}·{特典},1,5,2,"1,0,0,0",74,44,69,44,1.86,1.11,1.73,1.1,1,44,1,34,1,81,61,Saintess Shin·Sp
62,{克丽奥娜}·{特典},2,5,3,"0,1,0,0",56,73,43,58,1.42,1.84,1.09,1.45,1,38,1,48,2,118,62,Cliodna·Sp
