HeroIcon,SkinId,posx,posy,size,EffectPos1,EffectPos2,EnjoyPos,OnClick
1,0,-9,-227,1,120_-380,69_-373,0,ai
2,0,-125,-152,1,40_-300,-47_-318,0,a15
3,0,-96,-247,1,50_-380,-29_-360,0,a1
4,0,-170,-80,1,0_-150,-45_-155,0,0
5,0,-178,59,1,30_-50,-13_-111,0,e5
6,0,12,58,1,180_-10,113_-69,0,en2
7,0,-221,-249,1,-80_-370,-99_-377,0,o1
8,0,-101,-250,1,40_-390,-6_-390,0,0
9,0,-92,-225,1,60_-360,-18_-363,0,en1
10,0,-88,-235,0.95,0_-410,8_-389,0,0
11,0,-96,-258,1,50_-400,-20_-387,0,hei1
12,0,-96,-243,1,50_-400,-11_-379,0,a14
13,0,-89,-261,1,50_-400,-3_-369,0,e3
14,0,-201,-279,1,-50_-400,-101_-391,0,en2
15,0,-96,-267,1,80_-420,-12_-404,0,heng8
16,0,-296,-239,1,-120_-400,-156_-394,0,e7
17,0,-72,-194,1,100_-380,8_-334,0,0
18,0,-45,-142,1,80_-300,16_-294,0,o6
19,0,-124,-79,1,70_-220,-31_-237,0,0
20,0,203,-317,1,320_-490,227_-457,0,en1
21,0,-71,-217,1,50_-380,-3_-352,0,0
22,0,-30,-286,1,150_-440,40_-418,0,e7
22,1,0,0,1,274_-284,263_-269,0,e7
23,0,-52,-235,1,80_-370,10_-365,0,e5
24,0,-90,-280,1,50_-420,-9_-415,0,0
25,0,-58,-301,1,80_-460,20_-419,0,0
26,0,102,59,1,250_-60,149_-127,0,0
27,0,-134,-278,1,0_-430,-17_-429,0,e4
28,0,-142,-239,1,0_-360,-52_-373,0,e4
29,0,-78,-328,1,80_-480,5_-469,0,a14
30,0,-123,-278,1,0_-430,-42_-414,0,0
31,0,-172,-137,0.95,0_-270,-78_-288,0,0
32,0,-203,-273,1,-50_-420,-98_-421,0,en2
33,0,-186,-73,1,0_-200,-74_-244,0,a4
34,0,-369,-113,1,-200_-260,-213_-278,0,heng4
34,1,30,-5,1,120_-220,117_-224,0,heng4
35,0,-112,-248,1,50_-420,-26_-392,0,ai2
36,0,-202,-195,1,-50_-350,-148_-352,0,e5
37,0,51,-263,1,200_-420,95_-406,0,en4
38,0,-76,-269,1,80_-400,-5_-399,0,a15
39,0,-111,-277,1,50_-380,-24_-400,0,en1
40,0,-259,-282,1,-80_-400,-136_-422,0,e4
40,1,4,2,1,34_-287,39_-275,0,en2
41,0,-106,-231,0.9,100_-400,8_-386,0,0
42,0,-22,-233,0.9,120_-400,68_-392,0,0
43,0,-69,-232,0.9,100_-400,34_-390,0,0
44,0,-3,-240,0.9,150_-400,85_-389,0,0
45,0,-138,-242,0.9,50_-400,-36_-396,0,0
46,0,-170,-294,1,0_-420,-51_-426,0,en1
46,1,0,0,1,0_-420,-51_-426,0,en1
47,0,-214,-237,1,-50_-380,-124_-382,0,damei2
48,0,-62,-233,1,80_-350,24_-397,0,0
49,0,-133,-287,1,0_-400,-35_-416,0,ahehe
50,0,23,-163,1,150_-300,78_-321,0,e7
51,0,-7,-341,1,120_-450,61_-448,0,a7
52,0,58,-332,1,200_-470,111_-449,0,aye
53,0,-58,-214,1,100_-350,26_-367,0,0
54,0,-193,-248,1,-20_-380,-97_-392,0,0
55,0,-16,-241,1,150_-380,81_-392,0,en4
56,0,-45,-276,1,80_-390,20_-408,0,0
57,0,-57,24,0.9,60_-50,-24_-105,0,en1
58,0,-254,-267,1,-100_-400,-142_-409,0,ai
59,0,-85,3,1,100_-230_1.3,-1_-170,0,en17
60,0,-193,53,1,-100_-70,-100_-127,0,heng2
60,1,21,34,1,-67_-147,-58_-207,0,en10
60,2,-50,-30,0.9,170_-129,-58_-207,0,e3
61,0,-31,-233,1,180_-350,115_-391,0,o7
61,1,0,0,1,-31_-255,-69_-317,0,e5
62,0,-169,-226,1,-50_-360,-117_-371,0,en12
63,0,-203,-168,1,-50_-320,-100_-327,0,en15
64,0,-88,-196,1,50_-310,-3_-349,0,heng8
65,0,-5,-277,1,120_-400,69_-422,0,en7
66,0,-28,-178,1,80_-300,50_-350,0,e7
66,1,-2,54,0.8,305_-175,263_-247,0,e7
66,2,0,0,1,207_-63,263_-247,0,en10
67,0,-97,-21,1,80_-150,27_-198,0,e4
68,0,-61,-286,1,80_-410,4_-423,0,en1
69,0,-118,-286,1,30_-430,-27_-433,0,damei3
69,1,139,-85,1,150_-209,133_-248,0,en4
70,0,-56,-105,1,80_-220,27_-276,0,hei1
71,0,-94,-314,1,50_-450,-14_-448,0,ya5
72,0,-92,-313,1,50_-430,1_-450,0,en2
72,1,90,-42,1,250_31,157_-97,0,en11
72,2,0,0,1,170_-277,157_-97,0,en18
73,0,-161,-271,1,0_-400,-73_-420,0,ahehe
74,0,-108,-242,1,50_-360,-10_-389,0,en2
75,0,-269,-244,1,-120_-400,-167_-401,0,heng7
76,0,-141,-97,1,0_-200,-68_-250,0,heng8
77,0,-66,58,1,100_-40,-12_-129,0,en1
77,1,-18,-29,0.95,100_-260,156_-340,0,e5
78,0,-164,-227,1,-50_-380,-93_-378,0,en16
79,0,-111,-221,1,50_-360,-44_-375,0,e5
80,0,-88,-282,1,50_-450,-5_-422,0,a10
81,0,-98,-4,1,50_-60_1.1,-6_-96,0,0
82,0,-93,-5,1,50_-70_1.2,1_-92,0,0
83,0,-139,24,1,10_-30_1.2,-41_-80,0,0
84,0,-146,-71,1,50_-200,-62_-242,0,e2
85,0,-138,-78,1,0_-220,-44_-257,0,o4
86,0,-155,-385,1,0_-520,-71_-503,0,ai
86,1,-9,-114,1,176_-306,130_-307,0,a3
87,0,-304,-288,1,-180_-420,-198_-422,0,en18
88,0,-118,-371,1,30_-500,-33_-490,0,e7
89,0,-72,-215,1,80_-330,12_-358,0,a4
90,0,-109,-202,1,80_-330,-11_-358,0,ahehe
91,0,-102,-230,1,50_-380,-18_-366,0,o5
92,0,-221,-147,1,-80_-290,-135_-295,0,a2
92,1,0,0,1,-80_-144,-23_-184,0,a2
93,0,-294,-240,1,-150_-380,-183_-389,0,a15
94,0,-64,-240,1,80_-380,8_-381,0,en14
95,0,-79,-254,1,50_-400,-6_-391,0,a1
96,0,-171,50,1,0_-100,-73_-146,0,ya5
97,0,-38,-272,1,100_-420,28_-411,0,e7
97,1,0,0,1,100_-420,163_-196,0,e7
98,0,-203,-246,1,-80_-380,-128_-384,0,en2
99,0,-90,-312,1,80_-450,5_-449,0,a13
99,1,0,0,1,326_-180,255_-184,0,en18
100,0,-87,-248,1,50_-380,4_-383,0,e6
100,1,-120,0,1,-114_-194,-79_-260,0,en11
101,0,-48,-295,1,80_-430,19_-431,0,e7
102,0,-89,-1,1.1,60_-60,-10_-87,0,0
103,0,-282,-299,1,-120_-450,-165_-441,0,e7
104,0,-67,-256,1,80_-370,13_-388,0,o5
105,0,-239,-29,1,-150_-110,-217_-196,0,aa
105,1,0,0,1,254_-197,273_-232,0,e5
106,0,-29,-84,1,100_-220,55_-256,0,a9
107,0,-272,-29,0.95,-150_-180,-209_-215,0,en7
108,0,-49,-211,1,120_-340,51_-372,0,a10
109,0,-95,-311,1,30_-450,-22_-446,0,en7
110,0,110,-216,1,250_-340,152_-360,0,a15
111,0,-76,-330,1,70_-430,5_-448,0,en11
