Simplified_Text,Traditional_Text,English_Text,Japanese_Text,Korean_Text
克罗洛丝,克羅洛絲,Crolos,クロロス,크로노스
圣女辛,聖女辛,Saintess Shin,聖女シン,성녀 신
克丽奥娜,克麗奧娜,Cliodna,クレオナ,크리오나
清真纪,清真紀,Seimaki,清真紀,세이마키
贝罗娜,貝羅娜,Bellona,ベローナ,벨로나
德莉法,德莉法,Derifa,デリファ,데리파
德古娜,德古娜,Degunnr,ドグナ,데구나
忒缇丝,忒緹絲,Thetis,テティス,테티스
妮妮安妮,妮妮安妮,Ninianne,ニニアンニ,니니안
茜茜公主,茜茜公主,Sissi,シシ,시시
薇薇安,薇薇安,Vivian,ビビアン,비비안
吉蒙里,吉蒙里,Gremory,ギモンリ,기몬리
忒菲丝,忒菲絲,Thefis,ターフィス,테베스
厄洛丝,厄洛絲,Eros,アロス,에로스
诗嘉古尔,詩嘉古爾,Skagull,シガグール,시가구루
斯莉德,斯莉德,Slider,スケヤルド,스라이더
玩偶零,玩偶零,Doll Zero,人形ゼロ,인형 제로
莉莉丝,莉莉絲,Lilith,リリス,릴리스
斯蒂娜,斯蒂娜,Stina,スティーナ,스티나
乌蒂亚,烏蒂亞,Utia,ウティア,우티아
温蒂妮,溫蒂妮,Undine,ウェンディーニ,웬디니
珀瑞斯,珀瑞斯,Perris,ペラス,페리스
罗兰,羅蘭,Roland,ローランド,롤랑
西尔芙,西爾芙,Sylph,シルフ,실프
海芙约特,海芙約特,Herfjotur,ヘフィヨルド,허프조투어
菲希丝,菲希絲,Fisis,フィヒス,피히스
琳芙,琳芙,Lynf,リーンフ,린후
须佐真希,須佐真希,SusaMaki,須佐真希,수사 마키
露琪亚,露琪亞,Rukia,ルキア,루키아
格蕾,格蕾,Grey,グレー,그레이
奥尔露恩,奧爾露恩,Olrun,オルルン,올룬
克图格亚,克圖格亞,Cthugha,クトコア,쿠토코아
伊斯,伊斯,Hiss,イス,이스
波蒙,波蒙,Pomon,ポーモン,포몬
巴斯特,巴斯特,Bast,バスト,버스터
罗蕾莱,羅蕾萊,Lorelei,ローレライ,로렐라이
荒,荒,Susabi,無,수사비
阿斯莫德,阿斯莫德,Asmodeus,アスモード,아스모데우스
拉法叶,拉法葉,Lafayette,ラファイエット,라파엘트
瑞亚,瑞亞,Rhea,レイア,레아
无名勇者,無名勇者,Unknown Brave,無名の勇者,미지의 전사
无名法师,無名法師,Unknown Mage,無名の魔道士,미지의 마술사
无名射手,無名射手,Unknown Shooter,無名の射手,미지의 사수
无名枪兵,無名槍兵,Unknown Pikeman,無名の槍兵,미지의 창병
无名剑士,無名劍士,Unknown Swordsman,無名の剣士,미지의 검객
米娅,米婭,Mia,ミア,미아
瓦妮莎,瓦妮莎,Vanessa,ヴァネッサ,바네사
莉莉安,莉莉安,Lillian,リリアン,릴리안
邦妮,邦妮,Bonnie,ボニー,보니
巴托里,巴托里,Batory,バトリ,바토리
佐伊,佐伊,Zoe,ゾーイ,조이
达菲,達菲,Duffy,ダフィー,더피
阿比,阿比,Abbey,アビィ,아비
贝丝,貝絲,Bess,ベス,베스
伊丽丝,伊麗絲,Iris,イリス,아이리스
