Type,GroupId,TaskId,TaskDes,TaskCon,TaskVal,Awards,TaskDes_en
1,1,0,{完成下列所有任务},0,0,2021_1+1371_50+1621_50,Complete All The Following Quests
1,1,1,{领主等级} 30,1,30,0,Lord Level 30
1,1,2,{制造} {冷幽泉}({1阶}) x50,2105,50,0,Make Cold Spring(T1) x50
1,1,3,{制造} {优质木材}({1阶}) x50,2104,50,0,Make Premium Wood(T1) x50
1,2,0,{完成下列所有任务},0,0,2022_1+1372_50+1621_50,Complete All The Following Quests
1,2,1,{领主等级} 45,1,45,0,Lord Level 45
1,2,2,{制造} {攻击药剂}(1★) x10,2601,10,0,Make ATK Potion(1★) x10
1,2,3,{制造} {防御药剂}(1★) x10,2602,10,0,Make DEF Potion(1★) x10
1,2,4,{制造} {破坏药剂}(1★) x10,2603,10,0,Make DES Potion(1★) x10
1,3,0,{完成下列所有任务},0,0,2023_1+1373_50+1622_50,Complete All The Following Quests
1,3,1,{领主等级} 60,1,60,0,Lord Level 60
1,3,2,{制造} {攻击药剂}(2★) x20,2604,20,0,Make ATK Potion(2★) x20
1,3,3,{制造} {防御药剂}(2★) x20,2605,20,0,Make DEF Potion(2★) x20
1,3,4,{制造} {破坏药剂}(2★) x20,2606,20,0,Make DES Potion(2★) x20
1,3,5,{制造} {强壮药剂}(2★) x20,2607,20,0,Make Strong Potion(2★) x20
1,4,0,{完成下列所有任务},0,0,2024_1+1374_50+1622_50,Complete All The Following Quests
1,4,1,{领主等级} 75,1,75,0,Lord Level 75
1,4,2,{制造} {攻击药剂}(3★) x30,2608,30,0,Make ATK Potion(3★) x30
1,4,3,{制造} {防御药剂}(3★) x30,2609,30,0,Make DEF Potion(3★) x30
1,4,4,{制造} {破坏药剂}(3★) x30,2610,30,0,Make DES Potion(3★) x30
1,4,5,{制造} {强壮药剂}(3★) x30,2611,30,0,Make Strong Potion(3★) x30
1,4,6,{制造} {迅捷药剂}(3★) x20,2612,20,0,Make Agility Potion(3★) x20
1,5,0,{完成下列所有任务},0,0,2025_1+1375_50+1623_50,Complete All The Following Quests
1,5,1,{领主等级} 90,1,90,0,Lord Level 90
1,5,2,{制造} {攻击药剂}(4★) x50,2613,50,0,Make ATK Potion(4★) x50
1,5,3,{制造} {防御药剂}(4★) x50,2614,50,0,Make DEF Potion(4★) x50
1,5,4,{制造} {破坏药剂}(4★) x50,2615,50,0,Make DES Potion(4★) x50
1,5,5,{制造} {强壮药剂}(4★) x50,2616,50,0,Make Strong Potion(4★) x50
1,5,6,{制造} {迅捷药剂}(4★) x30,2617,30,0,Make Agility Potion(4★) x30
1,5,7,{制造} {力量药剂}(4★) x30,2618,30,0,Make Power Potion(4★) x30
1,5,8,{制造} {耐力药剂}(4★) x30,2619,30,0,Make Stamina Potion(4★) x30
1,6,0,{完成下列所有任务},0,0,2026_1+1376_50+1623_50,Complete All The Following Quests
1,6,1,{领主等级} 105,1,105,0,Lord Level 105
1,6,2,{制造} {攻击药剂}(5★) x80,2620,80,0,Make ATK Potion(5★) x80
1,6,3,{制造} {防御药剂}(5★) x80,2621,80,0,Make DEF Potion(5★) x80
