SuitID,Rare,SuitName,Pos1_PropId,Pos2_PropId,Pos3_PropId,PosX,PosY,Size,PosX2,PosY2,Size2,ShowInfo,Sort,GetPath,SuitName_en
0,1,{默认},0,0,0,-9,-146,0.7,-23,-129,0.7,0,1,1,Default
1,1,{初心者},4501,4502,4503,0,-136,0.7,-5,-123,0.7,0,2,1,Beginner
2,2,{侍者},4504,4505,4506,2,-133,0.7,8,-112,0.7,0,3,1,Attendant
3,2,{喵喵玩趣},4507,4508,4509,114,-64,0.7,113,-24,0.7,0,4,1,Meow Fun
20,2,{奇妙呱呱},4534,4535,4536,3,-127,0.7,0,-111,0.7,0,5,1,Bulbasaur
4,3,{荣耀统治},4510,4511,4512,-20,-127,0.7,6,-116,0.7,0,6,1,Reign Glory
5,3,{冰雪绒球},4513,4514,4515,33,-109,0.7,30,-96,0.7,0,7,1,Snow Pompom
6,3,{铁血霸主},4516,4517,4518,-15,-129,0.7,-19,-106,0.7,0,8,1,Iron Overlord
21,3,{牛仔萌猫},4537,4538,4539,9,-106,0.7,0,-90,0.7,0,9,1,Cowboy Cat
7,4,{仙侣奇缘},4519,4520,4521,-11,-98,0.7,-16,-72,0.7,0,10,1,Afairy couple
8,4,{夜幕怪盗},4522,4523,4524,-3,-96,0.7,-2,-97,0.7,0,11,1,Night Thief
9,4,{都市先锋},4525,4526,4527,5,-137,0.7,15,-127,0.7,0,12,1,Urban Pioneer
26,4,{雪绒绮遇},4546,4547,4548,47,30,0.8,45,0,0.85,0,13,1,Muppet Encounter
35,4,{花野野餐},4564,4565,4566,-19,-11,0.8,-120,-12,0.85,0,14,1,Blossom Picnic
22,4,{秋日暖阳},4540,4541,4542,8,-149,0.7,-5,-134,0.7,0,15,1,Autumn Sun
10,5,{玫瑰之刃},4528,4529,4530,8,-121,0.7,10,-117,0.7,0_-281_-41_1.1+-1_269_-77_1.1,16,1,Rose Blade
39,5,{万圣之夜},4573,4574,4575,137,-137,0.7,121,24,0.7,0,17,1,Halloween Night
11,6,{璀璨明星},4531,4532,4533,0,-109,0.7,-19,-100,0.7,0_-288_-57_1.2+-1_278_-81_1.2,18,1,Brilliant Star
40,6,{翠翎锦容},4576,4577,4578,133,-15,0.7,-200,-43,0.7,0,19,1,Jade Feather Beauty
23,4,{贝彩珠光},4543,4544,4545,-37,-10,0.7,-48,20,0.9,0,20,2,Shell Parl
29,4,{春日信笺},4549,4550,4551,-93,-82,0.7,19,-26,0.7,0,21,2,Spring Letter
43,4,{万事如意},4585,4586,4587,-66,-18,0.7,-72,-101,0.7,0,22,2,All the best
14,5,{黑夜魅影},4751,4752,4753,42,-112,0.7,54,-93,0.7,0_-235_-96_1.3+-1_223_-108_1.3,23,3,Dark Phantom
15,5,{奥术使者},4754,4755,4756,7,-63,0.7,-6,-29,0.7,0_-314_-97_1.1+-1_330_-97_1.1,24,3,Arcane Bringer
16,5,{月下猎影},4757,4758,4759,14,-136,0.7,14,-128,0.7,0_-322_-33_1.1+-1_305_-53_1.1,25,3,Moonlit Hunter
25,5,{琉璃誓约},4760,4761,4762,-9,-119,0.7,-72,-9,0.7,-1_-236_-46_1.2+0_266_-46_1.1,26,3,Glaze Oath
28,5,{深海鲛歌},4763,4764,4765,26,-88,0.7,166,-120,0.75,0_-247_-18_1.1+-1_163_0_1.0,27,3,Abyssal Siren
38,5,{提灯夜巡},4766,4767,4768,-8,-57,0.65,20,-96,0.65,0,28,3,Lantern Night Watch
44,5,{航海日志},4769,4770,4771,0,46,0.75,73,3,0.7,0,29,3,Nautical Log
30,5,{青焰式神},4552,4553,4554,8,53,0.7,-54,25,0.7,0_-255_0_1.0+-1_260_-28_1.1,30,4,Azure Shikigami
31,5,{星穹誓章},4555,4556,4557,-48,-87,0.7,35,-67,0.7,0_-230_-16_1.1+-1_193_-39_1.2,31,4,Stellar Covenant
33,5,{美丽童话},4558,4559,4560,38,-76,0.7,68,-88,0.7,-1_-229_-23_1.0+0_268_-48_1.0,32,4,Fantasia
34,5,{青芜梦呓},4561,4562,4563,-178,-88,0.7,-43,-20,0.8,0_-227_0_1.0+-1_266_29_0.9,33,4,Verdant Whisper
36,5,{雪境狐语},4567,4568,4569,-8,-24,0.7,-15,-21,0.7,0,34,4,Snow Fox
37,5,{花蔓之灵},4570,4571,4572,111,-18,0.7,-64,-39,0.7,-1_-200_0_1.0+0_200_0_1.0,35,4,Vine Elf
41,5,{圣诞颂歌},4579,4580,4581,165,-183,0.7,85,-68,0.7,0_-305_-46_1.2+-1_200_0_1.0,36,4,Christmas Carol
42,5,{玫纱丝影},4582,4583,4584,-8,-70,0.6,-46,-120,0.6,0_-256_-32_1.0+-1_330_14_0.9,37,4,Rose Veil Shadow
17,6,{惊涛掠夺者},4951,4952,4953,18,-118,0.7,12,-104,0.7,0_-318_-53_1.1+-1_263_-81_1.1,38,5,Tide Reaver
18,6,{不朽神话},4954,4955,4956,8,-60,0.7,-2,-33,0.7,0_-287_-82_1.1+-1_285_-101_1.1,39,5,Immortal Myth
19,6,{深渊王者},4957,4958,4959,8,-71,0.7,4,-51,0.7,0_-315_-89_1.1+-1_311_-89_1.1,40,5,Abyss King
24,6,{暗夜天使},4960,4961,4962,100,85,0.75,24,3,0.7,0_-289_-35_0.9+-1_329_-35_0.9,41,5,Dark Angel
27,6,{冕纱之恋},4963,4964,4965,-52,28,0.7,-104,45,0.85,0_-239_-69_1.0+-1_364_-15_0.8,42,5,Crown Romance
45,6,{千面奇遇},4966,4967,4968,9,-222,0.7,-10,-112,0.7,0_-336_-42_1.0+-1_307_27_1.0,43,5,Thousand Faces
12,5,{深蓝之歌},4741,4742,4743,-6,-136,0.7,-5,-120,0.7,0_-240_-50_1.2+-1_242_-50_1.1,44,6,Deep Blue Song
13,6,{法老传说},4744,4745,4746,0,-77,0.7,-9,-71,0.7,0_-281_-55_1.1+-1_283_-75_1.1,45,6,Pharaoh Legend
32,6,{鎏金绮梦},4747,4748,4749,-39,-47,0.7,57,-11,0.7,0,46,6,Gilded Fantasy
