gateNum,NeedLv,FirstAward,Income,AiInfo
1,1,1205_1+12_10000+3_5+1105_10,11_1000+2100_1+21_50+22_50+23_50+24_25,70001_1_0.6_1
2,1,1205_1+12_11000+3_5+1105_10,11_1020+2100_1+21_51+22_51+23_51+24_25,70002_2_0.7_1.01
3,1,1205_1+12_12000+3_5+1105_10,11_1040+2100_1+21_52+22_52+23_52+24_26,70003_3_0.8_1.01
4,1,1205_1+12_13000+3_5+1105_10,11_1060+2100_1+21_53+22_53+23_53+24_26,70004_4_0.9_1.02
5,1,1205_1+12_14000+3_5+1105_10,11_1080+2100_1+21_54+22_54+23_54+24_27,70005_5_1_1.02
6,1,1205_1+12_15000+3_5+1105_10,11_1100+2100_1+21_55+22_55+23_55+24_27,70006_6_1_1.03
7,1,1205_1+12_16000+3_5+1105_10,11_1120+2100_1+21_56+22_56+23_56+24_28,70007_7_1_1.04
8,1,1205_1+12_17000+3_5+1105_10,11_1140+2100_1+21_57+22_57+23_57+24_28,70008_8_1_1.04
9,1,1205_1+12_18000+3_5+1105_10,11_1160+2100_1+21_58+22_58+23_58+24_29,70009_9_1_1.05
10,1,1205_1+12_19000+3_5+1105_10,11_1180+2100_1+21_59+22_59+23_59+24_29,70010_10_1_1.05
11,1,1205_1+12_20000+3_6+1105_12,11_1200+2100_1+21_60+22_60+23_60+24_30,70011_11_1_1.06
12,1,1205_1+12_21000+3_6+1105_12,11_1220+2100_1+21_61+22_61+23_61+24_30,70012_11_1_1.07
13,1,1205_1+12_22000+3_6+1105_12,11_1240+2100_1+21_62+22_62+23_62+24_31,70013_12_1_1.07
14,1,1205_1+12_23000+3_6+1105_12,11_1260+2100_1+21_63+22_63+23_63+24_31,70014_12_1_1.08
15,1,1205_1+12_24000+3_6+1105_12,11_1280+2100_1+21_64+22_64+23_64+24_32,70015_12_1_1.08
16,1,1205_1+12_25000+3_6+1105_12,11_1300+2100_1+21_65+22_65+23_65+24_32,70016_12_1_1.09
17,1,1205_1+12_26000+3_6+1105_12,11_1320+2100_1+21_66+22_66+23_66+24_33,70017_12_1_1.1
18,1,1205_1+12_27000+3_6+1105_12,11_1340+2100_1+21_67+22_67+23_67+24_33,70018_12_1_1.1
19,1,1205_1+12_28000+3_6+1105_12,11_1360+2100_1+21_68+22_68+23_68+24_34,70019_13_1_1.11
20,1,1205_1+12_29000+3_6+1105_12,11_1380+2100_1+21_69+22_69+23_69+24_34,70020_13_1_1.11
21,1,1205_1+12_30000+3_7+1105_14,11_1400+2100_1+21_70+22_70+23_70+24_35,70021_13_1_1.12
22,1,1205_1+12_31000+3_7+1105_14,11_1420+2100_1+21_71+22_71+23_71+24_35,70022_13_1_1.13
23,1,1205_1+12_32000+3_7+1105_14,11_1440+2100_1+21_72+22_72+23_72+24_36,70023_13_1_1.13
24,1,1205_1+12_33000+3_7+1105_14,11_1460+2100_1+21_73+22_73+23_73+24_36,70024_14_1_1.14
25,2,1205_1+12_34000+3_7+1105_14,11_1500+2100_2+21_75+22_75+23_75+24_37,70025_14_1_1.14
26,2,1205_1+12_35000+3_7+1105_14,11_1540+2100_2+21_77+22_77+23_77+24_38,70026_14_1_1.15
27,2,1205_1+12_36000+3_7+1105_14,11_1580+2100_2+21_79+22_79+23_79+24_39,70027_14_1_1.16
