XmlNum,Name,Icon,JobType,Rare,BaseCosts,WorkCosts,WorkEffects,Weight,Name_en
1,{农妇},m_1001,1,1,21_30,2_20+24_10+22_20,1_3+2_1+3_1+4_1,30,Peasant Woman
2,{农妇},m_1002,1,2,21_30,2_24+24_12+22_24,1_4+2_1+3_1+4_1,20,Peasant Woman
3,{农妇},m_1003,1,3,21_30,2_28+24_14+22_28,1_5+2_2+3_2+4_2,10,Peasant Woman
4,{农妇},m_1004,1,4,21_30,2_32+24_16+22_32,1_6+2_2+3_2+4_2,5,Peasant Woman
5,{农妇},m_1005,1,5,21_30,2_36+24_18+22_36,1_7+2_3+3_3+4_3,3,Peasant Woman
6,{农妇},m_1006,1,6,21_30,2_40+24_20+22_40,1_8+2_4+3_4+4_4,1,Peasant Woman
7,{工匠},m_1007,2,1,21_30,2_20+23_30+22_10,1_1+2_3+3_1+4_1,30,Craftsman
8,{工匠},m_1008,2,2,21_30,2_24+23_36+22_12,1_1+2_4+3_1+4_1,20,Craftsman
9,{工匠},m_1009,2,3,21_30,2_28+23_42+22_14,1_2+2_5+3_2+4_2,10,Craftsman
10,{工匠},m_1010,2,4,21_30,2_32+23_48+22_16,1_2+2_6+3_2+4_2,5,Craftsman
11,{工匠},m_1011,2,5,21_30,2_36+23_54+22_18,1_3+2_7+3_3+4_3,3,Craftsman
12,{工匠},m_1012,2,6,21_30,2_40+23_60+22_20,1_4+2_8+3_4+4_4,1,Craftsman
13,{研究员},m_1013,3,1,21_30,2_20+24_10+23_20,1_1+2_1+3_3+4_1,30,Researcher
14,{研究员},m_1014,3,2,21_30,2_24+24_12+23_24,1_1+2_1+3_4+4_1,20,Researcher
15,{研究员},m_1015,3,3,21_30,2_28+24_14+23_28,1_2+2_2+3_5+4_2,10,Researcher
16,{研究员},m_1016,3,4,21_30,2_32+24_16+23_32,1_2+2_2+3_6+4_2,5,Researcher
17,{研究员},m_1017,3,5,21_30,2_36+24_18+23_36,1_3+2_3+3_7+4_3,3,Researcher
18,{研究员},m_1018,3,6,21_30,2_40+24_20+23_40,1_4+2_4+3_8+4_4,1,Researcher
19,{钓鱼佬},m_1019,4,1,21_30,2_20+24_10+22_20,1_1+2_1+3_1+4_3,30,Angler
20,{钓鱼佬},m_1020,4,2,21_30,2_24+24_12+22_24,1_1+2_1+3_1+4_4,20,Angler
21,{钓鱼佬},m_1021,4,3,21_30,2_28+24_14+22_28,1_2+2_2+3_2+4_5,10,Angler
22,{钓鱼佬},m_1022,4,4,21_30,2_32+24_16+22_32,1_2+2_2+3_2+4_6,5,Angler
23,{钓鱼佬},m_1023,4,5,21_30,2_36+24_18+22_36,1_3+2_3+3_3+4_7,3,Angler
24,{钓鱼佬},m_1024,4,6,21_30,2_40+24_20+22_40,1_4+2_4+3_4+4_8,1,Angler
