CityId,CityLv,Name,FirstAward,PassAward,Con,FightTime,AiInfo,Name_en,Con_en
-1,1,{哥布林首领},0,0,{通关}：{哥布林的要塞}({小型}),90,"82001,82002,82003,82004,82001,82002,82003,82004,82001,82002,82003,82004,82001,82002,82003,82004,82005_60_1.3_2.6",Goblin Leader,Clearance：Goblin Fortress(S)
-1,2,{哥布林首领},0,0,{通关}：{哥布林的要塞}({大型}),90,"82006,82007,82008,82009,82006,82007,82008,82009,82006,82007,82008,82009,82006,82007,82008,82009,82010_70_1.5_3.0",Goblin Leader,Clearance：Goblin Fortress(L)
-1,3,{哥布林首领},0,0,{通关}：{哥布林的王庭},90,"82011,82012,82013,82014,82011,82012,82013,82014,82011,82012,82013,82014,82011,82012,82013,82014,82015_80_1.7_3.4",Goblin Leader,Clearance：Goblin Palace
-2,1,{骷髅王},0,0,{通关}：{亡灵军团的要塞}({小型}),90,"83001,83002,83003,83004,83001,83002,83003,83004,83001,83002,83003,83004,83001,83002,83003,83004,83005_60_1.3_2.6",Skeleton King,Clearance：Undead Army's Fortress(S)
-2,2,{骷髅王},0,0,{通关}：{亡灵军团的要塞}({大型}),90,"83006,83007,83008,83009,83006,83007,83008,83009,83006,83007,83008,83009,83006,83007,83008,83009,83010_70_1.5_3.0",Skeleton King,Clearance：Undead Army's Fortress(L)
-2,3,{骷髅王},0,0,{通关}：{亡灵军团的总坛},90,"83011,83012,83013,83014,83011,83012,83013,83014,83011,83012,83013,83014,83011,83012,83013,83014,83015_80_1.7_3.4",Skeleton King,Clearance：Undead Army's Altar
-3,1,{北境之灵},0,0,{通关}：{北境军团的要塞}({小型}),90,"84376,84377,84378,84379,84376,84377,84378,84379,84376,84377,84378,84379,84376,84377,84378,84379,84380_60_1.3_2.6",Northern Lord,Clearance：North Legion Fortress(S)
-3,2,{北境之灵},0,0,{通关}：{北境军团的要塞}({大型}),90,"84381,84382,84383,84384,84381,84382,84383,84384,84381,84382,84383,84384,84381,84382,84383,84384,84385_70_1.5_3.0",Northern Lord,Clearance：North Legion Fortress(L)
-3,3,{北境之灵},0,0,{通关}：{北境军团的首都},90,"84386,84387,84388,84389,84386,84387,84388,84389,84386,84387,84388,84389,84386,84387,84388,84389,84390_80_1.7_3.4",Northern Lord,Clearance：North Legion Capital
-4,1,{海鲨首领},0,0,{通关}：{海鲨军团的要塞}({小型}),90,"84391,84392,84393,84394,84391,84392,84393,84394,84391,84392,84393,84394,84391,84392,84393,84394,84395_60_1.3_2.6",Shark Lord,Clearance：Shark Legion Fortress(S)
-4,2,{海鲨首领},0,0,{通关}：{海鲨军团的要塞}({大型}),90,"84396,84397,84398,84399,84396,84397,84398,84399,84396,84397,84398,84399,84396,84397,84398,84399,84400_70_1.5_3.0",Shark Lord,Clearance：Shark Legion Fortress(L)
-4,3,{海鲨首领},0,0,{通关}：{海鲨军团的总队},90,"84401,84402,84403,84404,84401,84402,84403,84404,84401,84402,84403,84404,84401,84402,84403,84404,84405_80_1.7_3.4",Shark Lord,Clearance：Shark Legion HQ
-5,1,{空域武神},0,0,{通关}：{空域守卫的要塞}({小型}),90,"84406,84407,84408,84409,84406,84407,84408,84409,84406,84407,84408,84409,84406,84407,84408,84409,84410_60_1.3_2.6",Skywarden,Clearance：Skyguard Fortress(S)
-5,2,{空域武神},0,0,{通关}：{空域守卫的要塞}({大型}),90,"84411,84412,84413,84414,84411,84412,84413,84414,84411,84412,84413,84414,84411,84412,84413,84414,84415_70_1.5_3.0",Skywarden,Clearance：Skyguard Fortress(L)
-5,3,{空域武神},0,0,{通关}：{空域守卫的城邦},90,"84416,84417,84418,84419,84416,84417,84418,84419,84416,84417,84418,84419,84416,84417,84418,84419,84420_80_1.7_3.4",Skywarden,Clearance：Skyguard City
1,1,{哥布林的要塞}({小型}),1211_10,1006_2+1101_1+1051_100+1055_100+2100_100+8_8000,{通关} {大世界} {中型城镇},90,"80001,80002,80003,80004,80005,80006,80007,80008,80009,80010,80011,80012,80013,80014,80015,80016,80017,80018,80019,80020,80021,80022,80023,80024,80009,80010,80011,80012,80013,80014,80015,80016,80017,80018,80019,80020,80021,80022,80023,80024,80009,80010,80011,80012,80013,80014,80015,80016,80017,80018,80019,80020,80021,80022,80023,80024,80001,80002,80003,80004,80005,80006,80007,80008,80009,80010,80011,80012,80013,80014,80015,80016,80017,80018,80019,80020,80021,80022,80023,80024,80003,80007,80006,80008,80001,80002,80005,80004,80024,80009,80023,80010,80022,80011,80021,80012,80020,80013,80019,80014,80018,80015,80017,80016,80024,80009,80023,80010,80022,80011,80021,80012,80020,80013,80019,80014,80018,80015,80017,80016,80024,80009,80023,80010,80022,80011,80021,80012,80020,80013,80019,80014,80018,80015,80017,80016,80003,80007,80006,80008,80001,80002,80005,80004,80024,80009,80023,80010,80022,80011,80021,80012,80020,80013,80019,80014,80018,80015,80017,80016,80001,80002,80003,80004,80005,80006,80007,80008,80009,80010,80011,80012,80013,80014,80015,80016,80017,80018,80019,80020,80021,80022,80023,80024,80009,80010,80011,80012,80013,80014,80015,80016,80017,80018,80019,80020,80021,80022,80023,80024,80009,80010,80011,80012,80013,80014,80015,80016,80017,80018,80019,80020,80021,80022,80023,80024,80001,80002,80003,80004,80005,80006,80007,80008,80025_60_2.5_2.5",Goblin Fortress(S),Clearance Great World Medium Town
