ST,ID,Rare,MaxUse,SkillStone,Icon,Name,Des,ImpactBy,UpDes,UpType,UpVal,InitVal,SkillP,ReadyRound,Effect,Buff,Dbuff,Name_en,Des_en,UpDes_en
1,7,3,0,0,FX_slash_23,{千里},"{在前2回合},{自身部队},{有几率} {优先出手}",0.76,{效果触发概率},1,0.038,0.38,1,0,0,79_1_7_1_0.38_0_0_0_0_2_1_0,0,Swift,"In The First 2 Rounds,Own Troop,A Chance to Prioritizes ATK",Effect Trigger Probability
1,5,3,2,1,FX_slash_57,{吟诵},"{从第5回合起},{使2个我方部队},{在每回合行动前},{恢复兵力}",0.84,{治疗系数},3,0.042,0.42,1,0,0,107_5_4_2_1_0.42_0_0_0_4_1_0,0,Chant,"From The 5th Round,Make 2 Of our Troops,Before Each Round,Restore Life",Healing Coefficient
1,1,3,0,0,FX_slash_57,{治愈之光},"{从第5回合起},{使2个我方部队},{在每回合行动前},{恢复兵力}",0.9,{治疗系数},3,0.045,0.45,1,0,0,107_5_4_2_1_0.45_0_0_0_4_1_0,0,Healing Light,"From The 5th Round,Make 2 Of our Troops,Before Each Round,Restore Life",Healing Coefficient
1,2,3,2,1,FX_slash_34,{破坏之王},"{在前3回合},{使2个我方部队},{破坏属性提高}({受防御属性影响})",10,{破坏属性提高},11,0.5,5,1,0,0,11_1_4_2_1_0_5_0_0_3_1_1,0,King Destroy,"In The First 3 Rounds,Make 2 Of our Troops,DES Attribute Increased(Affected By DEF Attribute)",DES Attribute Increased
1,3,3,2,1,FX_slash_34,{毁灭斩击},"{在前3回合},{使2个我方部队},{攻击属性提高}({受防御属性影响})",10,{攻击属性提高},9,0.5,5,1,0,0,9_1_4_2_1_0_5_0_0_3_1_1,0,Destroy Slash,"In The First 3 Rounds,Make 2 Of our Troops,ATK Attribute Increased(Affected By DEF Attribute)",ATK Attribute Increased
1,4,3,2,1,FX_slash_49,{卸甲},"{在前3回合},{使2个敌方部队},{防御属性降低}({受破坏属性影响})",10,{防御属性降低},15,0.5,5,1,0,0,15_1_2_2_1_0_5_0_0_3_1_1,0,Disarm,"In The First 3 Rounds,Make 2 Of Enemy Troops,DEF Reduced(Affected By DES Attribute)",DEF Reduced
1,6,3,2,1,FX_slash_15,{凛冬},"{在前3回合},{使2个敌方部队},{速度属性降低}({受破坏属性影响})",10,{速度属性降低},17,0.5,5,1,0,0,17_1_2_2_1_0_5_0_0_3_1_1,0,Winter,"In The First 3 Rounds,Make 2 Of Enemy Troops,Spd Attribute Reduced(Affected By DES Attribute)",Spd Attribute Reduced
1,1010,3,0,0,FX_slash_55,{看热闹},"{从第1回合起},{自身部队},{处于眩晕状态},{无法行动},{并且} {受到伤害降低}({受防御属性影响})",0.152,{受到伤害降低},8,0.0076,0.076,1,0,0,114_1_7_1_1_0_0_0_0_8_0_0+8_1_7_1_1_0.076_0_0_0_8_1_1,0,Watch The Fun,"From The 1st Round,Own Troop,In A Stunned State,Unable To Move,And DMG Taken Reduced(Affected By DEF Attribute)",DMG Taken Reduced
1,12,4,1,1,FX_slash_23,{极影},"{在前3回合},{使2个我方部队},{防御属性提高} 11.4({受防御属性影响}),{并且} {每回合} {有几率} {优先出手}",0.7,{效果触发概率},1,0.035,0.35,1,0,0,10_1_4_2_1_0_11.4_0_0_3_0_1+79_1_0_2_0.35_0_0_0_0_3_1_0,0,Polar Shadow,"In The First 3 Rounds,Make 2 Of our Troops,DEF Attribute Increased 11.4(Affected By DEF Attribute),And Each Round A Chance to Prioritizes ATK",Effect Trigger Probability
1,8,4,1,1,FX_slash_57,{福音},"{从第5回合起},{使2个我方部队},{在每回合行动前},{恢复兵力}",1.14,{治疗系数},3,0.057,0.57,1,0,0,107_5_4_2_1_0.57_0_0_0_4_1_0,0,Gospel,"From The 5th Round,Make 2 Of our Troops,Before Each Round,Restore Life",Healing Coefficient
