gift_type,type,id,name,price,limit,content,refresh_type,value,showLv,ShowValue,name_en
1,1,1,{月卡},300,0,1_1500+6_300,1,0,0,0,Monthly Card
1,2,1,{豪华月卡},680,0,1_3400+6_680,1,0,0,0,Luxury Card
1,3,1,{永久卡},2580,0,1_12900+6_2580,1,0,0,0,Permanent Card
2,1,1,{市政厅}-{成长基金}-I,300,1,6_300,0,0,0,0,City Hall-Growth Fund-I
2,1,2,{市政厅}-{成长基金}-II,680,1,6_680,0,0,0,0,City Hall-Growth Fund-II
2,1,3,{市政厅}-{成长基金}-III,1280,1,6_1280,0,0,0,0,City Hall-Growth Fund-III
2,2,1,{领主}-{成长基金}-I,680,1,6_680,0,0,0,0,Lord-Growth Fund-I
2,2,2,{领主}-{成长基金}-II,1280,1,6_1280,0,0,0,0,Lord-Growth Fund-II
2,2,3,{领主}-{成长基金}-III,2580,1,6_2580,0,0,0,0,Lord-Growth Fund-III
2,2,4,{领主}-{成长基金}-IV,3880,1,6_3880,0,0,0,0,Lord-Growth Fund-IV
2,2,5,{领主}-{成长基金}-V,6480,1,6_6480,0,0,0,0,Lord-Growth Fund-V
3,1,1,{冒险计划},980,1,6_980,6,0,0,0,Adventure Plan
3,1,2,{冒险计划} {扩展包},1280,1,1_6400+1253_2+1100_35+6_1280,6,0,0,0,Adventure Plan Extension Packs
3,4,1,★{最初的陪伴}★,60,1,5095_1+5060_1+1403_200+78501_1+4_300+6_60,0,0,0,800,★Initial Companionship★
3,4,2,★{最初的陪伴}★,120,1,5086_1+5072_1+1404_200+78502_1+4_600+6_120,0,0,0,700,★Initial Companionship★
3,4,3,★{最初的陪伴}★,300,1,5034_1+5061_1+1404_400+78503_1+4_1500+6_300,0,0,0,600,★Initial Companionship★
4,1,1,{红宝石}x300,60,0,1_300+6_60,1,0,0,0,Gemsx300
4,1,2,"{红宝石}x1,500",300,0,1_1500+6_300,1,0,0,0,"Gemsx1,500"
4,1,3,"{红宝石}x3,400",680,0,1_3400+6_680,1,0,0,0,"Gemsx3,400"
4,1,4,"{红宝石}x4,900",980,0,1_4900+6_980,1,0,0,0,"Gemsx4,900"
4,1,5,"{红宝石}x6,400",1280,0,1_6400+6_1280,1,0,0,0,"Gemsx6,400"
4,1,6,"{红宝石}x12,900",2580,0,1_12900+6_2580,1,0,0,0,"Gemsx12,900"
4,1,7,"{红宝石}x19,400",3880,0,1_19400+6_3880,1,0,0,0,"Gemsx19,400"
4,1,8,"{红宝石}x32,400",6480,0,1_32400+6_6480,1,0,0,0,"Gemsx32,400"
6,1,1,{免费礼包},0,1,1_50+2_3000+3_5+1105_5,2,0,0,0,Free Packs
6,6,1,★{福袋礼包}★,10,5,1080_1+1099_1+6_10,2,0,2,0,★Lucky Gift Bag★
6,2,1,{超值礼包}-A1,980,1,1110_168+1115_168+3_1680+6_980,2,0,2,0,Spree Packs-A1
6,2,2,{超值礼包}-A2,3880,1,1110_660+1115_660+3_6600+6_3880,2,0,2,0,Spree Packs-A2
6,2,3,{超值礼包}-A3,6480,5,1110_1120+1115_1120+3_11200+6_6480,2,0,2,0,Spree Packs-A3
6,3,1,{超值礼包}-B1,980,1,1205_30+1404_100+4_200+6_980,2,0,3,0,Spree Packs-B1
6,3,2,{超值礼包}-B2,3880,1,1205_120+1404_400+4_800+6_3880,2,0,3,0,Spree Packs-B2
6,3,3,{超值礼包}-B3,6480,5,1205_200+1404_680+4_1360+6_6480,2,0,3,0,Spree Packs-B3
6,4,1,{超值礼包}-C1,980,1,1210_30+1404_100+4_200+6_980,2,0,4,0,Spree Packs-C1
6,4,2,{超值礼包}-C2,3880,1,1210_120+1404_400+4_800+6_3880,2,0,4,0,Spree Packs-C2
6,4,3,{超值礼包}-C3,6480,5,1210_200+1404_680+4_1360+6_6480,2,0,4,0,Spree Packs-C3
6,5,1,★{每月礼包}★,3880,2,1211_200+1101_25+6_3880,4,0,1,0,★Monthly Packs★
8,1,1,{每日特惠}-1,60,1,1211_2+1099_3+6_60,2,0,0,0,Daily Specials-1
8,1,2,{每日特惠}-2,180,1,1211_6+1100_1+6_180,2,0,0,0,Daily Specials-2
8,1,3,{每日特惠}-3,300,1,1211_10+1101_3+6_300,2,0,0,0,Daily Specials-3
8,1,4,{每日特惠}-4,680,1,1211_22+1101_6+6_680,2,0,0,0,Daily Specials-4
8,2,1,{每日特惠1日包},1030,1,1211_40+1099_3+1100_1+1101_9+6_1220,0,0,0,0,Daily Specials 1-Day Pack
8,2,2,{每日特惠7日包},6400,1,1211_280+1099_21+1100_7+1101_63+6_8540,0,0,0,0,Daily Specials 7-Day Pack
5,1,1,{领主} Lv.15,300,1,1121_5+1403_200+1105_200+3_200+6_300,0,15,-1,0,Lord Lv.15
5,1,2,{领主} Lv.20,680,2,1265_25+1403_300+4_1000+6_680,0,20,-1,0,Lord Lv.20
5,1,3,{领主} Lv.25,680,2,1121_12+1403_400+1105_400+3_400+6_680,0,25,-1,0,Lord Lv.25
5,1,4,{领主} Lv.30,680,2,1121_6+1130_6+1135_6+3_1200+6_680,0,30,0,0,Lord Lv.30
5,1,5,{领主} Lv.35,680,2,1265_25+1403_300+4_1000+6_680,0,35,-1,0,Lord Lv.35
5,1,6,{领主} Lv.40,1280,2,1121_24+1403_800+1105_800+3_800+6_1280,0,40,0,0,Lord Lv.40
5,1,7,{领主} Lv.45,1280,2,1121_12+1130_12+1135_12+3_2400+6_1280,0,45,0,0,Lord Lv.45
5,1,8,{领主} Lv.50,1280,3,1465_250+1470_250+1404_200+4_750+6_1280,0,50,0,0,Lord Lv.50
5,1,9,{领主} Lv.55,1280,2,1265_50+1403_600+4_2000+6_1280,0,55,0,0,Lord Lv.55
5,1,10,{领主} Lv.60,1280,3,1320_1+1404_100+1403_100+6_1280,0,60,0,0,Lord Lv.60
