id,icon,name,rare,type,use_type,gotoPanel,PosType,Effect,Value,timeinfo,des,name_en,des_en,timeinfo_en
1,m_1,{红宝石},0,1,0,0,0,0,0,0,{用途}：{商店购物},Gems,Application：Shopping Store,
2,m_2,{金币},0,1,0,0,0,0,0,0,{用途}：{商店购物},Gold Coin,Application：Shopping Store,
3,m_3,{加速点},0,1,0,0,0,0,0,0,"{用途}：{建造}/{研究}
{加速} 5 {分钟}",Speedup Points,"Application：Build/Research
Speedup 5 Min",
4,m_4,{技能经验},0,1,0,0,0,0,0,0,{用途}：{提升} {技能等级},Skill Exp,Application：Enhance Skill Level,
5,m_5,{体力},0,1,0,0,0,0,0,0,{用途}：{大世界} {行动},Vit,Application：Great World Action,
6,m_6,{冒险者积分},0,1,0,0,0,0,0,0,{用途}：{提升} {冒险者等级},Adventurer Points,Application：Enhance Adventure Level,
7,m_7,{荣誉积分},0,1,0,0,0,0,0,0,{用途}：{兑换物品},Honor Points,Application：Exchange Item,
8,m_8,{联盟积分},0,1,0,0,0,0,0,0,{用途}：{兑换物品},Union Points,Application：Exchange Item,
9,m_9,{友谊积分},0,1,0,0,0,0,0,0,{用途}：{兑换物品},Friendship Points,Application：Exchange Item,
10,m_10,{兰德币},0,1,0,0,0,0,0,0,{用途}：{商店购物},Rand Coin,Application：Shopping Store,
11,m_11,{领主经验},0,1,0,0,0,0,0,0,{用途}：{提升} {领主等级},Lord Exp,Application：Enhance Lord Level,
12,m_12,{英雄经验},0,1,0,0,0,0,0,0,{用途}：{提升} {英雄等级},Hero Exp,Application：Enhance Hero Level,
13,m_13,{情报值},0,1,0,0,0,0,0,0,{用途}：{兑换物品},Intelligence Points,Application：Exchange Item,
14,m_14,{生活点},0,1,0,0,0,0,0,0,{用途}：{兑换物品},Life Points,Application：Exchange Item,
21,m_21,{粮食},0,1,0,0,0,0,0,0,{用途}：{建造}/{研究},Food,Application：Build/Research,
22,m_22,{木材},0,1,0,0,0,0,0,0,{用途}：{建造}/{研究},Wood,Application：Build/Research,
23,m_23,{石料},0,1,0,0,0,0,0,0,{用途}：{建造}/{研究},Stone,Application：Build/Research,
24,m_24,{铁锭},0,1,0,0,0,0,0,0,{用途}：{建造}/{研究},Iron,Application：Build/Research,
221,m_221,{联盟}-{粮食},0,1,0,0,0,0,0,0,{用途}：{建造}/{研究},Union-Food,Application：Build/Research,
222,m_222,{联盟}-{木材},0,1,0,0,0,0,0,0,{用途}：{建造}/{研究},Union-Wood,Application：Build/Research,
223,m_223,{联盟}-{石料},0,1,0,0,0,0,0,0,{用途}：{建造}/{研究},Union-Stone,Application：Build/Research,
224,m_224,{联盟}-{铁锭},0,1,0,0,0,0,0,0,{用途}：{建造}/{研究},Union-Iron,Application：Build/Research,
225,m_225,{联盟}-{金币},0,1,0,0,0,0,0,0,{用途}：{建造}/{研究},Union-Gold Coin,Application：Build/Research,
301,m_301,{步兵}-{1阶},1,1,0,0,1,0,1,0,{用途}：{获得} {士兵},Infantry-T1,Application：Get Soldier,
302,m_302,{弓兵}-{1阶},1,1,0,0,2,0,1,0,{用途}：{获得} {士兵},Archer-T1,Application：Get Soldier,
303,m_303,{骑兵}-{1阶},1,1,0,0,3,0,1,0,{用途}：{获得} {士兵},Cavalry-T1,Application：Get Soldier,
304,m_304,{战车}-{1阶},1,1,0,0,4,0,1,0,{用途}：{获得} {士兵},Chariot-T1,Application：Get Soldier,
305,m_305,{步兵}-{2阶},2,1,0,0,1,0,2,0,{用途}：{获得} {士兵},Infantry-T2,Application：Get Soldier,
306,m_306,{弓兵}-{2阶},2,1,0,0,2,0,2,0,{用途}：{获得} {士兵},Archer-T2,Application：Get Soldier,
307,m_307,{骑兵}-{2阶},2,1,0,0,3,0,2,0,{用途}：{获得} {士兵},Cavalry-T2,Application：Get Soldier,
308,m_308,{战车}-{2阶},2,1,0,0,4,0,2,0,{用途}：{获得} {士兵},Chariot-T2,Application：Get Soldier,
309,m_309,{步兵}-{3阶},3,1,0,0,1,0,3,0,{用途}：{获得} {士兵},Infantry-T3,Application：Get Soldier,
310,m_310,{弓兵}-{3阶},3,1,0,0,2,0,3,0,{用途}：{获得} {士兵},Archer-T3,Application：Get Soldier,
311,m_311,{骑兵}-{3阶},3,1,0,0,3,0,3,0,{用途}：{获得} {士兵},Cavalry-T3,Application：Get Soldier,
312,m_312,{战车}-{3阶},3,1,0,0,4,0,3,0,{用途}：{获得} {士兵},Chariot-T3,Application：Get Soldier,
313,m_313,{步兵}-{4阶},4,1,0,0,1,0,4,0,{用途}：{获得} {士兵},Infantry-T4,Application：Get Soldier,
314,m_314,{弓兵}-{4阶},4,1,0,0,2,0,4,0,{用途}：{获得} {士兵},Archer-T4,Application：Get Soldier,
315,m_315,{骑兵}-{4阶},4,1,0,0,3,0,4,0,{用途}：{获得} {士兵},Cavalry-T4,Application：Get Soldier,
316,m_316,{战车}-{4阶},4,1,0,0,4,0,4,0,{用途}：{获得} {士兵},Chariot-T4,Application：Get Soldier,
317,m_317,{步兵}-{5阶},5,1,0,0,1,0,5,0,{用途}：{获得} {士兵},Infantry-T5,Application：Get Soldier,
318,m_318,{弓兵}-{5阶},5,1,0,0,2,0,5,0,{用途}：{获得} {士兵},Archer-T5,Application：Get Soldier,
319,m_319,{骑兵}-{5阶},5,1,0,0,3,0,5,0,{用途}：{获得} {士兵},Cavalry-T5,Application：Get Soldier,
320,m_320,{战车}-{5阶},5,1,0,0,4,0,5,0,{用途}：{获得} {士兵},Chariot-T5,Application：Get Soldier,
321,m_321,{步兵}-{6阶},6,1,0,0,1,0,6,0,{用途}：{获得} {士兵},Infantry-T6,Application：Get Soldier,
322,m_322,{弓兵}-{6阶},6,1,0,0,2,0,6,0,{用途}：{获得} {士兵},Archer-T6,Application：Get Soldier,
323,m_323,{骑兵}-{6阶},6,1,0,0,3,0,6,0,{用途}：{获得} {士兵},Cavalry-T6,Application：Get Soldier,
324,m_324,{战车}-{6阶},6,1,0,0,4,0,6,0,{用途}：{获得} {士兵},Chariot-T6,Application：Get Soldier,
