RecId,Des,HeroNum1,SkillNum1,HeroNum2,SkillNum2,HeroNum3,SkillNum3,Des_en
1001,★{新手推荐}★,60,2_81+2_100+3_26+2_102,34,1_40+1_46+1_49+2_99,72,1_37+2_114+1_28+1_56,★Beginner Recommend★
1002,★{新手推荐}★,100,3_29+2_101+2_144+2_112,34,1_40+1_46+1_49+2_99,72,1_37+2_114+1_28+1_56,★Beginner Recommend★
1003,★{新手推荐}★,69,3_18+2_65+2_64+2_137,34,1_40+1_46+1_49+2_99,72,1_37+1_28+1_58+1_29,★Beginner Recommend★
1004,{热门方案}_1,86,2_80+2_117+2_100+3_27,34,1_40+1_46+1_28+1_29,105,1_65+2_114+1_49+2_58,Popular Plan_1
1005,{热门方案}_2,86,2_80+2_61+2_100+2_102,34,1_40+1_46+1_28+1_29,95,2_97+3_26+2_66+2_126,Popular Plan_2
1006,{热门方案}_3,60,2_81+2_102+3_26+2_66,66,1_42+1_32+2_99+2_136,72,1_37+1_49+2_114+2_58,Popular Plan_3
1007,{热门方案}_4,60,2_81+2_102+3_26+2_66,92,2_94+1_28+1_46+1_29,61,1_44+1_49+1_32+1_82,Popular Plan_4
1008,{热门方案}_5,69,3_18+2_65+2_64+2_137,40,1_26+3_16+1_46+2_21,72,1_37+1_28+1_49+2_58,Popular Plan_5
1009,{热门方案}_6,69,3_18+2_65+2_64+2_137,92,2_94+1_31+2_63+2_62,40,1_26+3_16+1_46+2_141,Popular Plan_6
1010,{热门方案}_7,99,2_113+2_102+3_26+2_100,105,1_65+1_49+1_56+1_34,66,1_42+1_32+1_35+1_30,Popular Plan_7
1011,{热门方案}_8,99,2_113+3_34+3_26+2_102,90,2_93+1_28+1_46+1_58,55,2_84+1_49+1_32+1_34,Popular Plan_8
1012,{热门方案}_9,77,3_19+4_18+1_48+4_12,2,1_43+1_32+2_62+1_35,72,1_37+1_28+1_49+2_58,Popular Plan_9
1013,{热门方案}_10,77,3_19+4_18+4_12+4_17,66,1_42+1_32+2_99+2_136,62,1_38+2_134+2_141+1_58,Popular Plan_10
1014,{热门方案}_11,74,2_71+3_34+2_100+2_102,68,1_36+1_56+1_28+1_74,61,1_44+1_32+1_35+2_99,Popular Plan_11
1015,{热门方案}_12,74,2_71+2_117+3_27+2_100,34,1_40+1_46+1_28+1_29,105,1_65+2_114+1_49+2_58,Popular Plan_12
1016,{热门方案}_13,106,4_19+1_48+4_18+4_13,72,1_37+1_79+2_141+2_140,1,3_12+2_62+2_63+2_90,Popular Plan_13
1017,{热门方案}_14,106,4_19+4_13+1_48+4_24,111,1_73+1_46+1_80+1_83,84,2_86+1_35+1_32+2_136,Popular Plan_14
1018,{热门方案}_15,70,2_73+2_126+2_131+2_132,32,2_79+3_15+2_64+2_66,68,1_36+1_56+1_28+1_74,Popular Plan_15
1019,{热门方案}_16,75,2_77+3_25+2_60+2_66,55,2_84+1_64+2_141+2_134,70,2_73+2_126+2_131+2_132,Popular Plan_16
1020,{热门方案}_17,108,2_116+2_117+3_27+2_142,66,1_42+1_31+1_32+1_13,105,1_65+1_46+1_28+2_134,Popular Plan_17
1021,{热门方案}_18,108,2_116+2_117+3_27+2_142,112,1_75+1_64+1_60+2_58,40,1_26+3_16+1_46+2_21,Popular Plan_18
1022,{热门方案}_19,51,2_70+2_112+2_128+2_133,68,1_36+1_74+1_28+2_141,107,1_67+1_61+2_110+2_59,Popular Plan_19
1023,{热门方案}_20,51,2_70+2_112+2_128+2_133,92,2_94+1_28+1_74+1_46,101,1_63+1_60+1_64+2_58,Popular Plan_20
1024,{热门方案}_21,23,2_67+2_100+2_102+2_142,2,1_43+1_33+1_35+1_32,109,2_119+1_28+1_58+2_134,Popular Plan_21
1025,{热门方案}_22,23,2_67+3_27+2_142+2_117,59,1_39+2_141+2_58+2_99,67,1_41+1_35+1_34+2_124,Popular Plan_22
1026,{热门方案}_23,76,2_72+3_27+2_65+2_146,112,1_75+1_60+1_59+2_83,97,1_52+2_58+1_28+1_46,Popular Plan_23
1027,{热门方案}_24,76,2_72+2_65+2_137+2_138,92,2_94+1_74+1_28+2_58,3,2_75+1_76+2_59+2_134,Popular Plan_24
