type,id,num,name,des,condition,need_num,reward,skip,name_en,des_en
1,2,1,{建筑},{升级} {农场} Lv.2,2,2,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Farm Lv.2
1,2,2,{建筑},{升级} {农场} Lv.3,2,3,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Farm Lv.3
1,2,3,{建筑},{升级} {农场} Lv.4,2,4,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Farm Lv.4
1,2,4,{建筑},{升级} {农场} Lv.5,2,5,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Farm Lv.5
1,2,5,{建筑},{升级} {农场} Lv.6,2,6,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Farm Lv.6
1,2,6,{建筑},{升级} {农场} Lv.7,2,7,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Farm Lv.7
1,2,7,{建筑},{升级} {农场} Lv.8,2,8,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Farm Lv.8
1,2,8,{建筑},{升级} {农场} Lv.9,2,9,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Farm Lv.9
1,2,9,{建筑},{升级} {农场} Lv.10,2,10,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Farm Lv.10
1,2,10,{建筑},{升级} {农场} Lv.11,2,11,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Farm Lv.11
1,2,11,{建筑},{升级} {农场} Lv.12,2,12,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Farm Lv.12
1,2,12,{建筑},{升级} {农场} Lv.13,2,13,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Farm Lv.13
1,2,13,{建筑},{升级} {农场} Lv.14,2,14,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Farm Lv.14
1,2,14,{建筑},{升级} {农场} Lv.15,2,15,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Farm Lv.15
1,2,15,{建筑},{升级} {农场} Lv.16,2,16,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Farm Lv.16
1,2,16,{建筑},{升级} {农场} Lv.17,2,17,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Farm Lv.17
1,2,17,{建筑},{升级} {农场} Lv.18,2,18,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Farm Lv.18
1,2,18,{建筑},{升级} {农场} Lv.19,2,19,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Farm Lv.19
1,2,19,{建筑},{升级} {农场} Lv.20,2,20,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Farm Lv.20
1,2,20,{建筑},{升级} {农场} Lv.21,2,21,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Farm Lv.21
1,2,21,{建筑},{升级} {农场} Lv.22,2,22,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Farm Lv.22
1,2,22,{建筑},{升级} {农场} Lv.23,2,23,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Farm Lv.23
1,2,23,{建筑},{升级} {农场} Lv.24,2,24,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Farm Lv.24
1,2,24,{建筑},{升级} {农场} Lv.25,2,25,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Farm Lv.25
1,3,1,{建筑},{建造} {伐木场},3,1,1_10+3_1+1105_2+11_1000,0,Building,Build Sawmill
1,3,2,{建筑},{升级} {伐木场} Lv.2,3,2,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Sawmill Lv.2
1,3,3,{建筑},{升级} {伐木场} Lv.3,3,3,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Sawmill Lv.3
1,3,4,{建筑},{升级} {伐木场} Lv.4,3,4,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Sawmill Lv.4
1,3,5,{建筑},{升级} {伐木场} Lv.5,3,5,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Sawmill Lv.5
1,3,6,{建筑},{升级} {伐木场} Lv.6,3,6,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Sawmill Lv.6
1,3,7,{建筑},{升级} {伐木场} Lv.7,3,7,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Sawmill Lv.7
1,3,8,{建筑},{升级} {伐木场} Lv.8,3,8,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Sawmill Lv.8
1,3,9,{建筑},{升级} {伐木场} Lv.9,3,9,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Sawmill Lv.9
1,3,10,{建筑},{升级} {伐木场} Lv.10,3,10,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Sawmill Lv.10
1,3,11,{建筑},{升级} {伐木场} Lv.11,3,11,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Sawmill Lv.11
1,3,12,{建筑},{升级} {伐木场} Lv.12,3,12,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Sawmill Lv.12
1,3,13,{建筑},{升级} {伐木场} Lv.13,3,13,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Sawmill Lv.13
1,3,14,{建筑},{升级} {伐木场} Lv.14,3,14,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Sawmill Lv.14
1,3,15,{建筑},{升级} {伐木场} Lv.15,3,15,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Sawmill Lv.15
1,3,16,{建筑},{升级} {伐木场} Lv.16,3,16,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Sawmill Lv.16
1,3,17,{建筑},{升级} {伐木场} Lv.17,3,17,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Sawmill Lv.17
1,3,18,{建筑},{升级} {伐木场} Lv.18,3,18,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Sawmill Lv.18
1,3,19,{建筑},{升级} {伐木场} Lv.19,3,19,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Sawmill Lv.19
1,3,20,{建筑},{升级} {伐木场} Lv.20,3,20,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Sawmill Lv.20
1,3,21,{建筑},{升级} {伐木场} Lv.21,3,21,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Sawmill Lv.21
1,3,22,{建筑},{升级} {伐木场} Lv.22,3,22,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Sawmill Lv.22
1,3,23,{建筑},{升级} {伐木场} Lv.23,3,23,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Sawmill Lv.23
1,3,24,{建筑},{升级} {伐木场} Lv.24,3,24,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Sawmill Lv.24
1,3,25,{建筑},{升级} {伐木场} Lv.25,3,25,1_40+3_4+1105_8+11_4000,0,Building,Upgrade Sawmill Lv.25
1,4,1,{建筑},{建造} {采石场},4,1,1_10+3_1+1105_2+11_1000,0,Building,Build Quarry
1,4,2,{建筑},{升级} {采石场} Lv.2,4,2,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Quarry Lv.2
1,4,3,{建筑},{升级} {采石场} Lv.3,4,3,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Quarry Lv.3
1,4,4,{建筑},{升级} {采石场} Lv.4,4,4,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Quarry Lv.4
1,4,5,{建筑},{升级} {采石场} Lv.5,4,5,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Quarry Lv.5
1,4,6,{建筑},{升级} {采石场} Lv.6,4,6,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Quarry Lv.6
1,4,7,{建筑},{升级} {采石场} Lv.7,4,7,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Quarry Lv.7
1,4,8,{建筑},{升级} {采石场} Lv.8,4,8,1_10+3_1+1105_2+11_1000,0,Building,Upgrade Quarry Lv.8
1,4,9,{建筑},{升级} {采石场} Lv.9,4,9,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Quarry Lv.9
1,4,10,{建筑},{升级} {采石场} Lv.10,4,10,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Quarry Lv.10
1,4,11,{建筑},{升级} {采石场} Lv.11,4,11,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Quarry Lv.11
1,4,12,{建筑},{升级} {采石场} Lv.12,4,12,1_20+3_2+1105_4+11_2000,0,Building,Upgrade Quarry Lv.12
