skill_type,skill_id,Lv,Effecs,des,des_en
1,12,1,10_3.2,{防御属性提高} +3.2({不受属性影响}),DEF Attribute Increased +3.2(Not Affected By Attribute)
1,12,2,10_6.4,{防御属性提高} +6.4({不受属性影响}),DEF Attribute Increased +6.4(Not Affected By Attribute)
1,12,3,10_9.6,{防御属性提高} +9.6({不受属性影响}),DEF Attribute Increased +9.6(Not Affected By Attribute)
1,12,4,10_12.8,{防御属性提高} +12.8({不受属性影响}),DEF Attribute Increased +12.8(Not Affected By Attribute)
1,8,1,3_0.046,{治疗系数} +0.046,Healing Coefficient +0.046
1,8,2,3_0.092,{治疗系数} +0.092,Healing Coefficient +0.092
1,8,3,3_0.138,{治疗系数} +0.138,Healing Coefficient +0.138
1,8,4,3_0.184,{治疗系数} +0.184,Healing Coefficient +0.184
1,55,1,1_0.03,{效果触发概率} +3%,Effect Trigger Probability +3%
1,55,2,1_0.06,{效果触发概率} +6%,Effect Trigger Probability +6%
1,55,3,1_0.09,{效果触发概率} +9%,Effect Trigger Probability +9%
1,55,4,1_0.12,{效果触发概率} +12%,Effect Trigger Probability +12%
1,9,1,1_0.03,{效果触发概率} +3%,Effect Trigger Probability +3%
1,9,2,1_0.06,{效果触发概率} +6%,Effect Trigger Probability +6%
1,9,3,1_0.09,{效果触发概率} +9%,Effect Trigger Probability +9%
1,9,4,1_0.12,{效果触发概率} +12%,Effect Trigger Probability +12%
1,10,1,1_0.02,{效果触发概率} +2%,Effect Trigger Probability +2%
1,10,2,1_0.04,{效果触发概率} +4%,Effect Trigger Probability +4%
1,10,3,1_0.06,{效果触发概率} +6%,Effect Trigger Probability +6%
1,10,4,1_0.08,{效果触发概率} +8%,Effect Trigger Probability +8%
1,11,1,1_0.024,{效果触发概率} +2.4%,Effect Trigger Probability +2.4%
1,11,2,1_0.048,{效果触发概率} +4.8%,Effect Trigger Probability +4.8%
1,11,3,1_0.072,{效果触发概率} +7.2%,Effect Trigger Probability +7.2%
1,11,4,1_0.096,{效果触发概率} +9.6%,Effect Trigger Probability +9.6%
1,69,1,1_0.024,{效果触发概率} +2.4%,Effect Trigger Probability +2.4%
1,69,2,1_0.048,{效果触发概率} +4.8%,Effect Trigger Probability +4.8%
1,69,3,1_0.072,{效果触发概率} +7.2%,Effect Trigger Probability +7.2%
1,69,4,1_0.096,{效果触发概率} +9.6%,Effect Trigger Probability +9.6%
1,13,1,18_2,{所有属性降低} +2({不受属性影响}),All Attributes Reduced +2(Not Affected By Attribute)
1,13,2,18_4,{所有属性降低} +4({不受属性影响}),All Attributes Reduced +4(Not Affected By Attribute)
1,13,3,18_6,{所有属性降低} +6({不受属性影响}),All Attributes Reduced +6(Not Affected By Attribute)
1,13,4,18_8,{所有属性降低} +8({不受属性影响}),All Attributes Reduced +8(Not Affected By Attribute)
1,21,1,13_2,{所有属性提高} +2({不受属性影响}),Increase All Attributes +2(Not Affected By Attribute)
1,21,2,13_4,{所有属性提高} +4({不受属性影响}),Increase All Attributes +4(Not Affected By Attribute)
1,21,3,13_6,{所有属性提高} +6({不受属性影响}),Increase All Attributes +6(Not Affected By Attribute)
1,21,4,13_8,{所有属性提高} +8({不受属性影响}),Increase All Attributes +8(Not Affected By Attribute)
1,45,1,13_0.6,{所有属性提高} +0.6({不受属性影响}),Increase All Attributes +0.6(Not Affected By Attribute)
1,45,2,13_1.2,{所有属性提高} +1.2({不受属性影响}),Increase All Attributes +1.2(Not Affected By Attribute)
1,45,3,13_1.8,{所有属性提高} +1.8({不受属性影响}),Increase All Attributes +1.8(Not Affected By Attribute)
1,45,4,13_2.4,{所有属性提高} +2.4({不受属性影响}),Increase All Attributes +2.4(Not Affected By Attribute)
1,19,1,8_0.013,{受到伤害降低} +1.3%({不受属性影响}),DMG Taken Reduced +1.3%(Not Affected By Attribute)
1,19,2,8_0.026,{受到伤害降低} +2.6%({不受属性影响}),DMG Taken Reduced +2.6%(Not Affected By Attribute)
1,19,3,8_0.039,{受到伤害降低} +3.9%({不受属性影响}),DMG Taken Reduced +3.9%(Not Affected By Attribute)
1,19,4,8_0.052,{受到伤害降低} +5.2%({不受属性影响}),DMG Taken Reduced +5.2%(Not Affected By Attribute)
1,53,1,1_0.028,{效果触发概率} +2.8%,Effect Trigger Probability +2.8%
1,53,2,1_0.056,{效果触发概率} +5.6%,Effect Trigger Probability +5.6%
1,53,3,1_0.084,{效果触发概率} +8.4%,Effect Trigger Probability +8.4%
1,53,4,1_0.112,{效果触发概率} +11.2%,Effect Trigger Probability +11.2%
1,54,1,1_0.028,{效果触发概率} +2.8%,Effect Trigger Probability +2.8%
1,54,2,1_0.056,{效果触发概率} +5.6%,Effect Trigger Probability +5.6%
1,54,3,1_0.084,{效果触发概率} +8.4%,Effect Trigger Probability +8.4%
1,54,4,1_0.112,{效果触发概率} +11.2%,Effect Trigger Probability +11.2%
1,27,1,3_0.056,{治疗系数} +0.056,Healing Coefficient +0.056
1,27,2,3_0.112,{治疗系数} +0.112,Healing Coefficient +0.112
1,27,3,3_0.168,{治疗系数} +0.168,Healing Coefficient +0.168
1,27,4,3_0.224,{治疗系数} +0.224,Healing Coefficient +0.224
1,27,5,3_0.280,{治疗系数} +0.280,Healing Coefficient +0.280
1,46,1,3_0.056,{治疗系数} +0.056,Healing Coefficient +0.056
1,46,2,3_0.112,{治疗系数} +0.112,Healing Coefficient +0.112
1,46,3,3_0.168,{治疗系数} +0.168,Healing Coefficient +0.168
1,46,4,3_0.224,{治疗系数} +0.224,Healing Coefficient +0.224
1,46,5,3_0.280,{治疗系数} +0.280,Healing Coefficient +0.280
1,56,1,1_0.016,{效果触发概率} +1.6%,Effect Trigger Probability +1.6%
1,56,2,1_0.032,{效果触发概率} +3.2%,Effect Trigger Probability +3.2%
1,56,3,1_0.048,{效果触发概率} +4.8%,Effect Trigger Probability +4.8%
1,56,4,1_0.064,{效果触发概率} +6.4%,Effect Trigger Probability +6.4%
1,56,5,1_0.080,{效果触发概率} +8.0%,Effect Trigger Probability +8.0%
1,61,1,1_0.016,{效果触发概率} +1.6%,Effect Trigger Probability +1.6%
1,61,2,1_0.032,{效果触发概率} +3.2%,Effect Trigger Probability +3.2%
1,61,3,1_0.048,{效果触发概率} +4.8%,Effect Trigger Probability +4.8%
1,61,4,1_0.064,{效果触发概率} +6.4%,Effect Trigger Probability +6.4%
1,61,5,1_0.080,{效果触发概率} +8.0%,Effect Trigger Probability +8.0%
1,28,1,8_0.018,{受到伤害降低} +1.8%({不受属性影响}),DMG Taken Reduced +1.8%(Not Affected By Attribute)
1,28,2,8_0.036,{受到伤害降低} +3.6%({不受属性影响}),DMG Taken Reduced +3.6%(Not Affected By Attribute)
1,28,3,8_0.054,{受到伤害降低} +5.4%({不受属性影响}),DMG Taken Reduced +5.4%(Not Affected By Attribute)
1,28,4,8_0.072,{受到伤害降低} +7.2%({不受属性影响}),DMG Taken Reduced +7.2%(Not Affected By Attribute)
1,28,5,8_0.090,{受到伤害降低} +9.0%({不受属性影响}),DMG Taken Reduced +9.0%(Not Affected By Attribute)
1,29,1,5_0.018,{造成伤害提高} +1.8%({不受属性影响}),DMG Dealt Increased +1.8%(Not Affected By Attribute)
1,29,2,5_0.036,{造成伤害提高} +3.6%({不受属性影响}),DMG Dealt Increased +3.6%(Not Affected By Attribute)
1,29,3,5_0.054,{造成伤害提高} +5.4%({不受属性影响}),DMG Dealt Increased +5.4%(Not Affected By Attribute)
1,29,4,5_0.072,{造成伤害提高} +7.2%({不受属性影响}),DMG Dealt Increased +7.2%(Not Affected By Attribute)
1,29,5,5_0.090,{造成伤害提高} +9.0%({不受属性影响}),DMG Dealt Increased +9.0%(Not Affected By Attribute)
1,31,1,6_0.018,{造成伤害降低} +1.8%({不受属性影响}),DMG Dealt Reduced +1.8%(Not Affected By Attribute)
1,31,2,6_0.036,{造成伤害降低} +3.6%({不受属性影响}),DMG Dealt Reduced +3.6%(Not Affected By Attribute)
1,31,3,6_0.054,{造成伤害降低} +5.4%({不受属性影响}),DMG Dealt Reduced +5.4%(Not Affected By Attribute)
1,31,4,6_0.072,{造成伤害降低} +7.2%({不受属性影响}),DMG Dealt Reduced +7.2%(Not Affected By Attribute)
1,31,5,6_0.090,{造成伤害降低} +9.0%({不受属性影响}),DMG Dealt Reduced +9.0%(Not Affected By Attribute)
1,32,1,7_0.018,{受到伤害提高} +1.8%({不受属性影响}),DMG Taken Increased +1.8%(Not Affected By Attribute)
1,32,2,7_0.036,{受到伤害提高} +3.6%({不受属性影响}),DMG Taken Increased +3.6%(Not Affected By Attribute)
1,32,3,7_0.054,{受到伤害提高} +5.4%({不受属性影响}),DMG Taken Increased +5.4%(Not Affected By Attribute)
1,32,4,7_0.072,{受到伤害提高} +7.2%({不受属性影响}),DMG Taken Increased +7.2%(Not Affected By Attribute)
1,32,5,7_0.090,{受到伤害提高} +9.0%({不受属性影响}),DMG Taken Increased +9.0%(Not Affected By Attribute)
1,33,1,32_0.018,{战术技能伤害降低} +1.8%({不受属性影响}),Tactical Skill DMG Dealt Reduced +1.8%(Not Affected By Attribute)
