SkillIcon,SkillHit,EachObj,SkillTime,HitWait,Music,Snake,SnakeTime
FX_slash_1,FX_hit_1,1,0.25,0.35,1,1,0
FX_slash_2,FX_hit_2,1,0.25,0.4,1,1,0
FX_slash_3,FX_hit_6,1,0.25,0.4,1,1,0
FX_slash_4,FX_hit_14,1,0.25,0.35,1,1,0
FX_slash_5,0,1,1,0,16,0,0
FX_slash_6,0,1,1,0,20,1,0
FX_slash_7,0,1,1.1,0,20,1,0
FX_slash_8,FX_hit_7,1,0.7,0.35,22,1,0
FX_slash_9,FX_hit_7,1,0.6,0.35,22,1,0
FX_slash_10,0,1,1.7,0,16,0,0
FX_slash_11,0,1,0.6,0,92,1,0
FX_slash_12,0,1,0.6,0,22,1,0
FX_slash_13,0,1,0.35,0,92,1,0
FX_slash_14,0,1,1.5,0,32,1,0
FX_slash_15,0,1,0.7,0,34,1,0
FX_slash_16,0,1,1.5,0,36,1,0
FX_slash_17,0,1,1.5,0,36,1,0
FX_slash_18,0,1,0.5,0,18,0,0
FX_slash_19,0,1,1.5,0,39,0,0
FX_slash_20,0,1,1,0,41,0,0
FX_slash_21,0,1,0.6,0,42,1,0
FX_slash_22,0,1,1.1,0,39,0,0
FX_slash_23,0,1,1.1,0,39,0,0
FX_slash_24,0,1,0.4,0,92,1,0
FX_slash_25,0,1,0.6,0,49,1,0
FX_slash_26,0,1,1.7,0,100,1,0
FX_slash_27,0,1,0.4,0,53,1,0
FX_slash_28,0,1,0.5,0,58,1,0
FX_slash_29,0,1,0.7,0,59,1,0
FX_slash_30,0,1,0.6,0,62,1,0
FX_slash_31,0,1,1.5,0,63,0,0
FX_slash_32,0,1,0.6,0,92,1,0
FX_slash_33,0,1,0.5,0,66,1,0
FX_slash_34,0,1,0.65,0,68,0,0
FX_slash_35,0,1,0.4,0,69,1,0
FX_slash_36,0,1,0.5,0,72,0,0
FX_slash_37,0,1,0.35,0,73,1,0
FX_slash_38,0,1,0.6,0,42,1,0
FX_slash_39,0,0,0.8,0,76,1,0
FX_slash_40,0,1,1.3,0,48,1,0
FX_slash_41,0,1,1.1,0,81,1,0
FX_slash_42,0,1,0.5,0,82,1,0
FX_slash_43,0,1,0.6,0,85,1,0
FX_slash_44,0,1,0.6,0,85,1,0
FX_slash_45,0,1,0.8,0,87,1,0
FX_slash_46,0,1,1.5,0,22,0,0
FX_slash_47,FX_hit_7,0,0.5,0.35,92,1,0
FX_slash_48,FX_hit_8,0,0.55,0.35,93,1,0
FX_slash_49,0,1,1.2,0,95,0,0
FX_slash_50,FX_hit_7,0,1.1,0.35,96,1,0
FX_slash_51,FX_hit_4,1,0.8,0.35,98,1,0
FX_slash_52,0,1,2,0,102,1,0
FX_slash_53,0,1,1,0,104,1,0
FX_slash_54,0,1,0.6,0,105,1,0
FX_slash_55,0,1,1.1,0,39,0,0
FX_slash_56,0,1,0.65,0,68,0,0
FX_slash_57,0,1,1.5,0,37,0,0
FX_slash_58,0,1,1.7,0,16,0,0
FX_slash_59,0,1,1.7,0,16,0,0
FX_slash_60,FX_hit_4,1,0.8,0.35,98,1,0
FX_slash_61,0,1,0.6,0,85,1,0
FX_slash_62,0,1,1,0,41,0,0
FX_slash_63,0,1,1.1,0,39,0,0
FX_slash_64,0,1,0.4,0,1,1,0
FX_slash_65,0,1,0.4,0,1,1,0
AddHP,0,1,0.6,0,AddHP,0,0
ComboAtt,0,1,0.7,0,ComboAtt,1,0
Self_1003,0,1,0.6,0,Self_1003,0,0
Self_1029,0,1,0.6,0,Self_1029,0,0
Self_1081,0,1,0.6,0,Self_1081,0,0
Self_1085,BurstPoint2,1,0.6,0.2,Self_1085,1,0
Self_1086,BurstPoint1,1,0.6,0.2,Self_1086,1,0
Skill_1001,0,1,0.6,0,Skill_1001,0,0
Skill_1084,0,1,0.6,0,Skill_1084,0,0
Skill_1002,BurstPoint4,1,0.4,0.2,Skill_1002,1,0
Skill_1021,BurstPoint4,1,0.7,0.2,Skill_1021,1,0
Skill_1006,BurstPoint4,1,0.6,0.2,Skill_1006,1,0
Skill_1047,BurstPoint4,1,0.6,0.2,Skill_1047,1,0
Skill_1049,BurstPoint4,1,0.6,0.2,Skill_1049,1,0
Skill_1063,BurstPoint1,1,0.6,0.2,Skill_1063,1,0
Skill_1064,0,1,0.7,0,Skill_1064,0,0
Skill_1065,BurstPoint1,1,0.6,0.2,Skill_1065,1,0
Skill_1066,BurstPoint1,1,0.6,0.2,Skill_1066,1,0
Skill_1068,0,1,0.6,0,Skill_1068,0,0
Skill_1069,0,1,0.8,0,Skill_1069,0,0
Skill_2008,0,1,0.6,0,Skill_2008,1,0
Skill_1061,0,1,0.8,0,Skill_1061,0,0
AddBuff,0,1,0.7,0,AddBuff,0,0
AddDbuff,0,1,0.7,0,AddDbuff,0,0
ChargeOne,0,1,0.5,0,ChargeOne,0,0
