name,type,level,attack,defense,ruin,health,movement_speed,load,power,recruit_science,recruit_food,recruit_wood,recruit_stone,recruit_iron,recruit_time,cure_food,cure_wood,cure_stone,cure_iron,cure_time,des,name_en
{1阶} {步兵},1,1,7,30,10,100,40,7,10,0,2,2,0,0,0,1,1,0,0,0,{临时组建的步兵.},T1 Infantry
{2阶} {步兵},1,2,9,35,12,125,40,11,30,2031,4,4,0,0,3,2,2,0,0,1,"{受过良好训练的步兵,生命力较强.}",T2 Infantry
{3阶} {步兵},1,3,11,40,14,150,40,12,60,2061,6,6,0,0,7,3,3,0,0,2,"{受过精良训练的步兵,生命力较强.}",T3 Infantry
{4阶} {步兵},1,4,13,45,16,175,40,13,100,2101,12,12,0,6,12,6,6,0,3,3,"{受过专业训练的步兵,生命力较强.}",T4 Infantry
{5阶} {步兵},1,5,18,60,20,215,40,15,150,2151,32,32,0,16,20,16,16,0,8,4,"{受过特等训练的步兵,生命力较强.}",T5 Infantry
{6阶} {步兵},1,6,23,75,24,255,40,17,200,2181,52,52,0,26,32,26,26,0,13,5,"{受过专业训练的步兵,生命力较强.}",T6 Infantry
{1阶} {弓兵},2,1,60,15,4,25,45,6,10,0,2,2,0,0,0,1,1,0,0,0,{临时组建的弓箭手.},T1 Archer
{2阶} {弓兵},2,2,70,21,6,30,45,8,30,2032,4,4,0,0,3,2,2,0,0,1,"{受过良好训练的弓箭手,具有较高的攻击力.}",T2 Archer
{3阶} {弓兵},2,3,80,27,8,35,45,9,60,2062,6,6,0,0,7,3,3,0,0,2,"{受过精良训练的弓箭手,具有较高的攻击力.}",T3 Archer
{4阶} {弓兵},2,4,90,33,10,40,45,11,100,2102,12,12,0,6,12,6,6,0,3,3,"{受过专业训练的弓箭手,具有较高的攻击力.}",T4 Archer
{5阶} {弓兵},2,5,110,45,14,50,45,13,150,2152,32,32,0,16,20,16,16,0,8,4,"{受过特等训练的弓箭手,具有极高的攻击力.}",T5 Archer
{6阶} {弓兵},2,6,130,57,18,60,45,15,200,2182,52,52,0,26,32,26,26,0,13,5,"{受过特等训练的弓箭手,具有极高的攻击力.}",T6 Archer
{1阶} {骑兵},3,1,16,50,3,40,55,5,10,0,2,0,2,0,0,1,0,1,0,0,{临时组建的骑兵.},T1 Cavalry
{2阶} {骑兵},3,2,20,60,5,50,55,7,30,2033,4,0,4,0,3,2,0,2,0,1,"{受过良好训练的骑兵,具有较高的防御力.}",T2 Cavalry
{3阶} {骑兵},3,3,24,70,7,60,55,8,60,2063,6,0,6,0,7,3,0,3,0,2,"{受过精良训练的骑兵,具有较高的防御力.}",T3 Cavalry
{4阶} {骑兵},3,4,28,80,9,70,55,10,100,2103,12,0,12,6,12,6,0,6,3,3,"{受过专业训练的骑兵,具有较高的防御力.}",T4 Cavalry
{5阶} {骑兵},3,5,35,100,12,90,55,12,150,2153,32,0,32,16,20,16,0,16,8,4,"{受过特等训练的骑兵,具有极高的防御力.}",T5 Cavalry
{6阶} {骑兵},3,6,42,120,15,110,55,14,200,2183,52,0,52,26,32,26,0,26,13,5,"{受过专业训练的骑兵,具有较高的防御力.}",T6 Cavalry
{1阶} {战车},4,1,20,15,50,50,35,25,10,0,0,2,2,0,0,0,1,1,0,0,{粗制滥造的攻城车.},T1 Chariot
{2阶} {战车},4,2,24,18,60,55,35,30,30,2034,0,4,4,0,3,0,2,2,0,1,"{简易的攻城车,具有较强的破坏力.}",T2 Chariot
{3阶} {战车},4,3,28,21,70,60,35,35,60,2064,0,6,6,0,7,0,3,3,0,2,"{改良后的攻城车,具有较强的破坏力.}",T3 Chariot
{4阶} {战车},4,4,32,24,80,65,35,40,100,2104,0,12,12,6,12,0,6,6,3,3,"{能工巧匠打造的攻城车,具有较强的破坏力.}",T4 Chariot
{5阶} {战车},4,5,40,30,100,80,35,50,150,2154,0,32,32,16,20,0,16,16,8,4,"{精心研制的攻城车,具有强大的破坏力.}",T5 Chariot
{6阶} {战车},4,6,48,36,120,95,35,60,200,2184,0,52,52,26,32,0,26,26,13,5,"{精心研制的攻城车,具有强大的破坏力.}",T6 Chariot
