storetype,propId,limit,pricetype,price,NeedLv
1,1381,100,2,50,0
1,1385,100,2,150,0
1,1200,1,2,60000,0
1,1211,1,2,120000,0
1,1205,0,1,400,0
1,1210,0,1,400,0
1,1204,0,1,400,0
1,1120,10,1,500,0
1,1121,5,1,1000,0
1,3,999,1,5,0
1,1052,200,1,8,0
1,1053,200,1,8,0
1,1054,200,1,8,0
1,1055,200,1,8,0
1,1851,1,1,1000,0
1,1852,1,1,3000,0
1,1855,1,1,300,0
1,1856,1,1,3000,0
2,1120,10,1,300,0
2,1110,100,1,25,1
2,3,1000,1,3,1
2,1115,100,1,25,2
2,4,1000,1,3,3
2,1601,30,1,60,4
2,1623,300,1,7,4
2,1465,200,1,36,5
2,1470,200,1,36,5
2,1205,10,1,300,6
2,1210,10,1,300,6
2,1204,10,1,300,6
2,1460,200,1,30,7
2,1450,200,1,30,7
2,1505,50,1,60,8
2,1515,10,1,480,8
2,2200,2,1,4000,9
2,1600,25,1,200,9
2,1255,10,1,200,10
2,1265,10,1,300,10
2,1266,10,1,250,10
3,3,300,8,100,0
3,1105,300,8,100,0
3,1621,1200,8,12,0
3,1601,12,8,1200,0
3,1151,10,8,500,0
3,1152,6,8,1500,0
3,1285,5,8,5000,0
3,1118,1,8,15000,0
3,1008,4,8,1500,0
3,1009,2,8,3750,0
3,1006,2,8,3000,0
3,1007,2,8,7500,0
3,4,300,8,100,0
3,1403,100,8,100,0
3,1126,10,8,2000,0
3,1091,5,8,1000,0
3,1095,1,8,6000,0
4,3,300,9,100,0
4,1105,300,9,100,0
4,1621,600,9,12,0
4,1601,6,9,1200,0
4,1379,300,9,60,0
4,4,300,9,100,0
4,1254,1,9,25000,0
4,1091,5,9,2500,0
4,1095,1,9,12500,0
4,1205,1,9,8000,0
4,1210,1,9,8000,0
4,1008,4,9,1500,0
4,1009,2,9,3750,0
4,1006,2,9,3000,0
4,1007,2,9,7500,0
5,3,300,7,50,0
5,1105,300,7,50,0
5,1621,900,7,6,0
5,1601,9,7,600,0
5,4,300,7,50,0
5,1305,10,7,1500,0
5,1315,5,7,4500,0
5,1118,1,7,7500,0
5,1600,10,7,2000,0
5,3401,1,7,30000,0
5,3402,1,7,30000,0
5,3403,1,7,30000,0
5,3404,1,7,30000,0
5,1008,4,7,750,0
5,1009,2,7,1875,0
5,1006,2,7,1500,0
5,1007,2,7,3750,0
5,1126,10,7,1000,0
11,3,300,14,300,0
11,1379,600,14,200,0
11,1380,50,14,400,0
11,1531,500,14,200,0
11,1211,2,14,20000,0
11,1051,300,14,500,0
11,1105,300,14,300,0
11,1110,50,14,1500,0
11,1001,2,14,20000,0
11,1361,999,14,36,0
11,1362,600,14,108,0
11,1363,400,14,270,0
11,1364,200,14,660,0
11,1371,999,14,45,0
11,1372,600,14,135,0
11,1373,400,14,330,0
11,1374,200,14,825,0
6,1125,30,1124,100,0
6,1126,30,1124,100,0
6,1465,300,1124,36,0
6,1470,300,1124,36,0
6,1315,25,1124,450,0
6,1325,25,1124,750,0
6,1119,2,1124,5000,0
6,1285,50,1124,300,0
6,1295,15,1124,1200,0
6,3405,1,1124,14750,0
6,3406,1,1124,14750,0
6,3407,1,1124,14750,0
6,3408,1,1124,14750,0
6,3415,1,1124,14750,0
6,1275,10,1124,1500,0
7,3,200,1715,10,0
7,1110,80,1715,25,0
7,1151,20,1715,100,0
7,1152,12,1715,300,0
7,1460,40,1715,60,0
7,1450,40,1715,60,0
7,1125,10,1715,200,0
7,1515,5,1715,960,0
7,1520,5,1715,1800,0
7,1600,5,1715,400,0
9,1011,1,1,1800,20
9,1012,1,1,1800,40
9,1013,1,1,3600,60
9,1014,1,1,3600,80
9,1015,1,1,7800,100
9,1016,1,1,7800,120
9,1017,1,1,7800,140
9,1018,1,1,7800,160
9,1019,1,1,7800,180
9,1020,1,1,7800,200
9,1021,1,1,7800,220
9,1022,1,1,7800,240
9,1023,1,1,7800,260
9,1024,1,1,7800,280
9,1025,1,1,13200,300
9,1026,1,1,13200,320
9,1027,1,1,13200,340
9,1028,1,1,13200,360
9,1029,1,1,13200,380
9,1030,1,1,13200,400
10,1031,1,1,1800,10
10,1032,1,1,1800,20
10,1033,1,1,3600,30
10,1034,1,1,3600,40
10,1035,1,1,7800,50
10,1036,1,1,7800,60
10,1037,1,1,7800,70
10,1038,1,1,7800,80
10,1039,1,1,7800,90
10,1040,1,1,7800,100
10,1041,1,1,7800,110
10,1042,1,1,7800,120
10,1043,1,1,7800,130
10,1044,1,1,7800,140
10,1045,1,1,13200,150
10,1046,1,1,13200,160
10,1047,1,1,13200,170
10,1048,1,1,13200,180
10,1049,1,1,13200,190
10,1050,1,1,13200,200
12,1002,2,1003,50,0
12,1005,2,1003,100,0
12,2160,0,1003,2,0
12,2161,0,1003,1,0
12,1001,10,1003,50,0
12,1004,50,1003,2,0
12,1110,200,1003,3,0
12,1115,200,1003,3,0
12,1255,5,1003,22,0
12,1265,5,1003,33,0
12,1266,5,1003,28,0
12,2200,2,1003,400,0
12,1600,50,1003,20,0
12,1570,10,1003,12,0
12,1008,8,1003,8,0
12,1009,4,1003,20,0
12,1006,4,1003,15,0
12,1007,4,1003,40,0
13,2199,2,1079,1400,0
13,1005,1,1079,450,0
13,1600,25,1079,70,0
13,1570,10,1079,50,0
13,1125,5,1079,35,0
13,1126,5,1079,35,0
13,4023,1,1079,900,0
13,4053,1,1079,900,0
13,4042,1,1079,900,0
13,4034,1,1079,300,0
13,4052,1,1079,300,0
13,4050,1,1079,300,0
13,4047,1,1079,300,0
13,4058,1,1079,300,0
13,4059,1,1079,300,0
13,4060,1,1079,300,0
13,4041,2,1079,150,0
13,1008,2,1079,40,0
13,1009,1,1079,100,0
13,1006,1,1079,75,0
13,1007,1,1079,190,0
