StyleLv,NeedVal,Effects,Des,Power,Des_en
1,20,1_0.006+201_0.006,"{主城所有资源产量} +0.6%
{主城金币产量} +0.6%",2200,"City All Resource Output +0.6%
City Gold Output +0.6%"
2,20,1_0.012+201_0.012,"{主城所有资源产量} +1.2%
{主城金币产量} +1.2%",4554,"City All Resource Output +1.2%
City Gold Output +1.2%"
3,40,1_0.018+201_0.018,"{主城所有资源产量} +1.8%
{主城金币产量} +1.8%",7062,"City All Resource Output +1.8%
City Gold Output +1.8%"
4,40,1_0.024+201_0.024,"{主城所有资源产量} +2.4%
{主城金币产量} +2.4%",9724,"City All Resource Output +2.4%
City Gold Output +2.4%"
5,40,1_0.03+201_0.03+28_0.02+30_0.02,"{主城所有资源产量} +3%
{主城金币产量} +3%
{所有士兵} {生命} +2%
{所有士兵} {行军速度} +2%",35340,"City All Resource Output +3%
City Gold Output +3%
All Soldiers HP +2%
All Soldiers March Spd +2%"
6,60,1_0.036+201_0.036+28_0.02+30_0.02,"{主城所有资源产量} +3.6%
{主城金币产量} +3.6%
{所有士兵} {生命} +2%
{所有士兵} {行军速度} +2%",39010,"City All Resource Output +3.6%
City Gold Output +3.6%
All Soldiers HP +2%
All Soldiers March Spd +2%"
7,60,1_0.042+201_0.042+28_0.02+30_0.02,"{主城所有资源产量} +4.2%
{主城金币产量} +4.2%
{所有士兵} {生命} +2%
{所有士兵} {行军速度} +2%",42834,"City All Resource Output +4.2%
City Gold Output +4.2%
All Soldiers HP +2%
All Soldiers March Spd +2%"
8,60,1_0.048+201_0.048+28_0.02+30_0.02,"{主城所有资源产量} +4.8%
{主城金币产量} +4.8%
{所有士兵} {生命} +2%
{所有士兵} {行军速度} +2%",46812,"City All Resource Output +4.8%
City Gold Output +4.8%
All Soldiers HP +2%
All Soldiers March Spd +2%"
9,60,1_0.054+201_0.054+28_0.02+30_0.02,"{主城所有资源产量} +5.4%
{主城金币产量} +5.4%
{所有士兵} {生命} +2%
{所有士兵} {行军速度} +2%",50944,"City All Resource Output +5.4%
City Gold Output +5.4%
All Soldiers HP +2%
All Soldiers March Spd +2%"
10,60,1_0.06+201_0.06+28_0.04+30_0.04,"{主城所有资源产量} +6%
{主城金币产量} +6%
{所有士兵} {生命} +4%
{所有士兵} {行军速度} +4%",81530,"City All Resource Output +6%
City Gold Output +6%
All Soldiers HP +4%
All Soldiers March Spd +4%"
11,80,1_0.066+201_0.066+28_0.04+30_0.04,"{主城所有资源产量} +6.6%
{主城金币产量} +6.6%
{所有士兵} {生命} +4%
{所有士兵} {行军速度} +4%",86670,"City All Resource Output +6.6%
City Gold Output +6.6%
All Soldiers HP +4%
All Soldiers March Spd +4%"
12,80,1_0.072+201_0.072+28_0.04+30_0.04,"{主城所有资源产量} +7.2%
{主城金币产量} +7.2%
{所有士兵} {生命} +4%
{所有士兵} {行军速度} +4%",91964,"City All Resource Output +7.2%
City Gold Output +7.2%
All Soldiers HP +4%
All Soldiers March Spd +4%"
13,80,1_0.078+201_0.078+28_0.04+30_0.04,"{主城所有资源产量} +7.8%
{主城金币产量} +7.8%
{所有士兵} {生命} +4%
{所有士兵} {行军速度} +4%",97412,"City All Resource Output +7.8%
City Gold Output +7.8%
All Soldiers HP +4%
All Soldiers March Spd +4%"
14,80,1_0.084+201_0.084+28_0.04+30_0.04,"{主城所有资源产量} +8.4%
{主城金币产量} +8.4%
{所有士兵} {生命} +4%
{所有士兵} {行军速度} +4%",103014,"City All Resource Output +8.4%
City Gold Output +8.4%
All Soldiers HP +4%
All Soldiers March Spd +4%"
15,80,1_0.09+201_0.09+28_0.06+30_0.06,"{主城所有资源产量} +9%
{主城金币产量} +9%
{所有士兵} {生命} +6%
{所有士兵} {行军速度} +6%",138570,"City All Resource Output +9%
City Gold Output +9%
All Soldiers HP +6%
All Soldiers March Spd +6%"
16,100,1_0.096+201_0.096+28_0.06+30_0.06,"{主城所有资源产量} +9.6%
{主城金币产量} +9.6%
{所有士兵} {生命} +6%
{所有士兵} {行军速度} +6%",145180,"City All Resource Output +9.6%
City Gold Output +9.6%
All Soldiers HP +6%
All Soldiers March Spd +6%"
17,100,1_0.102+201_0.102+28_0.06+30_0.06,"{主城所有资源产量} +10.2%
{主城金币产量} +10.2%
{所有士兵} {生命} +6%
{所有士兵} {行军速度} +6%",151944,"City All Resource Output +10.2%
City Gold Output +10.2%
All Soldiers HP +6%
All Soldiers March Spd +6%"
