CityNum,CityName,CityType,HeroNum,HeroName,HeroIcon,CityName_en,HeroName_en
1,{柯罗诺斯},8,2001,{索尔},2001,Chronos,Sol
2,{哥伦温},7,2002,{沙帕},2002,Columwin,Sapa
3,{艾洛尼亚},7,2003,{达拉斯},2002,Alonia,Dalas
4,{塞纳里奥},7,2004,{霍格},2002,Cenario,Hogg
5,{特瑞吉},7,2005,{阿西萨},2002,Terigy,Assisa
6,{赫利莱特},6,2006,{奥德尔},2002,Hullilet,Oder
7,{斯塔莱特},6,2007,{莱多纳姆},2002,Starlight,Ledonam
8,{摩恩莱特},6,2008,{哈雷斯},2002,Moonlight,Harless
9,{曼利布莱特},6,2009,{利弗},2002,Manly Bright,River
10,{阿米忒斯},5,2010,{冬尔顿},2002,Amittes,Dalton
11,{塔里诺兹},5,2011,{昆特},2002,Terinoz,Kunt
12,{瑞瑟斯奥},5,2012,{伦斯特},2002,Reeseo,Renster
13,{德米雷特},5,2013,{哥顿},2002,Demirette,Gordon's
14,{欧忒克西},5,2010,{冬尔顿},2002,Otexi,Dalton
15,{洛耶奥利},5,2011,{昆特},2002,Lorjeoly,Kunt
16,{菲斯蕾西},5,2012,{伦斯特},2002,Fiseracey,Renster
17,{巴塞罗纳},5,2013,{哥顿},2002,Barcelona,Gordon's
18,{桑西勒尔},4,2014,{拉里},2003,Sanciler,Larry
19,{塔米尼尔},4,2015,{格力凯特},2003,Taminio,Glickett
20,{萨弥洛尔},4,2016,{西多利},2003,Samelor,Gunungsitoli
21,{卡洛维尔},4,2017,{卡萨尔},2003,Carlowville,Casar
22,{布奥德尔},4,2014,{拉里},2003,Beodel,Larry
23,{阿迪娜尔},4,2015,{格力凯特},2003,Adinar,Glickett
24,{海姆达尔},4,2016,{西多利},2003,Heimdal,Gunungsitoli
25,{格兰维尔},4,2017,{卡萨尔},2003,Granville,Casar
26,{迪勒瑞},3,2018,{格沙图},2003,Dillery,Geshatu
27,{维艾西},3,2019,{华达},2003,Viasy,Huada
28,{格莱墨},3,2020,{雷多曼},2003,Grammer,Redman
29,{戈维恩},3,2021,{鲁拉卡比},2003,Gwynn,Rulakabi
30,{弗波斯},3,2018,{格沙图},2003,Phobos,Geshatu
31,{茵特利},3,2019,{华达},2003,Intery,Huada
32,{塞曼吉},3,2020,{雷多曼},2003,Sajeman,Redman
33,{多洛斯},3,2021,{鲁拉卡比},2003,Dolos,Rulakabi
34,{诺尔沃},3,2018,{格沙图},2003,Norvo,Geshatu
35,{艾维瑞休},3,2019,{华达},2003,Averihugh,Huada
36,{瑞昂佩休},3,2020,{雷多曼},2003,Leonpersue,Redman
37,{阿帕特},3,2021,{鲁拉卡比},2003,Apatte,Rulakabi
38,{艾姆帕瑞斯},2,2022,{瑞沙比尔},2003,Emparris,Risabil
39,{欧德修斯},2,2023,{马克格拉},2003,Odysseus,Makgra
40,{菲欧西斯},2,2024,{布伦希},2003,Feosisy,Brunch
41,{赫格尼斯},2,2025,{沃尔姆斯},2003,Hegnes,Holmes
42,{皮斯缇斯},2,2022,{瑞沙比尔},2003,Pisttis,Risabil
43,{菲洛忒斯},2,2023,{马克格拉},2003,Philotes,Makgra
44,{阿忒弥斯},2,2024,{布伦希},2003,Artemis,Brunch
45,{沃勒欧斯},2,2025,{沃尔姆斯},2003,Walleos,Holmes
46,{拉克西斯},2,2022,{瑞沙比尔},2003,Laksis,Risabil
47,{科韦纳斯},2,2023,{马克格拉},2003,Corvinas,Makgra
48,{卡巴纳斯},2,2024,{布伦希},2003,Cabanas,Brunch
49,{帕纳莫斯},2,2025,{沃尔姆斯},2003,Panamos,Holmes
50,{弗罗里},1,2026,{尼伯亚},2004,Flory,Nibea
51,{雷纳穆},1,2027,{卡雷特},2004,Rainham,Carrett
52,{斯坦洛},1,2028,{西格夫},2004,Stanlow,Sigoff
53,{塞尔比},1,2029,{克琳德},2004,Selby,Clyde
54,{塔伯特},1,2026,{尼伯亚},2004,Tarbert,Nibea
55,{波特兰},1,2027,{卡雷特},2004,Portland,Carrett
56,{芬纳特},1,2028,{西格夫},2004,Finnart,Sigoff
57,{帕瑞斯},1,2029,{克琳德},2004,Parisy,Clyde
58,{拉瓦洛},1,2026,{尼伯亚},2004,Ravalo,Nibea
59,{赫柏尔},1,2027,{卡雷特},2004,Herbal,Carrett
60,{蒂耶普},1,2028,{西格夫},2004,Thiep,Sigoff
61,{昂蒂弗},1,2029,{克琳德},2004,Antif,Clyde
62,{斯库鲁},1,2026,{尼伯亚},2004,Skoorum,Nibea
63,{洛维萨},1,2027,{卡雷特},2004,Lovisa,Carrett
64,{哈米纳},1,2028,{西格夫},2004,Harmina,Sigoff
65,{罗德萨},1,2029,{克琳德},2004,Rodesa,Clyde
66,{托昂斯},1,2026,{尼伯亚},2004,Torance,Nibea
67,{科伦纳},1,2027,{卡雷特},2004,Coruna,Carrett
68,{茵契特},1,2028,{西格夫},2004,Inchette,Sigoff
69,{阿德拉},1,2029,{克琳德},2004,Adora,Clyde
70,{库塞尔},1,2026,{尼伯亚},2004,Kussel,Nibea
71,{瓦赫兰},1,2027,{卡雷特},2004,Wahran,Carrett
72,{贝佳亚},1,2028,{西格夫},2004,Bejaia,Sigoff
73,{帕伦克},1,2029,{克琳德},2004,Palenque,Clyde
