name,id,lv,power,need_technology,union_Ci,union_Si,union_Fe,union_Ue,union_Gold,time,des,function_val,buff_id,name_en,des_en
{联盟帮助},5011,1,3,0,200,200,200,100,100,14400,{最低加速时间}_+15{秒},15,37,Union Help,Min Speedup Time_+15S
{联盟帮助},5011,2,11,0,400,400,400,200,200,14400,{最低加速时间}_+30{秒},30,37,Union Help,Min Speedup Time_+30S
{联盟帮助},5011,3,28,0,600,600,600,300,300,14400,{最低加速时间}_+45{秒},45,37,Union Help,Min Speedup Time_+45S
{联盟帮助},5011,4,67,0,900,900,900,450,450,14400,{最低加速时间}_+75{秒},75,37,Union Help,Min Speedup Time_+75S
{联盟帮助},5011,5,144,0,1080,1080,1080,540,540,14400,{最低加速时间}_+120{秒},120,37,Union Help,Min Speedup Time_+120S
{成员扩充} I,5012,1,3,0,200,200,200,100,100,14400,{联盟人数}_+5,5,38,Member Expansing I,Number Of Union Members_+5
{成员扩充} I,5012,2,11,0,400,400,400,200,200,14400,{联盟人数}_+10,10,38,Member Expansing I,Number Of Union Members_+10
{成员扩充} I,5012,3,28,0,600,600,600,300,300,14400,{联盟人数}_+15,15,38,Member Expansing I,Number Of Union Members_+15
{成员扩充} I,5012,4,67,0,900,900,900,450,450,14400,{联盟人数}_+20,20,38,Member Expansing I,Number Of Union Members_+20
{成员扩充} I,5012,5,144,0,1080,1080,1080,540,540,14400,{联盟人数}_+25,25,38,Member Expansing I,Number Of Union Members_+25
{建筑技巧} I,5021,1,44,5011_1,200,200,200,100,100,14400,{建造速度}_+1%,0.01,11,Building Technique I,Build Spd_+1%
{建筑技巧} I,5021,2,112,0,400,400,400,200,200,14400,{建造速度}_+2%,0.02,11,Building Technique I,Build Spd_+2%
{建筑技巧} I,5021,3,211,0,600,600,600,300,300,14400,{建造速度}_+3%,0.03,11,Building Technique I,Build Spd_+3%
{建筑技巧} I,5021,4,356,0,900,900,900,450,450,14400,{建造速度}_+4%,0.04,11,Building Technique I,Build Spd_+4%
{建筑技巧} I,5021,5,654,0,1080,1080,1080,540,540,14400,{建造速度}_+5%,0.05,11,Building Technique I,Build Spd_+5%
{科研} I,5022,1,44,5011_1,400,400,400,200,200,14400,{研究速度}_+1%,0.01,12,Research I,Research Spd_+1%
{科研} I,5022,2,112,0,800,800,800,400,400,14400,{研究速度}_+2%,0.02,12,Research I,Research Spd_+2%
{科研} I,5022,3,211,0,1200,1200,1200,600,600,14400,{研究速度}_+3%,0.03,12,Research I,Research Spd_+3%
{科研} I,5022,4,356,0,1800,1800,1800,900,900,14400,{研究速度}_+4%,0.04,12,Research I,Research Spd_+4%
{科研} I,5022,5,654,0,2160,2160,2160,1080,1080,14400,{研究速度}_+5%,0.05,12,Research I,Research Spd_+5%
