UpLvType,Lv,NeedExp
1,1,1000
1,2,2000
1,3,3000
1,4,4000
1,5,5000
1,6,6000
1,7,7000
1,8,8000
1,9,9000
1,10,10000
1,11,11000
1,12,12000
1,13,13000
1,14,14382
1,15,16817
1,16,19585
1,17,22715
1,18,26240
1,19,30191
1,20,34602
1,21,39506
1,22,44937
1,23,50930
1,24,57521
1,25,64745
1,26,72639
1,27,81241
1,28,90587
1,29,100717
1,30,111668
1,31,123480
1,32,136193
1,33,149847
1,34,164482
1,35,180140
1,36,196863
1,37,214691
1,38,233669
1,39,253838
1,40,275242
1,41,297924
1,42,321930
1,43,347303
1,44,374089
1,45,402332
1,46,432079
1,47,463376
1,48,496268
1,49,530804
1,50,567030
1,51,604994
1,52,644744
1,53,686328
1,54,729795
1,55,775194
1,56,822574
1,57,871985
1,58,923477
1,59,977101
1,60,1032906
1,61,1090945
1,62,1151268
1,63,1213927
1,64,1278974
1,65,1346461
1,66,1416441
1,67,1488967
1,68,1564092
1,69,1641869
1,70,1722352
1,71,1805596
1,72,1891654
1,73,1980582
1,74,2072434
1,75,2167265
1,76,2265131
1,77,2366088
1,78,2470192
1,79,2577498
1,80,2688065
1,81,2801948
1,82,2919205
1,83,3039893
1,84,3164069
1,85,3291792
1,86,3423121
1,87,3558112
1,88,3696826
1,89,3839320
1,90,3985655
1,91,4135889
1,92,4290083
1,93,4448296
1,94,4610588
1,95,4777021
1,96,4947653
1,97,5122548
1,98,5301765
1,99,5485366
1,100,5673413
1,101,5865967
1,102,6063091
1,103,6264847
1,104,6471297
1,105,6682505
1,106,6898533
1,107,7119444
1,108,7345303
1,109,7576172
1,110,7812116
1,111,8053198
1,112,8299484
1,113,8551037
1,114,8807923
1,115,9070206
1,116,9337951
1,117,9611225
1,118,9890092
1,119,10174618
1,120,10464871
1,121,10760915
1,122,11062817
1,123,11370644
1,124,11684463
1,125,12004341
1,126,12330345
1,127,12662543
1,128,13001002
1,129,13345790
1,130,13696976
1,131,14054627
1,132,14418812
1,133,14789600
1,134,15167060
1,135,15551261
1,136,15942271
1,137,16340161
1,138,16745001
1,139,17156859
1,140,17575806
1,141,18001912
1,142,18435248
1,143,18875884
1,144,19323891
1,145,19779340
1,146,20242302
1,147,20712849
1,148,21191052
1,149,21676982
1,150,22170711
1,151,22672313
1,152,23181858
1,153,23699419
1,154,24225070
1,155,24758882
1,156,25300929
1,157,25851283
1,158,26410019
1,159,26977209
1,160,27552927
1,161,28137248
1,162,28730244
1,163,29331991
1,164,29942562
1,165,30562033
1,166,31190477
1,167,31827970
1,168,32474587
1,169,33130403
1,170,33795493
1,171,34469933
1,172,35153798
1,173,35847165
1,174,36550110
1,175,37262708
1,176,37985036
1,177,38717171
1,178,39459189
1,179,40211167
1,180,40973183
1,181,41745313
1,182,42527634
1,183,43320225
1,184,44123162
1,185,44936524
1,186,45760389
1,187,46594835
1,188,47439939
1,189,48295781
1,190,49162440
1,191,50039993
1,192,50928520
1,193,51828100
1,194,52738813
1,195,53660736
1,196,54593951
1,197,55538537
1,198,56494573
1,199,57462140
1,200,58441317
2,1,500
2,2,1000
2,3,1550
2,4,2163
2,5,2871
2,6,3726
2,7,4780
2,8,6092
2,9,7726
2,10,9753
2,11,12248
2,12,15292
2,13,18972
2,14,23379
2,15,28609
2,16,34763
2,17,41947
2,18,50270
2,19,59847
2,20,70797
2,21,83244
2,22,97315
2,23,113142
2,24,130860
2,25,150610
2,26,172535
2,27,196784
2,28,223507
2,29,252862
2,30,285006
2,31,320104
2,32,358323
2,33,399832
2,34,444807
2,35,493424
2,36,545866
2,37,602318
2,38,662967
2,39,728007
2,40,797632
2,41,872042
2,42,951438
2,43,1036026
2,44,1126016
2,45,1221619
2,46,1323051
2,47,1430531
2,48,1544281
2,49,1664526
2,50,1791496
2,51,1925420
2,52,2066536
2,53,2215079
2,54,2371292
2,55,2535419
2,56,2707707
2,57,2888406
2,58,3077770
2,59,3276055
2,60,3483521
2,61,3700430
2,62,3927047
2,63,4163641
2,64,4410483
2,65,4667848
2,66,4936013
2,67,5215257
2,68,5505863
2,69,5808118
2,70,6122311
2,71,6448731
2,72,6787675
2,73,7139440
2,74,7504324
2,75,7882632
2,76,8274668
2,77,8680741
2,78,9101162
2,79,9536245
2,80,9986307
