vip_lv,upExp,buff_text,buff_result,daily_bonus,buff_text_en
0,0,{英雄卡最大数量}+20,57_20,1105_2+3_1,Max Number Of Hero Cards+20
1,200,{英雄卡最大数量}+30_{主城所有资源产量}+2%,57_30+1_0.02,1105_4+3_2,Max Number Of Hero Cards+30_City All Resource Output+2%
2,600,{英雄卡最大数量}+40_{主城所有资源产量}+4%_{主城金币产量}+2%,57_40+1_0.04+201_0.02,1105_6+3_3,Max Number Of Hero Cards+40_City All Resource Output+4%_City Gold Output+2%
3,1800,{英雄卡最大数量}+50_{主城所有资源产量}+6%_{主城金币产量}+4%_{体力恢复速度}+2%,57_50+1_0.06+201_0.04+35_0.02,1105_8+3_4,Max Number Of Hero Cards+50_City All Resource Output+6%_City Gold Output+4%_Vit Recovery Spd+2%
4,3600,{英雄卡最大数量}+60_{主城所有资源产量}+8%_{主城金币产量}+6%_{体力恢复速度}+4%_{建造速度}+2%,57_60+1_0.08+201_0.06+35_0.04+11_0.02,1105_10+3_5,Max Number Of Hero Cards+60_City All Resource Output+8%_City Gold Output+6%_Vit Recovery Spd+4%_Build Spd+2%
5,7600,{英雄卡最大数量}+70_{主城所有资源产量}+10%_{主城金币产量}+8%_{体力恢复速度}+6%_{建造速度}+4%_{研究速度}+2%,57_70+1_0.10+201_0.08+35_0.06+11_0.04+12_0.02,1105_12+3_6,Max Number Of Hero Cards+70_City All Resource Output+10%_City Gold Output+8%_Vit Recovery Spd+6%_Build Spd+4%_Research Spd+2%
6,15200,{英雄卡最大数量}+80_{主城所有资源产量}+12%_{主城金币产量}+10%_{体力恢复速度}+8%_{建造速度}+6%_{研究速度}+4%_{训练速度}+3%,57_80+1_0.12+201_0.10+35_0.08+11_0.06+12_0.04+13_0.03,1105_14+3_7,Max Number Of Hero Cards+80_City All Resource Output+12%_City Gold Output+10%_Vit Recovery Spd+8%_Build Spd+6%_Research Spd+4%_Training Spd+3%
7,29800,{英雄卡最大数量}+90_{主城所有资源产量}+14%_{主城金币产量}+12%_{体力恢复速度}+10%_{建造速度}+8%_{研究速度}+6%_{训练速度}+6%_{治疗速度}+3%,57_90+1_0.14+201_0.12+35_0.10+11_0.08+12_0.06+13_0.06+14_0.03,1255_1+1105_16+3_8,Max Number Of Hero Cards+90_City All Resource Output+14%_City Gold Output+12%_Vit Recovery Spd+10%_Build Spd+8%_Research Spd+6%_Training Spd+6%_Healing Spd+3%
8,54000,{英雄卡最大数量}+100_{主城所有资源产量}+16%_{主城金币产量}+14%_{体力恢复速度}+12%_{建造速度}+10%_{研究速度}+8%_{训练速度}+9%_{治疗速度}+6%_{铁匠铺制造速度}+2%,57_100+1_0.16+201_0.14+35_0.12+11_0.10+12_0.08+13_0.09+14_0.06+250_0.02,1255_1+1105_18+3_9,Max Number Of Hero Cards+100_City All Resource Output+16%_City Gold Output+14%_Vit Recovery Spd+12%_Build Spd+10%_Research Spd+8%_Training Spd+9%_Healing Spd+6%_Smithy Manufacturing Spd+2%
9,96000,{英雄卡最大数量}+110_{主城所有资源产量}+18%_{主城金币产量}+16%_{体力恢复速度}+14%_{建造速度}+12%_{研究速度}+10%_{训练速度}+12%_{治疗速度}+9%_{铁匠铺制造速度}+4%_{情报站} {收集能力}+1★,57_110+1_0.18+201_0.16+35_0.14+11_0.12+12_0.10+13_0.12+14_0.09+250_0.04+48_1,1255_1+1265_1+1105_20+3_10,Max Number Of Hero Cards+110_City All Resource Output+18%_City Gold Output+16%_Vit Recovery Spd+14%_Build Spd+12%_Research Spd+10%_Training Spd+12%_Healing Spd+9%_Smithy Manufacturing Spd+4%_Information Station Collect Ability+1★
