GroupId,EventId,EventName,TaskId,des,task_con,task_num,reward,Skip,EventName_en,des_en
1,1,{全力以赴},1,{消耗} {体力} x2000,1,2000,1125_1+1403_40+4_40,WorldPanel,Go All Out,Consume Vit x2000
1,1,{全力以赴},2,{消耗} {体力} x4000,1,4000,1125_1+1403_40+4_40,WorldPanel,Go All Out,Consume Vit x4000
1,1,{全力以赴},3,{消耗} {体力} x6000,1,6000,1125_1+1403_40+4_40,WorldPanel,Go All Out,Consume Vit x6000
1,1,{全力以赴},4,{消耗} {体力} x8000,1,8000,1125_1+1403_40+4_40,WorldPanel,Go All Out,Consume Vit x8000
1,1,{全力以赴},5,{消耗} {体力} x10000,1,10000,1125_1+1403_40+4_40,WorldPanel,Go All Out,Consume Vit x10000
1,1,{全力以赴},6,{消耗} {体力} x14000,1,14000,1125_1+1403_80+4_80,WorldPanel,Go All Out,Consume Vit x14000
1,1,{全力以赴},7,{消耗} {体力} x18000,1,18000,1125_1+1403_80+4_80,WorldPanel,Go All Out,Consume Vit x18000
1,1,{全力以赴},8,{消耗} {体力} x22000,1,22000,1125_1+1403_80+4_80,WorldPanel,Go All Out,Consume Vit x22000
1,1,{全力以赴},9,{消耗} {体力} x26000,1,26000,1125_1+1403_80+4_80,WorldPanel,Go All Out,Consume Vit x26000
1,1,{全力以赴},10,{消耗} {体力} x30000,1,30000,1125_1+1403_80+4_80,WorldPanel,Go All Out,Consume Vit x30000
1,2,{长治久安},1,{讨伐} {野蛮人要塞} x10,2,10,1_50+3_10+1110_4,"WildPos_-37,11",Long-term security,Raid Barbarian Fortress x10
1,2,{长治久安},2,{讨伐} {野蛮人要塞} x20,2,20,1_50+3_10+1110_4,"WildPos_-37,11",Long-term security,Raid Barbarian Fortress x20
1,2,{长治久安},3,{讨伐} {野蛮人要塞} x30,2,30,1_50+3_10+1110_4,"WildPos_-37,11",Long-term security,Raid Barbarian Fortress x30
1,2,{长治久安},4,{讨伐} {野蛮人要塞} x40,2,40,1_50+3_10+1110_4,"WildPos_-37,11",Long-term security,Raid Barbarian Fortress x40
1,2,{长治久安},5,{讨伐} {野蛮人要塞} x50,2,50,1_50+3_10+1110_4,"WildPos_-37,11",Long-term security,Raid Barbarian Fortress x50
1,2,{长治久安},6,{讨伐} {野蛮人要塞} x60,2,60,1_50+3_10+1110_4,"WildPos_-37,11",Long-term security,Raid Barbarian Fortress x60
1,2,{长治久安},7,{讨伐} {野蛮人要塞} x70,2,70,1_50+3_10+1110_4,"WildPos_-37,11",Long-term security,Raid Barbarian Fortress x70
1,2,{长治久安},8,{讨伐} {野蛮人要塞} x90,2,90,1_100+3_20+1110_8,"WildPos_-37,11",Long-term security,Raid Barbarian Fortress x90
1,2,{长治久安},9,{讨伐} {野蛮人要塞} x110,2,110,1_100+3_20+1110_8,"WildPos_-37,11",Long-term security,Raid Barbarian Fortress x110
1,2,{长治久安},10,{讨伐} {野蛮人要塞} x130,2,130,1_100+3_20+1110_8,"WildPos_-37,11",Long-term security,Raid Barbarian Fortress x130
1,2,{长治久安},11,{讨伐} {野蛮人要塞} x150,2,150,1_100+3_20+1110_8,"WildPos_-37,11",Long-term security,Raid Barbarian Fortress x150
1,3,{开疆扩土},1,{占领}/{扫荡} {大世界资源点} x10,3,10,1_50+3_10+1110_4,WorldPanel,Expand Fief,Occupy/Sweep Great World Resource Points x10
1,3,{开疆扩土},2,{占领}/{扫荡} {大世界资源点} x20,3,20,1_50+3_10+1110_4,WorldPanel,Expand Fief,Occupy/Sweep Great World Resource Points x20
1,3,{开疆扩土},3,{占领}/{扫荡} {大世界资源点} x30,3,30,1_50+3_10+1110_4,WorldPanel,Expand Fief,Occupy/Sweep Great World Resource Points x30
1,3,{开疆扩土},4,{占领}/{扫荡} {大世界资源点} x40,3,40,1_50+3_10+1110_4,WorldPanel,Expand Fief,Occupy/Sweep Great World Resource Points x40
1,3,{开疆扩土},5,{占领}/{扫荡} {大世界资源点} x50,3,50,1_50+3_10+1110_4,WorldPanel,Expand Fief,Occupy/Sweep Great World Resource Points x50
1,3,{开疆扩土},6,{占领}/{扫荡} {大世界资源点} x60,3,60,1_50+3_10+1110_4,WorldPanel,Expand Fief,Occupy/Sweep Great World Resource Points x60
1,3,{开疆扩土},7,{占领}/{扫荡} {大世界资源点} x70,3,70,1_50+3_10+1110_4,WorldPanel,Expand Fief,Occupy/Sweep Great World Resource Points x70
1,3,{开疆扩土},8,{占领}/{扫荡} {大世界资源点} x90,3,90,1_100+3_20+1110_8,WorldPanel,Expand Fief,Occupy/Sweep Great World Resource Points x90
1,3,{开疆扩土},9,{占领}/{扫荡} {大世界资源点} x110,3,110,1_100+3_20+1110_8,WorldPanel,Expand Fief,Occupy/Sweep Great World Resource Points x110
1,3,{开疆扩土},10,{占领}/{扫荡} {大世界资源点} x130,3,130,1_100+3_20+1110_8,WorldPanel,Expand Fief,Occupy/Sweep Great World Resource Points x130
1,3,{开疆扩土},11,{占领}/{扫荡} {大世界资源点} x150,3,150,1_100+3_20+1110_8,WorldPanel,Expand Fief,Occupy/Sweep Great World Resource Points x150
2,4,{富可敌国},1,{消耗} {红宝石} x1500,4,1500,1255_1+1403_40+4_40,MarketPanel_2,Rich As A Nation,Consume Gems x1500
2,4,{富可敌国},2,{消耗} {红宝石} x3000,4,3000,1255_1+1403_40+4_40,MarketPanel_2,Rich As A Nation,Consume Gems x3000
2,4,{富可敌国},3,{消耗} {红宝石} x4500,4,4500,1255_1+1403_40+4_40,MarketPanel_2,Rich As A Nation,Consume Gems x4500
2,4,{富可敌国},4,{消耗} {红宝石} x6000,4,6000,1255_1+1403_40+4_40,MarketPanel_2,Rich As A Nation,Consume Gems x6000
2,4,{富可敌国},5,{消耗} {红宝石} x9000,4,9000,1255_2+1403_80+4_80,MarketPanel_2,Rich As A Nation,Consume Gems x9000
2,4,{富可敌国},6,{消耗} {红宝石} x12000,4,12000,1255_2+1403_80+4_80,MarketPanel_2,Rich As A Nation,Consume Gems x12000
2,4,{富可敌国},7,{消耗} {红宝石} x15000,4,15000,1255_2+1403_80+4_80,MarketPanel_2,Rich As A Nation,Consume Gems x15000
2,5,{都城建设},1,{对建筑使用加速点} x60,5,60,1_50+3_10+1110_4,BuildUpPanel_1,Capital City Construction,Use Speedup Points on Building x60
2,5,{都城建设},2,{对建筑使用加速点} x120,5,120,1_50+3_10+1110_4,BuildUpPanel_1,Capital City Construction,Use Speedup Points on Building x120
2,5,{都城建设},3,{对建筑使用加速点} x180,5,180,1_50+3_10+1110_4,BuildUpPanel_1,Capital City Construction,Use Speedup Points on Building x180
