type,id,name,des,task_type,num,activity,reward,skip,name_en,des_en
1,1,{大世界},{消耗} {体力} x5000,0,5000,10,1402_10+1110_2+3_5,WorldPanel,Great World,Consume Vit x5000
1,2,{大世界},{占领}/{扫荡} {农场} x20,0,20,10,1402_10+1110_2+3_5,WorldPanel,Great World,Occupy/Sweep Farm x20
1,3,{大世界},{占领}/{扫荡} {伐木场} x20,0,20,10,1402_10+1110_2+3_5,WorldPanel,Great World,Occupy/Sweep Sawmill x20
1,4,{大世界},{占领}/{扫荡} {采石场} x20,0,20,10,1402_10+1110_2+3_5,WorldPanel,Great World,Occupy/Sweep Quarry x20
1,5,{大世界},{占领}/{扫荡} {铁矿场} x20,0,20,10,1402_10+1110_2+3_5,WorldPanel,Great World,Occupy/Sweep Ironmine x20
1,6,{大世界},{参加} {攻城战} x1,0,1,10,1402_10+1110_2+3_5,WorldPanel,Great World,Participate Siege Battle x1
1,7,{遗迹},{挑战} {丛林遗迹} x3,0,3,10,1402_10+1110_2+3_5,PVEPanel,Ruins,Challenge Jungle Ruins x3
1,8,{遗迹},{挑战} {沙漠遗迹} x3,0,3,10,1402_10+1110_2+3_5,PVEPanel,Ruins,Challenge Desert Ruins x3
1,9,{遗迹},{挑战} {冰雪遗迹} x3,0,3,10,1402_10+1110_2+3_5,PVEPanel,Ruins,Challenge Snow Ruins x3
1,10,{遗迹},{挑战} {熔岩遗迹} x3,0,3,10,1402_10+1110_2+3_5,PVEPanel,Ruins,Challenge Lava Ruins x3
1,11,{遗迹},{挑战} {修炼洞穴} x5,0,5,10,1402_10+1110_2+3_5,PVEPanel,Ruins,Challenge Training Cave x5
1,12,{遗迹},{挑战} {次元之地} x5,0,5,10,1402_10+1110_2+3_5,PVEPanel,Ruins,Challenge Dimensional Land x5
1,13,{遗迹},{挑战} {恶龙巢穴} x2,0,2,10,1402_10+1110_2+3_5,PVEPanel,Ruins,Challenge Dragon's Lair x2
1,14,{冒险},{特产运输} x10,0,10,10,1402_10+1110_2+3_5,Village,ADV,Specialty Transport x10
1,15,{冒险},{神魔试炼} x10,0,10,10,1402_10+1110_2+3_5,PVEPanel,ADV,Divine Demon Trial x10
1,16,{任务},{委托任务} x50,0,50,10,1402_10+1110_2+3_5,VipPanel,Quest,Delegate Quest x50
1,17,{大世界},{野蛮人营地} {宝箱} x100,0,100,10,1630_3+1373_100+14_10000,WorldPanel,Great World,Barbarian Camp Chest x100
2,1,活跃宝箱1,0,0,20,0,1110_40,0,,
2,2,活跃宝箱2,0,0,40,0,3_100,0,,
2,3,活跃宝箱3,0,0,60,0,1404_60,0,,
2,4,活跃宝箱4,0,0,80,0,1125_10,0,,
2,5,活跃宝箱5,0,0,100,0,1_1000,0,,
2,6,活跃宝箱6,0,0,120,0,1211_5,0,,
2,7,活跃宝箱7,0,0,150,0,1010_100,0,,
