Aiid,Pos,AiInfo,NeedCloud,UnlockCloud,Awards,ResType,ResAwards
1,67_14,10101_1_0.3_1.0,0,1,1105_2+3_1+11_500+12_50000,0,0
2,1_100,10102_3_0.4_1.0,1,0,1105_3+3_2+11_2000+12_2000,0,0
3,114_166,10103_10_0.5_1.0,3,5,1105_4+3_2+11_4000+12_4000,0,0
4,171_83,"10104,10105_12_0.6_1.0",4,6,1105_6+3_3+11_8000+12_8000,0,0
5,6_-56,"10106,10107_15_0.7_1.0",2,7,1105_7+3_3+11_12000+12_12000,0,0
6,-65_14,"10108,10109_20_0.8_1.0",2,8,1105_8+3_4+11_15000+12_15000,0,0
7,-54_163,"10110,10111_28_0.9_1.0",8,9,1105_9+3_4+11_20000+12_20000,0,0
8,191_260,"10112,10113,10114_30_1.0_1.1",9,10,1105_10+3_5+11_24000+12_24000,0,0
9,255_58,"10115,10116,10117_35_1.0_1.2",10,11,1105_12+3_6+11_30000+12_30000,0,0
10,124_306,"10118,10119,10120,10121_40_1.0_1.3",12,13,1105_13+3_7+11_35000+12_35000,0,0
11,-29_241,"10122,10123,10124,10125_45_1.0_1.4",13,14,1105_16+3_8+11_42000+12_42000,0,0
12,-95_-76,"10126,10127,10128,10129_50_1.0_1.5",14,15_16,1105_18+3_9+11_48000+12_48000,0,0
13,287_81,"10325,10326,10327,10328_55_1.0_1.6",16,17,1105_20+3_10+11_52000+12_52000,0,0
