BoxId,BoxType,Awards,AiInfo
1,1,11_5000+1_50,0
2,1,11_5000+21_5000+22_5000+23_5000+24_2500,82004_5_1_1.005
3,1,11_5100+3_8+4_8,0
4,1,11_5100+1402_10+1403_5,82012_5_1_1.015
5,1,11_5200+1_52,0
6,1,11_5200+21_5200+22_5200+23_5200+24_2600,83004_5_1_1.025
7,1,11_5300+3_8+4_8,0
8,1,11_5300+1402_10+1403_5,83012_6_1_1.035
9,1,11_5400+1_54,0
10,1,11_5400+21_5400+22_5400+23_5400+24_2700,82004_6_1_1.045
11,1,11_5500+3_9+4_9,0
12,1,11_5500+1402_10+1403_5,82012_6_1_1.055
13,1,11_5600+1_56,0
14,1,11_5600+21_5600+22_5600+23_5600+24_2800,83004_7_1_1.065
15,1,11_5700+3_9+4_9,0
16,1,11_5700+1402_10+1403_5,83012_7_1_1.075
17,1,11_5800+1_58,0
18,1,11_5800+21_5800+22_5800+23_5800+24_2900,82004_7_1_1.085
19,1,11_5900+3_9+4_9,0
20,1,11_5900+1402_10+1403_5,82012_8_1_1.095
21,1,11_6000+1_60,0
22,1,11_6000+21_6000+22_6000+23_6000+24_3000,83004_8_1_1.105
23,1,11_6100+3_10+4_10,0
24,1,11_6100+1402_12+1403_6,83012_8_1_1.115
25,1,11_6200+1_62,0
26,1,11_6200+21_6200+22_6200+23_6200+24_3100,82004_9_1_1.125
27,1,11_6300+1_63,0
28,1,11_6300+21_6300+22_6300+23_6300+24_3150,82012_9_1_1.135
29,1,11_6400+3_10+4_10,0
30,1,11_6400+1402_12+1403_6,83004_9_1_1.145
31,1,11_6500+1_65,0
32,1,11_6500+21_6500+22_6500+23_6500+24_3250,83012_10_1_1.155
33,1,11_6600+3_11+4_11,0
34,1,11_6600+1402_12+1403_6,82004_10_1_1.165
35,1,11_6700+1_67,0
36,1,11_6700+21_6700+22_6700+23_6700+24_3350,82012_10_1_1.175
37,1,11_6800+3_11+4_11,0
38,1,11_6800+1402_12+1403_6,83004_11_1_1.185
39,1,11_6900+1_69,0
40,1,11_6900+21_6900+22_6900+23_6900+24_3450,83012_11_1_1.195
41,1,11_7000+3_11+4_11,0
42,1,11_7000+1402_14+1403_7,82004_11_1_1.205
43,1,11_7100+1_71,0
44,1,11_7100+21_7100+22_7100+23_7100+24_3550,82012_12_1_1.215
45,1,11_7200+3_12+4_12,0
46,1,11_7200+1402_14+1403_7,83004_12_1_1.225
47,1,11_7300+1_73,0
48,1,11_7300+21_7300+22_7300+23_7300+24_3650,83012_12_1_1.235
49,1,11_7400+3_12+4_12,0
50,1,11_7400+1402_14+1403_7,82004_13_1_1.245
51,1,11_7500+1_75,0
52,1,11_7500+21_7500+22_7500+23_7500+24_3750,82012_13_1_1.255
53,1,11_7600+1_76,0
54,1,11_7600+21_7600+22_7600+23_7600+24_3800,83004_13_1_1.265
55,1,11_7700+3_12+4_12,0
56,1,11_7700+1402_14+1403_7,83012_13_1_1.275
57,1,11_7800+1_78,0
58,1,11_7800+21_7800+22_7800+23_7800+24_3900,82004_14_1_1.285
59,1,11_7900+3_13+4_13,0
60,1,11_7900+1402_14+1403_7,82012_14_1_1.295
61,1,11_8000+1_80,0
62,1,11_8000+21_8000+22_8000+23_8000+24_4000,83004_14_1_1.305
63,1,11_8100+3_13+4_13,0
64,1,11_8100+1402_16+1403_8,83012_15_1_1.315
65,1,11_8200+1_82,0
66,1,11_8200+21_8200+22_8200+23_8200+24_4100,82004_15_1_1.325
67,1,11_8300+3_13+4_13,0
68,1,11_8300+1402_16+1403_8,82012_15_1_1.335
69,1,11_8400+1_84,0
70,1,11_8400+21_8400+22_8400+23_8400+24_4200,83004_16_1_1.345
71,1,11_8500+3_14+4_14,0
72,1,11_8500+1402_16+1403_8,83012_16_1_1.355
73,1,11_8600+1_86,0
74,1,11_8600+21_8600+22_8600+23_8600+24_4300,82004_16_1_1.365
75,1,11_8700+3_14+4_14,0
76,1,11_8700+1402_16+1403_8,82012_17_1_1.375
77,1,11_8800+1_88,0
78,1,11_8800+21_8800+22_8800+23_8800+24_4400,83004_17_1_1.385
79,1,11_8900+1_89,0
80,1,11_8900+21_8900+22_8900+23_8900+24_4450,83012_17_1_1.395
81,1,11_9000+3_15+4_15,0
82,1,11_9000+1402_18+1403_9,82004_18_1_1.405
83,1,11_9100+1_91,0
84,1,11_9100+21_9100+22_9100+23_9100+24_4550,82012_18_1_1.415
85,1,11_9200+3_15+4_15,0
86,1,11_9200+1402_18+1403_9,83004_18_1_1.425
87,1,11_9300+1_93,0
88,1,11_9300+21_9300+22_9300+23_9300+24_4650,83012_19_1_1.435
89,1,11_9400+3_15+4_15,0
90,1,11_9400+1402_18+1403_9,82004_19_1_1.445
91,1,11_9500+1_95,0
92,1,11_9500+21_9500+22_9500+23_9500+24_4750,82012_19_1_1.455
93,1,11_9600+3_16+4_16,0
94,1,11_9600+1402_18+1403_9,83004_20_1_1.465
95,1,11_9700+1_97,0
96,1,11_9700+21_9700+22_9700+23_9700+24_4850,83012_20_1_1.475
97,1,11_9800+3_16+4_16,0
98,1,11_9800+1402_18+1403_9,82004_20_1_1.485
99,1,11_9900+1_99,0
100,1,11_9900+21_9900+22_9900+23_9900+24_4950,82012_21_1_1.495
101,1,11_10000+3_16+4_16,0
102,1,11_10000+1402_20+1403_10,83004_21_1_1.505
103,1,11_10100+1_101,0
104,1,11_10100+21_10100+22_10100+23_10100+24_5050,83012_21_1_1.515
105,1,11_10200+1_102,0
106,1,11_10200+21_10200+22_10200+23_10200+24_5100,82004_21_1_1.525
107,1,11_10300+3_17+4_17,0
108,1,11_10300+1402_20+1403_10,82012_22_1_1.535
109,1,11_10400+1_104,0
110,1,11_10400+21_10400+22_10400+23_10400+24_5200,83004_22_1_1.545
111,1,11_10500+3_17+4_17,0
112,1,11_10500+1402_20+1403_10,83012_22_1_1.555
113,1,11_10600+1_106,0
114,1,11_10600+21_10600+22_10600+23_10600+24_5300,82004_23_1_1.565
115,1,11_10700+3_17+4_17,0
116,1,11_10700+1402_20+1403_10,82012_23_1_1.575
117,1,11_10800+1_108,0
118,1,11_10800+21_10800+22_10800+23_10800+24_5400,83004_23_1_1.585
119,1,11_10900+3_18+4_18,0
120,1,11_10900+1402_20+1403_10,83012_24_1_1.595
121,1,11_11000+1_110,0
122,1,11_11000+21_11000+22_11000+23_11000+24_5500,82004_24_1_1.605
123,1,11_11100+3_18+4_18,0
124,1,11_11100+1402_22+1403_11,82012_24_1_1.615
125,1,11_11200+1_112,0
126,1,11_11200+21_11200+22_11200+23_11200+24_5600,83004_25_1_1.625
127,1,11_11300+3_18+4_18,0
128,1,11_11300+1402_22+1403_11,83012_25_1_1.635
129,1,11_11400+1_114,0
130,1,11_11400+21_11400+22_11400+23_11400+24_5700,82004_25_1_1.645
131,1,11_11500+1_115,0
132,1,11_11500+21_11500+22_11500+23_11500+24_5750,82012_26_1_1.655
133,1,11_11600+3_19+4_19,0
134,1,11_11600+1402_22+1403_11,83004_26_1_1.665
135,1,11_11700+1_117,0
136,1,11_11700+21_11700+22_11700+23_11700+24_5850,83012_26_1_1.675
137,1,11_11800+3_19+4_19,0
138,1,11_11800+1402_22+1403_11,82004_27_1_1.685
139,1,11_11900+1_119,0
140,1,11_11900+21_11900+22_11900+23_11900+24_5950,82012_27_1_1.695
141,1,11_12000+3_20+4_20,0
142,1,11_12000+1402_24+1403_12,83004_27_1_1.705
143,1,11_12100+1_121,0
144,1,11_12100+21_12100+22_12100+23_12100+24_6050,83012_28_1_1.715
145,1,11_12200+3_20+4_20,0
146,1,11_12200+1402_24+1403_12,82004_28_1_1.725
147,1,11_12300+1_123,0
148,1,11_12300+21_12300+22_12300+23_12300+24_6150,82012_28_1_1.735
149,1,11_12400+3_20+4_20,0
150,1,11_12400+1402_24+1403_12,83004_29_1_1.745
151,1,11_12500+1_125,0
152,1,11_12500+21_12500+22_12500+23_12500+24_6250,83012_29_1_1.755
153,1,11_12600+3_21+4_21,0
154,1,11_12600+1402_24+1403_12,82004_29_1_1.765
155,1,11_12700+1_127,0
156,1,11_12700+21_12700+22_12700+23_12700+24_6350,82012_29_1_1.775
157,1,11_12800+1_128,0
158,1,11_12800+21_12800+22_12800+23_12800+24_6400,"83004,83006_30_1_1.785"
159,1,11_12900+3_21+4_21,0
160,1,11_12900+1402_24+1403_12,"83012,83013_30_1_1.795"
161,1,11_13000+1_130,0
162,1,11_13000+21_13000+22_13000+23_13000+24_6500,"82004,82006_30_1_1.805"
163,1,11_13100+3_21+4_21,0
164,1,11_13100+1402_26+1403_13,"82012,82013_31_1_1.815"
165,1,11_13200+1_132,0
166,1,11_13200+21_13200+22_13200+23_13200+24_6600,"83004,83006_31_1_1.825"
167,1,11_13300+3_22+4_22,0
168,1,11_13300+1402_26+1403_13,"83012,83013_31_1_1.835"
169,1,11_13400+1_134,0
170,1,11_13400+21_13400+22_13400+23_13400+24_6700,"82004,82006_32_1_1.845"
171,1,11_13500+3_22+4_22,0
172,1,11_13500+1402_26+1403_13,"82012,82013_32_1_1.855"
173,1,11_13600+1_136,0
174,1,11_13600+21_13600+22_13600+23_13600+24_6800,"83004,83006_32_1_1.865"
175,1,11_13700+3_22+4_22,0
176,1,11_13700+1402_26+1403_13,"83012,83013_33_1_1.875"
177,1,11_13800+1_138,0
178,1,11_13800+21_13800+22_13800+23_13800+24_6900,"82004,82006_33_1_1.885"
179,1,11_13900+3_23+4_23,0
180,1,11_13900+1402_26+1403_13,"82012,82013_33_1_1.895"
181,1,11_14000+1_140,0
182,1,11_14000+21_14000+22_14000+23_14000+24_7000,"83004,83006_34_1_1.905"
183,1,11_14100+1_141,0
184,1,11_14100+21_14100+22_14100+23_14100+24_7050,"83012,83013_34_1_1.915"
185,1,11_14200+3_23+4_23,0
186,1,11_14200+1402_28+1403_14,"82004,82006_34_1_1.925"
187,1,11_14300+1_143,0
188,1,11_14300+21_14300+22_14300+23_14300+24_7150,"82012,82013_35_1_1.935"
189,1,11_14400+3_24+4_24,0
190,1,11_14400+1402_28+1403_14,"83004,83006_35_1_1.945"
191,1,11_14500+1_145,0
192,1,11_14500+21_14500+22_14500+23_14500+24_7250,"83012,83013_35_1_1.955"
193,1,11_14600+3_24+4_24,0
194,1,11_14600+1402_28+1403_14,"82004,82006_36_1_1.965"
195,1,11_14700+1_147,0
196,1,11_14700+21_14700+22_14700+23_14700+24_7350,"82012,82013_36_1_1.975"
197,1,11_14800+3_24+4_24,0
198,1,11_14800+1402_28+1403_14,"83004,83006_36_1_1.985"
199,1,11_14900+1_149,0
200,1,11_14900+21_14900+22_14900+23_14900+24_7450,"83012,83013_37_1_1.995"
201,1,11_15000+1_150,0
202,1,11_15000+21_15000+22_15000+23_15000+24_7500,"82004,82006_37_1_2.005"
203,1,11_15100+3_25+4_25,0
204,1,11_15100+1402_30+1403_15,"82012,82013_37_1_2.015"
205,1,11_15200+1200_1+1403_10,0
206,1,11_15200+1_152,"83004,83006_37_1_2.025"
207,1,11_15300+21_15300+22_15300+23_15300+24_7650,0
208,1,11_15300+3_25+4_25,"83012,83013_38_1_2.035"
209,1,11_15400+1402_30+1403_15,0
210,1,11_15400+1200_1+1403_10,"82004,82006_38_1_2.045"
211,1,11_15500+1_155,0
212,1,11_15500+21_15500+22_15500+23_15500+24_7750,"82012,82013_38_1_2.055"
213,1,11_15600+3_26+4_26,0
214,1,11_15600+1402_30+1403_15,"83004,83006_39_1_2.065"
215,1,11_15700+1200_1+1403_10,0
216,1,11_15700+1_157,"83012,83013_39_1_2.075"
217,1,11_15800+21_15800+22_15800+23_15800+24_7900,0
218,1,11_15800+3_26+4_26,"82004,82006_39_1_2.085"
219,1,11_15900+1402_30+1403_15,0
220,1,11_15900+1200_1+1403_10,"82012,82013_40_1_2.095"
221,1,11_16000+1_160,0
222,1,11_16000+21_16000+22_16000+23_16000+24_8000,"83004,83006_40_1_2.105"
223,1,11_16100+3_26+4_26,0
224,1,11_16100+1402_32+1403_16,"83012,83013_40_1_2.115"
225,1,11_16200+1200_1+1403_10,0
226,1,11_16200+1_162,"82004,82006_41_1_2.125"
227,1,11_16300+21_16300+22_16300+23_16300+24_8150,0
228,1,11_16300+3_27+4_27,"82012,82013_41_1_2.135"
229,1,11_16400+1402_32+1403_16,0
230,1,11_16400+1200_1+1403_10,"83004,83006_41_1_2.145"
231,1,11_16500+1_165,0
232,1,11_16500+21_16500+22_16500+23_16500+24_8250,"83012,83013_42_1_2.155"
233,1,11_16600+3_27+4_27,0
234,1,11_16600+1402_32+1403_16,"82004,82006_42_1_2.165"
235,1,11_16700+1200_1+1403_11,0
236,1,11_16700+1_167,"82012,82013_42_1_2.175"
237,1,11_16800+21_16800+22_16800+23_16800+24_8400,0
238,1,11_16800+3_28+4_28,"83004,83006_43_1_2.185"
239,1,11_16900+1402_32+1403_16,0
240,1,11_16900+1200_1+1403_11,"83012,83013_43_1_2.195"
241,1,11_17000+1_170,0
242,1,11_17000+21_17000+22_17000+23_17000+24_8500,"82004,82006_43_1_2.205"
243,1,11_17100+3_28+4_28,0
244,1,11_17100+1402_34+1403_17,"82012,82013_44_1_2.215"
245,1,11_17200+1200_1+1403_11,0
246,1,11_17200+1_172,"83004,83006_44_1_2.225"
247,1,11_17300+21_17300+22_17300+23_17300+24_8650,0
248,1,11_17300+3_28+4_28,"83012,83013_44_1_2.235"
249,1,11_17400+1402_34+1403_17,0
250,1,11_17400+1200_1+1403_11,"82004,82006_45_1_2.245"
251,2,11_10000+1_100,0
252,2,11_10100+21_10100+22_10100+23_10100+24_5050,"82012,82013_45_1_2.255"
253,2,11_10200+3_16+4_16,0
254,2,11_10300+1402_20+1403_10,"83004,83006_45_1_2.265"
255,2,11_10400+1_104,0
256,2,11_10500+21_10500+22_10500+23_10500+24_5250,"83012,83013_45_1_2.275"
257,2,11_10600+3_17+4_17,0
258,2,11_10700+1402_20+1403_10,"82004,82006_46_1_2.285"
259,2,11_10800+1_108,0
260,2,11_10900+21_10900+22_10900+23_10900+24_5450,"82012,82013_46_1_2.295"
261,2,11_11000+3_18+4_18,0
262,2,11_11100+1402_22+1403_11,"83004,83006_46_1_2.305"
263,2,11_11200+1_112,0
264,2,11_11300+21_11300+22_11300+23_11300+24_5650,"83012,83013_47_1_2.315"
265,2,11_11400+3_18+4_18,0
266,2,11_11500+1402_22+1403_11,"82004,82006_47_1_2.325"
267,2,11_11600+1_116,0
268,2,11_11700+21_11700+22_11700+23_11700+24_5850,"82012,82013_47_1_2.335"
269,2,11_11800+3_19+4_19,0
270,2,11_11900+1402_22+1403_11,"83004,83006_48_1_2.345"
271,2,11_12000+1_120,0
272,2,11_12100+21_12100+22_12100+23_12100+24_6050,"83012,83013_48_1_2.355"
273,2,11_12200+3_20+4_20,0
274,2,11_12300+1402_24+1403_12,"82004,82006_48_1_2.365"
275,2,11_12400+1_124,0
276,2,11_12500+21_12500+22_12500+23_12500+24_6250,"82012,82013_49_1_2.375"
277,2,11_12600+3_20+4_20,0
278,2,11_12700+1402_24+1403_12,"83004,83006_49_1_2.385"
279,2,11_12800+1_128,0
280,2,11_12900+21_12900+22_12900+23_12900+24_6450,"83012,83013_49_1_2.395"
281,2,11_13000+3_21+4_21,0
282,2,11_13100+1402_26+1403_13,"82004,82006_50_1_2.405"
283,2,11_13200+1_132,0
284,2,11_13300+21_13300+22_13300+23_13300+24_6650,"82012,82013_50_1_2.415"
285,2,11_13400+3_22+4_22,0
286,2,11_13500+1402_26+1403_13,"83004,83006_50_1_2.425"
287,2,11_13600+1_136,0
288,2,11_13700+21_13700+22_13700+23_13700+24_6850,"83012,83013_51_1_2.435"
289,2,11_13800+3_22+4_22,0
290,2,11_13900+1402_26+1403_13,"82004,82006_51_1_2.445"
291,2,11_14000+1_140,0
292,2,11_14100+21_14100+22_14100+23_14100+24_7050,"82012,82013_51_1_2.455"
293,2,11_14200+3_23+4_23,0
294,2,11_14300+1402_28+1403_14,"83004,83006_52_1_2.465"
295,2,11_14400+1_144,0
296,2,11_14500+21_14500+22_14500+23_14500+24_7250,"83012,83013_52_1_2.475"
297,2,11_14600+3_24+4_24,0
298,2,11_14700+1402_28+1403_14,"82004,82006_52_1_2.485"
299,2,11_14800+1_148,0
300,2,11_14900+21_14900+22_14900+23_14900+24_7450,"82012,82013_53_1_2.495"
301,2,11_15000+1_150,0
302,2,11_15100+21_15100+22_15100+23_15100+24_7550,"83004,83006_53_1_2.505"
303,2,11_15200+3_25+4_25,0
304,2,11_15300+1402_30+1403_15,"83012,83013_53_1_2.515"
305,2,11_15400+1200_1+1403_10,0
306,2,11_15500+1_155,"82004,82006_53_1_2.525"
307,2,11_15600+21_15600+22_15600+23_15600+24_7800,0
308,2,11_15700+3_26+4_26,"82012,82013_54_1_2.535"
309,2,11_15800+1402_30+1403_15,0
