Type,Lv,Name,OutInfo,FirstAward,PassAward,AiInfo,MaxGetCount,ResetHPTime,ProTime,Name_en
2,1,{野蛮人要塞}({等级} 1),0,0,11_500+12_500+1104_1+3_1,10001_5_0.4_1.0,0,0,0,Barbarian Fortress(Lv 1)
2,2,{野蛮人要塞}({等级} 2),0,0,11_2000+12_2000+1104_2+3_1,"10002,10003_10_0.5_1.0",0,0,0,Barbarian Fortress(Lv 2)
2,3,{野蛮人要塞}({等级} 3),0,0,11_4500+12_4500+1104_3+3_1,"10004,10005,10004_15_0.6_1.0",0,0,0,Barbarian Fortress(Lv 3)
2,4,{野蛮人要塞}({等级} 4),0,0,11_8000+12_8000+1104_4+3_1,"10006,10007,10008,10006_20_0.75_1.0",0,0,0,Barbarian Fortress(Lv 4)
2,5,{野蛮人要塞}({等级} 5),0,0,11_15000+12_15000+1104_5+3_1,"10009,10010,10011,10009,10010_30_0.9_1.1",0,0,0,Barbarian Fortress(Lv 5)
2,6,{野蛮人要塞}({等级} 6),0,0,11_24000+12_24000+1104_5+3_1,"10012,10013,10014,10015,10012,10013_40_1.0_1.2",0,0,0,Barbarian Fortress(Lv 6)
2,7,{野蛮人要塞}({等级} 7),0,0,11_35000+12_35000+1104_6+3_1,"10016,10017,10018,10019,10016,10017,10018_50_1.0_1.3",0,0,0,Barbarian Fortress(Lv 7)
2,8,{野蛮人要塞}({等级} 8),0,0,11_48000+12_48000+1104_7+3_1,"10020,10021,10022,10023,10024,10020,10021,10022_55_1.0_1.5",0,0,0,Barbarian Fortress(Lv 8)
2,9,{野蛮人要塞}({等级} 9),0,0,11_70000+12_70000+1104_8+3_1,"10025,10026,10027,10028,10029,10025,10026,10027,10028,10029_60_1.0_1.7",0,0,0,Barbarian Fortress(Lv 9)
3,1,{铁甲将军},0,75049_1+3007_1+3008_1+3009_1,11_20000+12_20000+1061_1+1361_50,30001_10_0.5_1.0,0,0,0,Crocodile
3,2,{摩因},0,75050_1+3010_1+3011_1+3012_1,11_60000+12_60000+1061_1+1361_70,"30002,30003_20_0.6_1.0",0,0,0,Moin
3,3,{库里雷蒙},0,75051_1+3049_1+3050_1+3051_1,11_100000+12_100000+1061_1+1361_80,"30004,30005_28_0.7_1.1",0,0,0,Currymont
3,4,{赤达鲁},0,75052_1+3052_1+3053_1+3054_1,11_160000+12_160000+1062_1+1362_50,"30006,30007,30008_35_0.8_1.2",0,0,0,Chidaru
3,5,{莫里卡特},0,75053_1+3401_1+3403_1,11_240000+12_240000+1062_1+1362_70,"30009,30010,30011_40_0.9_1.3",0,0,0,Moricart
3,6,{杜丽莎},0,75054_1+3091_1+3092_1+3093_1,11_340000+12_340000+1063_1+1362_80,"30012,30013,30014,30015_45_1.0_1.4",0,0,0,Teresa
3,7,{克拉肯},0,75055_1+3094_1+3095_1+3096_1,11_460000+12_460000+1063_1+1363_50,"30016,30017,30018,30019_50_1.1_1.5",0,0,0,Kraken
3,8,{贝塞德},0,75056_1+3405_1+3408_1,11_600000+12_600000+1064_1+1363_70,"30020,30021,30022,30023,30024_60_1.2_1.6",0,0,0,Bayside
