timestamp,grandId,playerA,playerB,fightRet,rounds,file
20260611_043118,195940508,revela,{自定义}-{敌方},1,5,battle_20260611_043118_195940508.json
20260611_043130,195940587,revela,{自定义}-{敌方},2,7,battle_20260611_043130_195940587.json
20260611_043146,195940742,revela,{自定义}-{敌方},2,8,battle_20260611_043146_195940742.json
20260611_043156,195940815,revela,{自定义}-{敌方},1,5,battle_20260611_043156_195940815.json
20260611_043207,195940925,revela,{自定义}-{敌方},2,5,battle_20260611_043207_195940925.json
20260611_043217,195940970,revela,{自定义}-{敌方},1,6,battle_20260611_043217_195940970.json
20260611_043229,195941049,revela,{自定义}-{敌方},1,5,battle_20260611_043229_195941049.json
20260611_043239,195941130,revela,{自定义}-{敌方},1,5,battle_20260611_043239_195941130.json
20260611_043250,195941191,revela,{自定义}-{敌方},1,6,battle_20260611_043250_195941191.json
20260611_043301,195941260,revela,{自定义}-{敌方},1,6,battle_20260611_043301_195941260.json
20260611_043316,195941370,revela,{自定义}-{敌方},2,5,battle_20260611_043316_195941370.json
20260611_043326,195941423,revela,{自定义}-{敌方},1,5,battle_20260611_043326_195941423.json
20260611_043338,195941521,revela,{自定义}-{敌方},1,6,battle_20260611_043338_195941521.json
20260611_043349,195941636,revela,{自定义}-{敌方},2,7,battle_20260611_043349_195941636.json
20260611_043359,195941699,revela,{自定义}-{敌方},2,6,battle_20260611_043359_195941699.json
20260611_043410,195941759,revela,{自定义}-{敌方},1,5,battle_20260611_043410_195941759.json
20260611_043420,195941834,revela,{自定义}-{敌方},1,4,battle_20260611_043420_195941834.json
20260611_043431,195941920,revela,{自定义}-{敌方},1,5,battle_20260611_043431_195941920.json
20260611_043443,195941988,revela,{自定义}-{敌方},3,9,battle_20260611_043443_195941988.json
20260611_043453,195942074,revela,{自定义}-{敌方},1,5,battle_20260611_043453_195942074.json
20260611_043504,195942137,revela,{自定义}-{敌方},1,4,battle_20260611_043504_195942137.json
