timestamp,grandId,playerA,playerB,fightRet,rounds,file
20260611_023426,195885082,revela,{自定义}-{敌方},1,4,battle_20260611_023426_195885082.json
20260611_023439,195885196,revela,{自定义}-{敌方},1,4,battle_20260611_023439_195885196.json
20260611_023451,195885330,revela,{自定义}-{敌方},1,5,battle_20260611_023451_195885330.json
20260611_023503,195885476,revela,{自定义}-{敌方},1,5,battle_20260611_023503_195885476.json
20260611_023514,195885565,revela,{自定义}-{敌方},2,5,battle_20260611_023514_195885565.json
20260611_023525,195885627,revela,{自定义}-{敌方},1,5,battle_20260611_023525_195885627.json
20260611_023536,195885709,revela,{自定义}-{敌方},1,4,battle_20260611_023536_195885709.json
20260611_023547,195885782,revela,{自定义}-{敌方},1,4,battle_20260611_023547_195885782.json
20260611_023558,195885859,revela,{自定义}-{敌方},1,5,battle_20260611_023558_195885859.json
20260611_023608,195885947,revela,{自定义}-{敌方},1,4,battle_20260611_023608_195885947.json
20260611_023619,195886004,revela,{自定义}-{敌方},1,7,battle_20260611_023619_195886004.json
20260611_023629,195886059,revela,{自定义}-{敌方},1,4,battle_20260611_023629_195886059.json
20260611_023641,195886195,revela,{自定义}-{敌方},1,4,battle_20260611_023641_195886195.json
20260611_023653,195886334,revela,{自定义}-{敌方},1,5,battle_20260611_023653_195886334.json
20260611_023706,195886461,revela,{自定义}-{敌方},1,5,battle_20260611_023706_195886461.json
20260611_023801,195886981,revela,{自定义}-{敌方},1,5,battle_20260611_023801_195886981.json
